Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC
Apparel Pattern Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,No,7532.0,7532,51-9031
Apparel Quality Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3119.0,3119,53-6041
Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2512.0,2512,15-1133
Aquaculture Business Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,6221.0,6221 p,11-9013
Aquaculture Teacher,Education,Other education services,Higher Education,Yes,No,3142.0,3142,19-4011
Aquaculture Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,3142.0,3142,19-4011
Aquaculture Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,3142.0,3142,19-4011
Aquatic Ecology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2131.0,2131,19-1099
Architectural Drafter,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,3118.0,3118,27-1013 
Archivist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,2621.0,2621,25-4012
Art Gallery Associate,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,3433.0,3433,27-1012 
Art Gallery Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,3432.0,3432,27-1027
Articulated Truck Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,8332.0,8332,53-3032
Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,3240.0,3240,31-9096
Artisanal Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,7317.0,7317,51-7099
ASEAN Affairs Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2421.0,2421,13-1111
Associate Data Engineer,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,2521.0,2521,15-1141
Astronomical Data Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2111.0,2111,19-2012
Audio Post Specialist,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,2654.0,2654,27-4032 
Audio Stagehand,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2654.0,2654,27-4032 
Auto-Electrical Diagnosis Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3115.0,3115,17-3029
Automation Control Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,No,Yes,3115.0,3115,17-3029
Automotive Body Painting Specialist,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7132.0,7132,51-9122
Automotive Body Specialist,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7231.0,7231,49-3093
Automotive Chassis Mechanic,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093
Automotive Electrical Assembly Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3113.0,3113,17-3024
Automotive Engine Specialist,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,2144.0,2144,17-2141 
Automotive Maintenance Staff,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093
Automotive Mechanic Specialized In EV Power,Manufacturing                                                ,Manufacture of batteries and accumulators,Not Higher Education,No,No,7414.0,,49-3023
Automotive Mechanical Assembly Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,8211.0,8211,51-2031
Automotive Painter (Transportation and Storage),Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,7132.0,7132,51-9122
Automotive Painting Machine Operator,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,8122.0,8122,51-9192 
Automotive Service Specialist (Chassis),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093
Automotive Wiring Harness Assembler,Manufacturing                                                ,Manufacture of wiring and wiring devices,Not Higher Education,No,No,8211.0,8211,51-2031
Back End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
Backend Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2513.0,2513,15-1134 
Backhoe Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,53-7032
Backstrap Warper,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,8152.0,8152,51-6063
Baggage Handlers,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9333.0,9333,53-7121
Bamboo Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6118.0,6113,45-2091
Banking Associate,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,2411.0,2411,13-2082
Barangay Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,5321.0,5321,31-1014 
Barangay Nutrition Action Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2265.0,2265,29-1031
Barber,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5141.0,5141,39-5012
Barista,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,5132.0,5132,35-3011
Bartender,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,5132.0,5132,35-3011
Basic Jewelry Fabricator,Manufacturing                                                ,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,8219.0,8219,51-2099
Basket Weaver,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,7317.0,7317,51-7099
Beach Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5419.0,5419,43-5031
Beach Recreation Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,5113.0,5113,39-7012
Beadwork Accessories Makers,Manufacturing                                                ,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,7319.0,7319,27-1012 
Beekeeper,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6128.0,6123,45-2021
Bell Boy / Luggage Porter,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9621.0,9621,43-5021
Bench Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023
Bibliographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2622.0,2622,25-9011
Billing & Collection Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4214.0,4214,43-3011
BIM Modeler,Construction,Other specialized construction activities,Not Higher Education,No,No,3118.0,3118,27-1013 
Biology Instructor,Education,Higher education,Higher Education,No,No,2310.0,2310,25-1199
Biology Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3212.0,3212,29-2012
Biomedical Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3212.0,3212,29-2012
Biotech Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3212.0,3212,29-2012
Blacksmith,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7221.0,7221,51-4199 
Boat Fitter,Manufacturing                                                ,Building of ships and boats,Not Higher Education,No,No,7233.0,7233,49-9081
Boat Operator (Tourism),Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,8350.0,8350,53-5022
Body Repair Personnel,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7231.0,7231,49-3093
Book Illustrator,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024
Bookkeeper,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Not Higher Education,No,No,3313.0,3313,43-3031
Boom Truck Drivers,Construction,Construction of roads and railways,Not Higher Education,No,No,8332.0,8332,53-3032
Bouncer,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,5414.0,5414,33-9093 
Branch Associate,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011
Brand Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,4120.0,4120,43-6014
Brand Designer,"Professional, Scientific And Technical Activities",Advertising,Higher Education,No,No,2163.0,2163,27-1029
Broadcast Operations Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,3435.0,3435,39-3099 
Broadcast Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,3521.0,3521,27-4099 
Broadcast Scriptwriter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,2641.0,2641,27-3043
Building Design Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011
Building-Wiring Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,7411.0,7411,47-2231
Bulldozer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,53-7032
Business Development Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2424.0,2424,13-1151 
Business Innovation Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3343.0,3343,43-6011
Business Intelligence Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,2421.0,2421,13-1111
Business News Research Assistant,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,2642.0,2642,27-3041 
Business Support Coordinator,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3343.0,3343,43-6011
Butcher,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,7511.0,7511,51-3091 
Butler,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,5152.0,5152,39-9099 
Butterfly Breeder,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6128.0,6123,45-2021
Cable TV Installer,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052
Cacao Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6117.0,6112,45-2091
CAD Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,3511.0,3511,43-9011
Cadet Marine Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3151.0,3151,53-5031
Call Center Staff,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,4222.0,4222,43-4171 
Carbon Steel Plate Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 
Carbon Steel Plate/ Pipe Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 
Caregiver (Newborn),Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5322.0,5322,39-9021
Caregiver For People With Special Needs,Human Health and Social Work Activities,"Residential care activities for mental retardation, mental health and substance abuse",Not Higher Education,No,No,5322.0,5322,39-9021
Caregiver Nanny,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5311.0,5311,39-9011
Cartoonist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2651.0,2651,27-1013
Casework Support Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,3412.0,3412,21-1093
Cashier,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,5230.0,5230,41-2012
Cataloguer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2622.0,2622,25-9011
Cataloguing Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,3323.0,3323,13-1023
CATV Systems Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,3521.0,3521,27-4099 
Certified Public Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
Certified Public Accountant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,2411.0,2411,13-2082
Chaplaincy Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2636.0,2636,21-2021 
Character Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2166.0,2166,27-1024
Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
Chef de Partie - Butcher Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
Chef de Partie - Entremetier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
Chef de Partie - Main Course Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
Chef de Partie - Saucier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
Chemical Analyst (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2145.0,2145,17-2041
Chemical Informatics Assistant,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,3133.0,3133,51-8091
Chemical Lab Technologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3116.0,3116,17-3029
Chemical Process Operator,Manufacturing                                                ,Manufacture of basic chemicals,Not Higher Education,No,No,3133.0,3133,51-8091
Chemical Production Technician,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,3133.0,3133,51-8091
Chemical Sprayer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,6110.0,,37-3012.00
Child Caregiver,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5311.0,5311,39-9011
Child Development Worker/Teacher,Education,Other education services,Not Higher Education,No,No,5311.0,5311,39-9011
China Desk Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199
Chocolate Maker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,7512.0,7512,51-3011
Church Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3413.0,3413,21-2099
Circuit Design Engineer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,2152.0,2152,17-2072 
Civics Curriculum Developer,Education,Educational support services,Higher Education,No,No,2351.0,2351,25-9031
Civil Defense Program Staff,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,5411.0,5411,33-2011
Civil Service Officer,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,2422.0,2422,13-1199
Classical Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2652.0,2652,27-2042
Clean-Up Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,5142.0,5142,39-5094
Clergy Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,3413.0,3413,21-2099
Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,4419.0,4419,43-9199 
Climate and Weather Monitoring Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3111.0,3111,19-4099
Climate Science Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2133.0,2133,19-2041 
Clinical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3256.0,3256,31-9092
Clinical Chemistry Analyst,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,2131.0,2131,19-1099
Clinical Research Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,3256.0,3256,31-9092
Clothing Line Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3119.0,3119,53-6041
CNC EDM Wire Cut Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199
CNC Lathe Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7523.0,7523,51-7042
CNC Machinist,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199
CNC Milling Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199
Coastal Resource Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,2133.0,2133,19-2041 
Coconut Farmer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,9211.0,9211,45-2099
Cocoon Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6128.0,6123,45-2021
Coffee Farmer Nursery Operator,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6117.0,6112,45-2091
Commercial Air-Conditioning Unit Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7127.0,7127,49-9021 
Commercial Refrigeration Equipment Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7127.0,7127,49-9021 
Commis Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
Commis Helper,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,9412.0,9412,35-9099 
Communications and Advocacy Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2432.0,2432,27-3031 
Communications Consultant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2431.0,2431,27-3043 
Communications Designer,"Professional, Scientific and Technical Activities",Specialized design activities,Higher Education,No,No,2513.0,2513,15-1134 
Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,7422.0,7422,49-9052
Community Birth Attendant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,5311.0,5311,39-9011
Community Development Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,3412.0,3412,21-1093
Community Governance Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,3343.0,3343,43-6011
Community Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,3253.0,3253,21-1094 
Community Infectious Disease Management Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,2212.0,2212,29-1069
Community Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,3435.0,3435,39-3099 
Community Ministry Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,3413.0,3413,21-2099
Community Mobilization Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093
Community Nutrition Services Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,3253.0,3253,21-1094 
Community Outreach Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,3253.0,3253,21-1094 
Community Participation Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093
Community Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2262.0,2262,29-1051
Community Relations Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2432.0,2432,27-3031 
Community Relations Officer,Construction,Construction of buildings,Higher Education,No,No,2432.0,2432,27-3031 
Community-Based Health Care Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3253.0,3253,21-1094 
Company Driver (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,8322.0,8322 p,53-3053
Compliance and Regulatory Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,2422.0,2422,13-1199
Compliance Officer,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,2422.0,2422,13-1199
Computer Assembler,Manufacturing                                                ,Manufacture of computers and peripheral equipment and accessories,Not Higher Education,No,No,8212.0,8212,51-9194
Computer Maintenance Technologist (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,3512.0,3512,15-1151 
Computer Security Support Staff,Information and Communication,Other information service activities,Not Higher Education,No,No,2529.0,2529,15-1199
