"postId","link","text","timestamp","reactionLikeCount","reactionLoveCount","reactionSadCount","reactionAngryCount","reactionWowCount","reactionHahaCount","comments"
"122160892214935198",,"#GreyhoundFreedomWall6897

(LOST AND FOUND) 

Helloo, has anyone seen a wallet left on the bench in front of the black building yung paliko po sa Sports Palace? I lost it last Saturday around 6PM. I really need it po, and I would truly appreciate it if at least the wallet could be returned, since it has sentimental value to me huhuu. May keychain po siya na brown. The wallet is light beige in color (nasa pic). Please comment here if nakita niyo or nakuha niyo po. Thank you very muchh!!","1770558304",,,,,,,
"122160891860935198",,"#GreyhoundFreedomWall6896

[Missing Item]

Hello everyone! Good day. I would like to ask for your help in finding my Sunnies eyeglasses in Penny Tan. It went missing around lunchtime today on NB or Pav. If anyone happens to see or find it, please comment down below. Thank you so much!","1770558243",,"4",,,,,
"122160891692935198",,"#GreyhoundFreedomWall6895

‎[confession]
‎
‎Super pogi talaga nung naka jersey number 1 ng unc men's volleyball team, so tall, so cutereeee!!!🫂💋😍","1770558183",,,,,,"3",
"122160891554935198",,"#GreyhoundFreedomWall6894

(Confession) 

Hi everyone! Can you please help me find this guy whom I crossed paths with last Monday around 12 pm in Sheeshabowls. He was with his friend and they were wearing their Forensic Science polo shirt.  He's tall, chinito, wearing glasses, curly-haired and of course , a cutie. I didn't know what year he's in, but I estimated he's in the 1st or 2nd year. I hope I see him in the hallways. 

- uno-psych-🌿","1770558124",,,,,,,"1"
"122160891332935198",,"#GreyhoundFreedomWall6893

#Rant
Other girls just can’t hold it eh no? Mag cha-chat pa yan sa bf ng iba para makapagpapansin. Weirdo.

Disclaimer: not generalized. Only for few girls out there who do not know how to distance themselves.","1770558003","1","1",,,,,
"122160889628935198",,"#GreyhoundFreedomWall6892

[Question] [Help]

Good day po! 🩷
I am humbly asking if, by any chance, you saw or picked up the bracelets in the photo. I think I might have left them somewhere in NB, specifically NB 203, around 5:00 pm last January 26 or 27, 2025. Please huhuhu may sentimental value po iyon sa akin 🥹 kindly react to the post na lang po or comment, Thank you po!","1770557468","1","2",,,,,
"122160889436935198",,"#GreyhoundFreedomWall6891

[RANT] 
sana ma approve admin.

Concern Regarding Overnight Stay Policy for BRAPS (Psychology)

I would like to respectfully raise a concern regarding the policy that does not allow students to stay overnight with acquaintances from Iriga during the BRAPS event. I am from Iriga and will be participating in BRAPS. My parents are fully aware of the situation and have already given their consent for my friends to stay at our residence. They have also agreed to take full responsibility should any issues arise during the stay.
I am concerned about the instruction for students to return home after the event, which is expected to end around 9:00 PM. Traveling from Naga to Iriga at that hour raises serious safety and logistical concerns. The primary reason for arranging an overnight stay is that many students live far from UNC. While escorts may be provided, it is unclear whether students will be accompanied all the way to their respective homes or only until they reach UNC. At that time of night, transportation is very limited, especially for those residing in distant areas of Naga, and not all students are housed in dormitories near the university.
Furthermore, the second day of the event begins at 7:00 AM. If students arrive home close to midnight and are required to return early the following morning, this may pose difficulties in terms of rest, safety, and transportation. Students living in remote areas of Naga may struggle to find available transportation early in the morning to reach UNC in time, particularly since not all students have access to private transport or service vehicles.

In light of these concerns, I respectfully request that the policy be reconsidered, especially for students whose parents have provided explicit permission and are willing to assume responsibility. Allowing supervised and consented overnight stays may help ensure the safety, well-being, and active participation of students throughout the event.","1770557404","1","3",,,,,
"122160330404935198",,"We're only sharing urgent and relevant information in this page. This is one of them:","1770284026","1","42",,,,,
"122160134396935198",,"#GreyhoundFreedomWall6889

[Confession?]

Nakita ko kanina si engineering crush... Hanggang ngayon di ako makatulog kakaisip ng smile niya. Her laugh is so cute too haha laging may hawak sting.
Kung ako nalang kaya maging energy drink mo miss?","1770207423","1",,,,,"26",
"122160134294935198",,"#GreyhoundFreedomWall6888

[Question, Help]

Hello po! I am selling my two (2) medium uniform blouse (Good as new). price is negotiable naman. 

Kindly comment to this post na lang po for the price and for availing po, thank you!","1770207363",,,,,,,
"122160134198935198",,"#GreyhoundFreedomWall6887

(confession)

Hi to the girl who played dodgeball during the SBA days. I don’t know your name. You were wearing a violet t-shirt, and your team played first.

I just wanted to say that I admire you. Even though you were already tired, you still kept smiling. I watched you until the end of the game, and you never stopped smiling.

I hope you’re okay now. Congratulations.🌼 

— JMP","1770207242",,,,,,,"2"
"122160133862935198",,"#GreyhoundFreedomWall6886

[QUESTION]

Hi everyone! Sain po igdi sa Naga nakakabakal ning second hand digicam? Or if may kabisto kamo na nag papabakal po, pa comment nalang hehe salamat!!! 

UHAW SA DIGICAM","1770207124","1",,,,,,
"122159986352935198",,"#GreyhoundFreedomWall6885

‎[confession]
‎
‎crushibabess ko yung men's volleyball player ng unc ;))))","1770115205",,,,,,"1","7"
"122159986202935198",,"#GreyhoundFreedomWall6884

[Question & Help]

hello! i'm selling my Medium size Blouse+Pants (im 5'0 btw)
Also my Chefs Uniform Medium (Good as New)

for interested, kindly react nalang to this post. thank you!","1770115142",,,,,,,
"122159879456935198",,"#GreyhoundFreedomWall6883

(Question)
HI Po!  Sino po d2 graduating student na ibebenta na yung Chef uniform nila na set?  3xl po snaaaa THANK YOU POO
React or comment po","1770046624",,,,,,,
"122159878562935198",,"#GreyhoundFreedomWall6882

[confession]

since it's month of love naman, i just want to confess my feelings sa isang student sa bsid 1st year. i like you matagal na, since 2025 pa (the day we got close) i met you sa isang event and nakausap na rin—that's all, i just like you, or i love you rather.","1770046023","1",,,,,,
"122159878478935198",,"#GreyhoundFreedomWall6881

Rant

Shoutout doon sa kaklase ko na CE student😭 Gala with friends tas jowa, gusto? Tulong sa acads, ayaw? Mahiya ka naman po huhu 3rd year ka na pero magabaton ka pa nanggad sa groupings🙂","1770045963",,,,,,"27",
"122159871644935198",,"#GreyhoundFreedomWall6880

[rant] [event]

Pag nagpost or story ako ning artworks mayo nagrereact. Pero kung thrist trap yan with huge dede kadakol views and reaction kayan. 

HAPPY ARTS MONTH! 💋
#NationalArtsMonth
#February","1770042244",,,,,,"7",
"122159871542935198",,"#GreyhoundFreedomWall6879

[help]
Hello po, sino po dito Rlw 1293? Saan po ba yung new classroom? (⁠╥⁠﹏⁠╥⁠) Pls pls pls pls pls","1770042184","2",,,,,,
"122159871422935198",,"#GreyhoundFreedomWall6878

(help)

baka po may nagse-sell sa inyo ng pre-loved psych merch nila? i am currently looking for a psych shirt/polo and ID lace hehe","1770042123",,,,,,,
"122159871152935198",,"#GreyhoundFreedomWall6877

[Rant]

Shout out sa ka group ko Jan na grabe ang mga reasons kapag nag gigiribo na, minakukog bigla tapos atyan ma post Ning thirst strap nya sa ig, like girl the audacity para mag ganyan samantalang kami nagpapaka hirap na Gawin tung activity na to. Wala kana sa high school na kaya pang i-tolerate ganyang ugali mo","1770042003","1",,,,,"38",
"122159870978935198",,"#GreyhoundFreedomWall6876

[Question] 

Hi! Would like to ask po if updated po ba ang student portal niyo? Mine kasi 1st sem 2025-2026 pa ang nareflect. Really need the statement of account. Just making sure if this is just on my end lang before I approach the relevant offices. Thank you","1770041947",,,,,,,
"122159398358935198",,"Good evening @followers, @topfans, and to all of us here in the GFW Community. 

On behalf of all the admins of this page, I, Admin 001, the founder of this Greyhound Freedom Wall, would like to ask a favor to all of you to help us decide the fate of this page.

For almost a year, we tried to make this space as wholesome as much as we can and admittedly, not all content here are wholesome and with that, we take full accountability to all of that. We always try to improve and do better in running this page. 

At the same time, we are happy to see that this has been a space for students and alumni to share their thoughts and even help others in need. 

With the changes of priorities in life of the admins, especially me, the founder, we are now deciding the fate of this page for good.

We would like to ask your opinions on whether we should:

A. Turn over this page to either the UNC University Student Government or The DEMOCRAT which we believe that will stand for the best interest of the students and alumni who share their thoughts here;

B. Turn over this to the UNC Admission Office, which we believe will be able to handle the GFW more professionally;

C. Continue running this page, but submissions will still be approved and posted for a period of time because of the change of priorities of the admins; or

D. Delete this page permanently or sell it.

Your insights will be of great help. 

Sincerely, 

Admin 001","1769776517","7","9",,,"1",,"11"
"122159152172935198",,"#GreyhoundFreedomWall6875

(help)

sino po ang may code sa STS na 1276, pwede po ba malaman ang full name ng professor and kung anong fb profile para mamessage ko and ma-add ako sa gc","1769619845","1",,,,,,
"122159152124935198",,"#GreyhoundFreedomWall6874

(rant)

sana may evaluation rin para sa mga staff sa registrar ng unc eh. pinapa sweldo ata sila diyan para mag taray eh no...lala","1769619783",,,,,,,
"122159152004935198",,"#GreyhoundFreedomWall6873

(Help)

as a student dormer with a weekly allowance of only 500 pesos, I am very tired. I am tired of stretching that money for all my 6 days classes per week just to feed myself, and doing that in the dorm is very hard because we're not allowed to cook inside. kahit anong diskarte na ginagawa ko, pero kulang pa rin talaga eh. kahit mag siomai rice pa ako everyday, kulang pa rin kasi hindi lang naman pagkain ang expenses. may internship ako next school year, kaya minsan, ayo ko na talaga mabuhay

-god knows I'm trying","1769619724","3","8","110",,,,"4"
"122159151728935198",,"#GreyhoundFreedomWall6872

[Thankful]

Yesterday, I was struggling carrying a bag full of things for our trade fair and an ice box that's so heavy na HAHAHAHAHA. Grabe na complaints ko sa sarili ko na di ako nag ask for help sa groupmates ko HAHAHAH. However there's one girl in JHS, she asked me if I needed help but I refused. I refuse because ang bigat talaga ng dala ko and I don't want her hands to bear the pain I was in and also because I know she wouldn't able to carry it because mabigat talaga😭, pinilit niya talaga ako but ayaw ko talaga HAHAHAHAHAHA. Girl, I'm very thankful for you and I really appreciate your kindness, yung anger ko sa sarili ko that time nawala because I was really touched of her action.

-☘️🩷🧇","1769619665",,"1",,,,,
"122159151578935198",,"#GreyhoundFreedomWall6871

[help]

Who else po is enrolled to STS 1047?
I haven't received a class invitation. If anyone received the link po for this class, I need help po. React na lang po kayo dito ng ""like"" , if you have a class invitation, I'll pm you po. I have my proof naman po of matri.

I would really appreciate it po. Thank u so much","1769619605",,,,,,,
"122159151512935198",,"#GreyhoundFreedomWall6870

[help]
hellooooo, sino po nag be-benta d2 ng pathfit short (medium), just drop a dot and I'll dm u po. thnx.","1769619544",,,,,,,
"122159151374935198",,"#GreyhoundFreedomWall6869

(QUESTION)

hello po! nag start na po ba class sa sts 1343 at ethics 1332? if yes, pashare man po gclass code 🥹","1769619482",,,,,,,
"122159151176935198",,"#GreyhoundFreedomWall6868

(QUESTION,HELP)

Good morning po, sino po meron or Kakilala na may STS(1275) may gc Napo ba? Wala pa Kase nasend sakin na  email, even Sa glass wala padin, pm ko nalang po kayo, thank youuu(comment nalang po hehe)","1769619423",,,,,,,
"122159150948935198",,"#GreyhoundFreedomWall6867

[question po]

tano dai pa po nahihiling ang babayadan this sem sa student portal?  sa system po ba yan ?","1769619362",,,,,,,
"122159150876935198",,"#GreyhoundFreedomWall6866

(help)

hello po! i seem to have misplaced my ID. (purple FDT lanyard) i noticed it was missing near the plaza before heading home, and i wasn’t able to go back since baka maubusan na bus pauwi. i believe it may have been left in the SC building, rooms 203 and 201 po ang mga pinasukan ko. if ever po na may nakakita, kindly comment here so i can coordinate with you, or you may also return it directly to the security office. xiè xiè🫶🏻","1769619304",,,,,,,
"122159150810935198",,"#GreyhoundFreedomWall6865

[question]

ano po ang greyhound cups nakalaag po kayabsa calendar kang UNC, intrams po ba yan? please enlighten me po garo makakaiba ako sa fam ko sa Switzerland if dai kayan tultol ang klase, thank you sa masimbag","1769619243",,"1",,,,,
"122159150648935198",,"#GreyhoundFreedomWall6864

(help) (urgent)

LOOKING FOR Lost wallet!!!

Around 4:00PM (jan. 20) sa EN building or sa eco canteen or dun sa lobby malapit sa CR posibleng nawala. Color brown yung wallet na may blackcat Plush na keychain. May laman po yun receipts and money. 

If ever man may makapulot, Please pa message nalang ng name na nandun sa card (may card dun) or magcomment nalang po!! 🙏🙏","1769619182",,,,,,,
"122159150402935198",,"#GreyhoundFreedomWall6863

[HELP]

To all BSCE 2nd year students: Sino pa po sainyo hindi makakapagtake or nakakuha slot ng GEOLOGY??? Sanahan niyo ko magrequest another code plsplspls!!! (or if wala na ba, paanswer nalang ako kung mag-oopen ba GEOLOGY sa summer if marami magrereques?) TYIA!!

-bsce2ndyrsiraangschedule","1769619122",,,,,,,
"122159150216935198",,"#GreyhoundFreedomWall6862

(HELP) (Question) 
Hello! Is there anyone here from 1st Year Nursing – Block H? I just have something important to ask. I am a late enrollee. Please react to this post, and I will message you. Thank you!","1769619063",,,,,,,
"122159150042935198",,"#GreyhoundFreedomWall6861

(HELP)
 
Hi! I would like to ask if there are any 1st year Nursing students here who have the following subjects:
• 8145 Microbiology & Parasitology
• 8141 Health Assessment
• 8147 Fundamentals of Nursing Practice
I just have a few important questions to ask. I am a late enrollee.
Please react to this post if you have these subjects.
Thank you so much. I badly need help.","1769619004",,,,,,,
"122159149922935198",,"#GreyhoundFreedomWall6860

[HELP]
Looking for PE uniform (shorts) med. small size....","1769618942",,,,,,,
"122159149724935198",,"#GreyhoundFreedomWall6859

[RANT] 

Please man sana, mag ralaba na tabi ning ID Lace. Iyo na ni ang sign, sige na buhat na dyan.
May nahiling akong lalakeng mataba 1st year College, jusko kung ano si initom kang batok, iyo man si paka-itom kang ID lace. 
College na kita please😔","1769618825","3",,"1",,,"153","1"
"122159149658935198",,"#GreyhoundFreedomWall6858

[rant & question]

until when po ang last enrollment? hindi na po ba talaga matatanggal ang restriction to certain dept? isang code lang kasi hindi conflict sa sched ko sa major, kung hindi restricted, closed na. sayang naman if sa 3rd year ko pa ma t-take ang entrepreneurial mind 🥹","1769618763",,,,,,,
"122159149532935198",,"#GreyhoundFreedomWall6857

[REPOST and RANT about GFW ADMIN who needs to exercise more critical thinking in attaining the actual good, not just exercise gaining reactions and attention to posts]

It is unfortunate that the admins of the Greyhound Freedom Wall do not have any actual power or capacity to help students who express suicidal ideation. In fact, posting these submissions can worsen the situation for someone who needs real support. For anyone to be helped, their identity needs to be known; this is sensitive work, and people who truly want to help must understand that it requires confidentiality, not public visibility masked by anonymity.

Thinking that posting an anonymous cry for help is “help” is misleading. It does not support the person; IT PROLIFERATES HARM and creates unnecessary damage by giving a false sense of hope that something meaningful is being done. It is difficult to accept, but help cannot be given to an unknown person.

I understand that submissions here are anonymous. But I ask the admins to also understand the other side: anonymity means that no real intervention can ever happen. At the very least, pages and posts like these must carry a clear DISCLAIMER that their platform (this FW) CANNOT PROVIDE HELP FOR SUICIDAL OR CRISIS-RELATED CONCERN.

I hope an admin posts this as well, so the rest of the team can seriously reflect on their responsibility and stop posting submissions that require professional and confidential support. Doing the right things right matters, especially when safety is at stake.

Admin 001: Sorry, bawi kami next time or take down na namin sooner or later itong GFW for good.","1769618703",,,,,,,
"122159149352935198",,"#GreyhoundFreedomWall6856

Rant

Huhu I hope na tuloy enrollment sa monday because we can't go to school now dahil may bagyo na naman tapos hanggang 12 lang transaction sa school 😭 please be considerate po kasi hindi kayang lumabas ngayon at sobrang lakas ng ulan talaga","1769618583",,,,,,,
"122159149238935198",,"#GreyhoundFreedomWall6855

(Question)

Hi!

Does anyone have PATHFIT 4 (code 1190) and want to swap for 1248?

Thanks.","1769618463",,,,,,,
"122159149082935198",,"#GreyhoundFreedomWall6854

[help] [question]
Hi po! Sino po may code na 1165 sa Gender and Soc? Saan po ang neww room? SALAMAAATS","1769618342",,,,,,,
"122157210368935198",,"#GreyhoundFreedomWall6853

(Help)

Sa mga nag try na po mag promissory note,mabilis lang po ba ang process or approval?and cover po ba ang whole tuition na babayaran?sana may makasagot badly needed po.Thank you so much in advance sa mga sasagot & sumagot","1768573023",,,,,,,
"122157210290935198",,"#GreyhoundFreedomWall6852

(Question & Rant)

Ask lang po if those students na may remaining balance ay pwede pa mag enroll? We all know naman po na galing pa lang tayo sa bagyo (though medyo matagal tagal na) but na sshort pa rin sa budget now. May pang enroll naman na 5k and willing naman bawasan yung balance pero hindi kaya i-full as of the moment because of financial problems. I really hope na payagan tomorrow para naman maka enroll na and napansin namin na halos same same lang ang problema. 

Tomorrow is the last enrollment and we students hope na maka enroll na bukas kasi naubusan na rin slot and 1 week na may pasok (which is madami ng na miss na lessons) Please po🙏 

#MahirapMagingMahirap","1768572963","3",,"1",,,,"1"
"122157210200935198",,"#GreyhoundFreedomWall6851

[question]

This 17 lang po ba enrollment? Rumors says that early Feb pa daw po? Unfortunately I can't enroll po on 17 due to prior balance still unpaid and won't be able to pay at 17. If at later date po after I can enroll na po but just not this 17. What to do po?","1768572904",,,,,,,"1"
"122157210098935198",,"#GreyhoundFreedomWall6850

(question) 

hello po! sino po gusto makipagswap ng sched sa pathfit4 na sched? I have the code 1248, swap po sana sa code 1054.","1768572845",,,,,"1",,
"122157210026935198",,"#GreyhoundFreedomWall6849

[rant & help] 

sino may mabuting loob na lilipat ng code ng block B or C ng vistech2 😭😭😭 as a gurly na di pinapayagan ng magulang magdorm, unfortunately block A lang ang aabot ng transpo ko pauwiii and puno naaa. i have my other majors rin kase sa umaga and di ko rin masacrifice since back subj ko nalang ang vt2  😭 lipat kayo kahit isa langgg plsplspls

secured na uno nyo kapag lumipat kayo 🥰","1768572784",,,,,,,
"122157209990935198",,"#GreyhoundFreedomWall6848

[Rant]

It's already 2026 sana naman uso na sainyo mag apply ng deo right? Nursing student pa naman pero simpleng pag apply ng deo di nyo pa magawa. We all know that BO is normal pero lets also normalize hygiene. Ang cheap na lang ng Deo/tawas di mo pa ma afford. 🤢","1768572723",,,,,,"13",
"122157209912935198",,"#GreyhoundFreedomWall6847

(question)

pwede bang mag request sa ssns kahit full na ang tally? kasi wala talagang binibigay na magandang schedule sa block for minor subj kaya sa ibang codes na lang sana","1768572663",,,,,,,
"122157209834935198",,"#GreyhoundFreedomWall6846

[rant]

ito hindi pa nga enrolled pero stress na sa scheds","1768572603",,,,,,,
"122157209732935198",,"#GreyhoundFreedomWall6845

[help] [question] 

Hello! I'm selling my female college uniform (blouse only), size small. Bilhin niyo na, less than a month lang nagamit. Good as new! Please react if interested, I'll just dm you. 🫶","1768572544",,"1",,,,,
"122157209588935198",,"#GreyhoundFreedomWall6844

[rant and question]

Hii, long rant lang po. Wala kasi akong masabihan. Lately, ever since the holidays ended, I’ve been feeling overwhelmed. Kaka-overthink gabi-gabi, umaabot na sa point na hindi na ako nakakatulog nang maayos. Alam niyo po yung feeling na in-off mo na yung phone mo, tinabi mo na, pumikit ka na, pero hindi ka pa rin makatulog? Tapos parang hindi normal yung heartbeat mo, like hindi ka makatulog dahil sa kabog sa dibdib mo. Basta may na fe-feel akong takot, natatakot ako hindi ko alam kung saan.

Hindi naman po ako ganito dati, ngayon kung ano-ano na iniisip ko, kung kaya ko ba ’tong course na ’to, kung mabibigay ko ba sa parents ko yung life na gusto ko para sa kanila. Napakahirap.

Kanina, hindi ako nakapasok kasi nakatulog ako ng 5am., eh 8am. yung pasok ko. Pero 12am. pa lang, nakapikit na ako. Pinipilit ko na yung utak ko matulog, pero hindi talaga ako makatulog. I even cried and knelt on the floor, praying to Him, asking Him what’s happening to me, kasi hindi naman ako ganito dati. Okay naman ako noon ever since holidays ended ewan ko something died in me parang lagi akong kulang.

Now I’m writing this and I feel something in my throat, parang may nakabara and I know damn well something’s really wrong with me. I find it hard to open up to my parents and to my friends because they know me as a happy person kalog na kalog ganon. Parang ang weird diba kapag bigla nilang nalaman na hindi na oala ako okay. Pero pag sa umaga naman pag kasama ko friends ko, okay naman ako puro pa nga tawa eh, sa gabi lang talaga sobrang bigat.

Please help me. Where do I run? Ayaw ko naman magpa-therapy or mag-consult sa mental health professionals kasi dagdag gastos lang ’yun, especially ang mahal ng tuition ko. First year pa lang ako.

I decided to open it here para kahit pano mabawasan ang bigat wala ngani ako masabihan, ayaw ko na ng ganito naapektohan na pag aaral ko.","1768572482",,"8","2",,,,"4"
"122157209468935198",,"#GreyhoundFreedomWall6843

[Question] (Help)

hello! i'm selling my Medium size Blouse+Pants (im 5'0 btw)
Also my Chefs Uniform Medium (Good as New)

for interested, kindly react nalang to this post. thank you!","1768572422",,"1",,,,,"1"
"122157209312935198",,"#GreyhoundFreedomWall6842

#GreyhoundFreedomWall6834

(Question) 

Ask lang po, paano po mag apply for student assistant? Ano po mga requirments?","1768572363",,,,,,,"1"
"122157209072935198","https://www.facebook.com/share/p/1KicCPpJCX/","#GreyhoundFreedomWall6841

[promotion] 

can you share glee club's post abt the grand auditions? tyia! 

https://www.facebook.com/share/p/1KicCPpJCX/","1768572245",,,,,,,
"122157208988935198",,"#GreyhoundFreedomWall6840

[help] [question]

Hello! I'm selling my female college uniform (blouse only), size small. Bilhin niyo na, less than a month lang nagamit. Good as new! Please react if interested, I'll just dm you. 🫶","1768572185",,,,,,,
"122157208802935198",,"#GreyhoundFreedomWall6839

[Discussion]

If you cheated, caught or not, did the guilt ever change how you treated the relationship, or did you just move on and forget about it?","1768572122",,,,,,,
"122156966456935198",,"#GreyhoundFreedomWall6838

(Question) 

Hi! I'm writing to inquire about the Tertiary Education Subsidy (TES). I received an email indicating that I qualify as a TES grantee, but I was unable to enroll this semester. Would it still be possible for me to receive the subsidy when I enroll next school year or this summer? Ngayon ko lang kasi nalaman na may ganito pala dito. If I had known earlier, I would have pushed to enroll this semester. Unfortunately, I found out about it after we had already surrendered our room in the dorm where I was staying. 

Pleaseee, I need answer huhu. Thank you in advance! #buhayaydikarera","1768443842","2","1",,,,,"1"
"122156966354935198",,"#GreyhoundFreedomWall6837

(Question)

Hi! If I failed to enroll for this semester po ba, am I still eligible to enroll during the summer session? 

Thank you in advance sa makakapagbigay ng sagot. Sana masarap ulam mo palagi!","1768443782",,,,,,,
"122156966264935198",,"#GreyhoundFreedomWall6836

[HELP]

Hi! I'm selling my P.E uniform (M for shirt, XL for short). Bagong-bago pa, ngayong araw ko lang ginamit. 

RFS: exempted na kase me sa pathfit (late ko nalaman na exempted na kaya nakabili na ako huhu bilhin nyo na pls)","1768443723","2","2",,,,,"1"
"122156966108935198",,"#GreyhoundFreedomWall6835

(Question)

To EA deans,

Dae na po ba pwedeng mabago ang sched kang both block kang Theory? ito po sanang mayong maliligis na subject, dawa magsain po kaming block may kaipohan kami isacrifice na subject. Kadakol po ang mayong Soil Mechanics si iba mayong CE laws, si Iba mayong Methods. Garo kanya kanya na lang bagang diskarte kung paparanohon. Gusto mi man po kutang makua yan gabos na subject na yan na mayong masasacrifice ta pwede mi na makua nasa premat mi na, kaso dae ta conflict ang pa schedule nindo.","1768443663",,,,,,,"1"
"122156965982935198",,"#GreyhoundFreedomWall6834

(Question) 

Ask lang po sa mga nag apply ng Student Assistant if nag release na po ng names or if may nag email na po sainyo na naka pass kayo sa exam. Thanks po!","1768443603",,,,,,,
"122156965838935198",,"#GreyhoundFreedomWall6833

(Selling) 

Hi! I’m selling my (college) female slacks for plus size girlies. 2 pcs for 400 pesos. 

Size (flat-laid via tape measure)
— Waist 38-40 inches
— Length from waist down is 39 inches 
— good used condition

If interested. Just simply react to this post and I’ll dm you. Thanks!","1768443544","1",,,,,,
