Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Beach Recreation Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Beadwork Accessories Makers,Manufacturing,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,N,N,,,,,,
Beekeeper,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Bell Boy / Luggage Porter,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Bench Technician (Electronics),Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Bibliographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Billing & Collection Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
BIM Modeler,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Biology Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,,
Biology Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Biomedical Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Biotech Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Blacksmith,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,,
Boat Fitter,Manufacturing,Building of ships and boats,Not Higher Education,No,No,N,N,,,,,,
Boat Operator (Tourism),Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Body Repair Personnel,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,N,,,,,,
Book Illustrator,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Bookkeeper,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Not Higher Education,No,No,Y,Financial Services,,,,,,
Boom Truck Drivers,Construction,Construction of roads and railways,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Bouncer,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Branch Associate,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,,
Brand Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Brand Designer,"Professional, Scientific And Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Broadcast Operations Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,,
Broadcast Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,,
Broadcast Scriptwriter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,N,,,,,,
Building Design Assistant,Library Science,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,62.64,48.77
Building-Wiring Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Bulldozer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Business Development Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Business Innovation Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Business Intelligence Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,N,N,,,,,,
Business News Research Assistant,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,N,,,,,,
Business Support Coordinator,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,,
Butcher,Manufacturing,Processing and preserving of meat,Not Higher Education,No,No,N,N,,,,,,
Butler,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Butterfly Breeder,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Cable TV Installer,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N,,,,,,
Cacao Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,,
CAD Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Cadet Marine Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Call Center Staff,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,Y,Financial Services,,,,,,
Carbon Steel Plate Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Carbon Steel Plate/ Pipe Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Caregiver (Newborn),Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Caregiver For People With Special Needs,Human Health and Social Work Activities,"Residential care activities for mental retardation, mental health and substance abuse",Not Higher Education,No,No,Y,Health,,,,,,
Caregiver Nanny,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Cartoonist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Casework Support Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,,
Cashier,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,N,,,,,,
Cataloguer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Cataloguing Officer,Library Science,Other information service activities,Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,62.64,48.77
CATV Systems Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N,,,,,,
Certified Public Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Certified Public Accountant (Healthcare),Accountancy,Hospital activities,Higher Education,Yes,No,Y,Health,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Chaplaincy Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Character Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Chef de Partie - Butcher Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Chef de Partie - Entremetier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Chef de Partie - Main Course Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Chef de Partie - Saucier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Chemical Analyst (Agriculture),Chemistry,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,51.74,54.41
Chemical Informatics Assistant,Chemical Engineering,Manufacture of basic chemicals,Higher Education,Yes,No,N,N,651.0,927.0,688.0,951.0,70.23,72.34
Chemical Lab Technologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Chemical Process Operator,Manufacturing,Manufacture of basic chemicals,Not Higher Education,No,No,N,N,,,,,,
Chemical Production Technician,Chemical Engineering,Manufacture of basic chemicals,Higher Education,Yes,No,N,N,651.0,927.0,688.0,951.0,70.23,72.34
Chemical Sprayer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Child Caregiver,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Child Development Worker/Teacher,Education,Other education services,Not Higher Education,No,No,N,N,,,,,,
China Desk Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Chocolate Maker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,N,N,,,,,,
Church Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,,
Circuit Design Engineer,Electronics Engineering,Manufacture of electronic components,Higher Education,Yes,No,Y,Advanced Manufacturing,842.0,2524.0,999.0,2172.0,33.36,45.99
Civics Curriculum Developer,Education,Educational support services,Higher Education,No,No,N,N,,,,,,
Civil Defense Program Staff,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N,,,,,,
Civil Service Officer,Criminology,Public Order and Safety Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,32.68,49.34
Classical Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Clean-Up Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Clergy Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,,
Climate and Weather Monitoring Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Climate Science Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Clinical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Clinical Chemistry Analyst,Chemistry,Manufacture of basic chemicals,Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,51.74,54.41
Clinical Research Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,,
Clothing Line Technician,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,N,N,,,,,,
CNC EDM Wire Cut Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,,
CNC Lathe Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,,
CNC Machinist,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,,
CNC Milling Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,,
Coastal Resource Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,N,N,,,,,,
Coconut Farmer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Cocoon Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Coffee Farmer Nursery Operator,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,,
Cold Storage Technician                     ,Manufacturing,Installation of industrial machinery and equipment,Higher Education,No,No,N,N,,,,,,
Commercial Air-Conditioning Unit Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,,
Commercial DiverÂ ,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Commercial Refrigeration Equipment Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,,
Commis Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Commis Helper,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Communications and Advocacy Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Communications Consultant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Communications Designer,"Professional, Scientific and Technical Activities",Specialized design activities,Higher Education,No,No,N,N,,,,,,
Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Community Birth Attendant,Midwifery,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,2800.0,4119.0,3997.0,5398.0,67.98,74.05
Community Development Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,Health,,,,,,
Community Governance Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,N,N,,,,,,
Community Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Community Infectious Disease Management Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Community Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,Y,Digital Technology,,,,,,
Community Ministry Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,,
Community Mobilization Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Community Nutrition Services Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Community Outreach Aide,Social Work,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,56.75,64.49
Community Participation Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Community Pharmacist,Pharmacy,Other human health activities,Higher Education,Yes,No,Y,Health,1420.0,2275.0,2905.0,3778.0,62.42,76.89
Community Relations Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,,
Community Relations Officer,Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
Community-Based Health Care Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Company Driver (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Compliance and Regulatory Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N,,,,,,
Compliance Officer,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services,,,,,,
Computer Assembler,Manufacturing,Manufacture of computers and peripheral equipment and accessories,Not Higher Education,No,No,Y,Digital Technology,,,,,,
