Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Linguistics Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Linguistics Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Literary Reviewer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,,
Livelihood Education Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Livestock Agriculture Technician,Agriculture,Animal production,Higher Education,Yes,No,N,N,3423.0,10014.0,3628.0,7144.0,34.18,50.78
Livestock Health Technician,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,N,N,,,,,,
Livestock Raiser,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Loan Processing Assistant,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,Y,Financial Services,,,,,,
Local Government Contact Tracer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Local Heritage Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Logic Teaching Aide,Education,Other Education,Higher Education,No,Yes,N,N,,,,,,
Logistics & Support Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Logistics Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Logistics Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Logistics Support Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Lumber Quality Analyst,Manufacturing,Sawmilling and planing of wood,Higher Education,No,No,N,N,,,,,,
M&E Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Machine Design Engineer,Mechanical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2133.0,4237.0,1144.0,3485.0,50.34,32.83
Machine Learning Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Machine Operator,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Machine Operator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Machinist,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,,
Magician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N,,,,,,
Mail and Document Clerk,Transportation and Storage,"Postal activities, Courier activities",Higher Education,No,Yes,Tourism,Tourism,,,,,,
Maintenance Fitter,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
Maintenance Laborer ,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Maintenance Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,,
Maintenance Technician,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Maintenance Technician (Construction),Construction,Building completion and finishing,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Management Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Management Information Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Mango Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,,
Mangosteen Grower,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,N,N,,,,,,
Manufacturing Engineer,Mechanical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2133.0,4237.0,1144.0,3485.0,50.34,32.83
Manufacturing Equipment Technician,Manufacturing,Installation of industrial machinery and equipment,Higher Education,No,Yes,N,N,,,,,,
Marine Biology Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Marine Biology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Marine Conservation Aide,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Marine Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,Y,Digital Technology,,,,,,
Marine Navigation and Port Operations Officer,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,No,Tourism,Tourism,,,,,,
Market & Social Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Marketing Analyst (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No,Tourism,Tourism,,,,,,
Marketing Coordinator,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,N,N,,,,,,
Marketing Professional (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
Marriage Counselor,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,,
Mass Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,Y,Digital Technology,,,,,,
Massage Therapist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Master Tagger,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Mat Weaver,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N,,,,,,
Material Handlers,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,N,N,,,,,,
Material Inventory Assistants / Warehouse,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Materials Engineer,Metallurgical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,39.0,64.0,41.0,67.0,60.94,61.19
Materials Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Materials Testing Technician,"Professional, Scientific and Technical Activities",Technical Testing and Analysis,Higher Education,No,Yes,N,N,,,,,,
Mathematics Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,,
Mathematics Teacher,Professional Teachers,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Meat Processor,Manufacturing,Processing and preserving of meat,Not Higher Education,No,No,N,N,,,,,,
Mechanical Designer,Manufacturing,Manufacture of special purpose machinery,Higher Education,No,No,N,N,,,,,,
Mechanical Draftsman,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N,,,,,,
Mechatronics and Automation Technician,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Digital Technology,,,,,,
Mechatronics Engineer,Mechanical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,Y,Digital Technology,2133.0,4237.0,1144.0,3485.0,50.34,32.83
Media Arts Teaching Assistant,Professional Teachers,Other education services,Higher Education,Yes,No,Y,Digital Technology,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Media Planning Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Media Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Media Relations Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology,,,,,,
Medical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Medical Claims Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,,
Medical Claims Representative,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
Medical Coding Specialist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Medical First Responder,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,,
Medical Laboratory Aide,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,,
Medical Laboratory Technologist,Medical Technology,Hospital activities,Higher Education,Yes,No,Y,Health,3892.0,5401.0,3872.0,5574.0,72.06,69.47
Medical Liaison,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,Y,Health,,,,,,
Medical Provider and Membership Relations Officer,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
Medical Records Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Medical Secretary,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Medical Transcriptionist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Mental Health Program Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Messman,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Metadata Specialist,Information and Communication,Other information service activities,Higher Education,No,No,Y,Digital Technology,,,,,,
Metallurgical Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Microbiology Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Microfinance Loan Officer,Financial and Insurance Activities,Monetary intermediation,Not Higher Education,No,No,Y,Financial Services,,,,,,
Milk Processing Technician                  ,Manufacturing,Manufacture of dairy products,Higher Education,No,No,N,N,,,,,,
Millwright,Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
Mine Safety Engineer,Mining Engineering,Mining of Metal Ores,Higher Education,Yes,No,N,N,242.0,351.0,259.0,365.0,68.95,70.96
Ministry Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,,
MIS Technical Support (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
Mobile Air-Conditioning (MAC) Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,,
Mobile Phones And Handheld Gadgets Technician,Manufacturing,Manufacture of consumer electronics,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Mobile Robotics System Technician,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Mold Maker,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,,
Motion Graphics Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Motorcycle/Small Engine Mechanic,Manufacturing,Manufacture of motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Motor-Grader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Multilateral Affairs Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Multimedia Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Multimedia Journalist,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,Y,Digital Technology,,,,,,
Municipal Fisherman,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,N,N,,,,,,
Municipal Services Clerk,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N,,,,,,
Museum Curator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Museum Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Museum Program Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,,
Museum Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Museum Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,,
Museums / Zoos / Aquariums Personnel,"Arts, Entertainment and Recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N,,,,,,
Music Arranger Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Music Production Assistant,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,N,N,,,,,,
Music Teacher (Choral Director),Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Nail Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Natural Resource Planner,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Natural Resources Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Network Cabling Technician,Manufacturing,Manufacture of communication equipment,Not Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Network Operations Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
News Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,,
News Reporter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,N,,,,,,
Newsroom Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,,
Nurse Anaesthetist,Nursing,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,25761.0,32203.0,29349.0,34534.0,80.0,84.99
Nursery Teacher,Professional Teachers,Pre-primary/pre-school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Nursing Attendant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Nutrition Program Assistant,Nutrition and Dietetics,Other human health activities,Higher Education,Yes,No,Y,Health,895.0,1219.0,843.0,1209.0,73.42,69.73
Nutritional Product Developer,Food Technology,Manufacture of other food products,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,39.98,51.26
Occupational Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Off-Highway Dump Truck (Rigid) Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Office Receptionist,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,,
Oil and Gas Field Technician,Mining and Quarrying,"Extraction of crude petroleum, Extraction of natural gas",Higher Education,No,Yes,N,N,,,,,,
Oil Palm Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,,
Online Store Executive Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,N,N,,,,,,
Operating Theatre Nurse,Nursing,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,25761.0,32203.0,29349.0,34534.0,80.0,84.99
Operations Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,,
Operations Support Analyst,"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,No,N,N,,,,,,
Optician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Orchestra Violinist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Organic Vegetable Farmer,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N,,,,,,
Organizational Development Specialist (OD),Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
Orthopaedic Physical Therapist,Physical Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,1288.0,1884.0,1206.0,1700.0,68.37,70.94
Orthotic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,,
Orthotic/Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Packagers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities or packaging food products,Not Higher Education,No,No,N,N,,,,,,
Painter,Construction,Building completion and finishing,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Painting Restorer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,N,,,,,,
Pantry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Paper Mache Maker,Manufacturing,Manufacture of paper and paper products,Not Higher Education,No,No,N,N,,,,,,
Park and Garden Rangers,Administrative and Support Service Activities,Landscape care and maintenance service activities,Not Higher Education,No,No,Y,Financial Services,,,,,,
Park Sweeper,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Parking Valet,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Passenger Bus Driver,Transportation and Storage,Transport via buses,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Passenger Services Agent,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,Tourism,Tourism,,,,,,
Pastoral Support Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Pastry Baker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Pathology Lab Assistant,Medical Technology,Hospital activities,Higher Education,Yes,No,Y,Health,3892.0,5401.0,3872.0,5574.0,72.06,69.47
Patient Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Patient Service Associate,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Paver Operator,Construction,Construction of roads and railways,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Payroll Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Payroll Clerk,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services,,,,,,
Performance and Rewards Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services,,,,,,
Performance Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Performance Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
Personal Care Aide,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Pest Management Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,,
Pest-Control Technician,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Pharmaceutical Laboratory Analyst,Pharmacy,Other human health activities,Higher Education,Yes,No,Y,Health,1420.0,2275.0,2905.0,3778.0,62.42,76.89
Pharmaceutical Machine Operator,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,N,N,,,,,,
Pharmacy Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Philosophy Academic Content Writer,Education,Other Education,Higher Education,No,No,N,N,,,,,,
Philosophy and Ethics Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,,
Photo Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,N,,,,,,
Photographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,N,,,,,,
Physics Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Piano Accompanist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Picture Restorer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,N,,,,,,
Pili Processor,Manufacturing,Processing and preserving of fruits and vegetables,Not Higher Education,No,No,N,N,,,,,,
Pipe Welder (SAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Pipefitter,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Planetarium Assistant,Education,Educational support services,Higher Education,No,Yes,N,N,,,,,,
Plant Maintenance Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution, Manufacture of gas; distribution of gaseous fuels through mains",Not Higher Education,No,No,N,N,,,,,,
Plant Process Operator,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Plant Propagator,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N,,,,,,
Plant Tissue Culture Laboratory Technician,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N,,,,,,
Plate Welder (FCAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Plate Welder (GMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Plumber,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Police Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N,,,,,,
Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,,
Policy Support Officer â€“ Islamic Affairs,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N,,,,,,
Political Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,,
Political Risk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Pollution Control Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
Pollution Control Officer (Manufacturing),Manufacturing,Manufacture of basic chemicals,Higher Education,No,No,N,N,,,,,,
Pollution Control Technician,"Water Supply; Sewerage, Waste Management and Remediation",Sewerage                                                                    ,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Pool Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Population Data Scientist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,Y,Digital Technology,,,,,,
Port Operations Assistant,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,Yes,Tourism,Tourism,,,,,,
Post-Harvest Workers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Postproduction Assistant,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,N,,,,,,
Poultry Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Poultry Processing Specialist,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Preschool Teacher,Professional Teachers,Pre-primary education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Preschool Teaching Aide,Education,Pre-primary education,Higher Education,No,Yes,N,N,,,,,,
Press Worker,Manufacturing,Printing and service activities related to printing,Not Higher Education,No,No,N,N,,,,,,
Presser (Hand or Machine),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Process Chemistry Technician,Chemistry,Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,51.74,54.41
Process Design Engineer (Licensed),Mechanical Engineering,Manufacture of general purpose machinery,Higher Education,Yes,No,Y,Advanced Manufacturing,2133.0,4237.0,1144.0,3485.0,50.34,32.83
Process Improvement Analyst,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
Process Inspector,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,,
Process Instrumentation Technician,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Processing Staff/Worker,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Procurement Associate,Accountancy,Real Estate Activities on a Fee or Contract Basis,Higher Education,Yes,No,N,N,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Procurement Staff (Construction),Civil Engineering,Construction of buildings,Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,33.26,37.07
Product Development Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Product Development Technician              ,Food Technology,Manufacture of other food products,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,39.98,51.26
Product Quality Inspector,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
Production Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,,
Production Plant Assistant,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Production Scheduling Analyst,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
Professional Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Professional Photographer,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Program Development Officer,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Program Evaluation Specialist,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,N,N,,,,,,
Program Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,,
Program Support Officer â€“ Faith Initiatives,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N,,,,,,
Program Support Staff,Public Administration and Defense; Compulsory Social Security,Administration of the State and the economic and social policy of the community,Higher Education,No,No,N,N,,,,,,
Programmable Logic Controller - Electrical (Manufacturing),Manufacturing,Manufacture of other electrical equipment,Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
