job_sector,year,passers,examinees,passing_rate,source
Landscape Architecture,2024,91,142,64.08,"https://www.philstar.com/exam-results/2024/07/23/2372386/licensure-examination-landscape-architects#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,and%20Cebu%20this%20July%202024"
Library Science,2024,376,771,48.77,"https://www.thesummitexpress.com/2024/09/full-results-september-2024-librarian-board-exam-list-of-passers-top-10.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20September,or%20immediately%20after%20the%20exam"
Mechanical Engineering,2024,1144,3485,32.83,"https://www.thesummitexpress.com/2024/08/me-results-august-2024-mechanical-engineer-board-exam-list-of-passers.html#:~:text=As%20announced%2C%201%2C144%20out%20of,passed%20the%20exams"
Medical Technology,2024,3872,5574,69.47,https://www.prc.gov.ph/node/7469
Medicine,2024,3845,6600,58.26,https://www.abs-cbn.com/news/2024/10/18/3-845-pass-october-2024-physician-licensure-exams-057#:~:text=
Metallurgical Engineering,2024,41,67,61.19,https://www.prc.gov.ph/index.php/node/7298
Midwifery,2024,3997,5398,74.05,https://www.prc.gov.ph/node/7236
Mining Engineering,2024,259,365,70.96,"https://www.philstar.com/exam-results/2024/11/29/2408293/mining-engineers-licensure-examination#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,in%20October%20and%20November%202024"
Naval Architecture and Marine Engineering,2024,43,94,45.74,"file:///home/oai/redirect.html#:~:text=MANILA%2C%20Philippines%20%E2%80%94%C2%A0%20The%20Professional,this%20October%202024"
Nursing,2024,29349,34534,84.99,https://www.prc.gov.ph/node/7209
Nutrition and Dietetics,2024,843,1209,69.73,https://www.prc.gov.ph/node/7267
Occupational Therapy,2024,353,536,65.86,"https://www.prc.gov.ph/node/7516#:~:text=The%20Professional%20Regulation%20Commission%20(PRC,and%20Rosales%20this%20December%202024."
Optometry,2024,297,327,90.83,"https://www.philstar.com/exam-results/2024/10/17/2393465/optometrists-licensure-examination#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,this%20October%202024"
Pharmacy,2024,2905,3778,76.89,"https://www.prc.gov.ph/node/7271#:~:text=The%20Professional%20Regulation%20Commission%20(PRC,Tuguegarao%20and%20Zamboanga%20this%20November"
Physical Therapy,2024,1206,1700,70.94,"https://www.prc.gov.ph/node/7532#:~:text=The%20Professional%20Regulation%20Commission%20(PRC,and%20Rosales%20this%20December%202024."
Professional Teachers,2024,68900,129928,53.03,"https://www.prc.gov.ph/node/7520#:~:text=The%20Professional%20Regulation%20Commission%20(PRC,for%20Professional%20Teachers%20(L.%20E.%20P.%20T.)%20given"
Psychology,2024,373,448,83.26,"https://boardexams.ph/list-of-passers/august-2024-psychologists-licensure-exam/#:~:text=The%20Professional%20Regulation%20Commission%20,examinees%20were%20withheld%20for%20further"
Psychometrician,2024,7478,10717,69.78,"https://newsinfo.inquirer.net/1974664/7478-pass-august-2024-psychometricians-licensure-examination#:~:text=The%20Professional%20Regulation%20Commission%20,INQUIRER%20FILES"
Radiologic Technology,2024,2450,4257,57.55,https://www.thesummitexpress.com/2024/12/rtle-results-december-2024-radtech-board-exam-rtle-list-of-passers.html#:~:text=School%20supplies
Real Estate Service,2024,1337,1758,76.05,"https://mb.com.ph/2024/4/22/1-337-pass-april-2024-real-estate-brokers-licensure-exam#:~:text=The%20Professional%20Regulation%20Commission%20,REBLE"
Respiratory Therapy,2024,1077,1383,77.87,"https://boardexams.ph/list-of-passers/february-2024-respiratory-therapist-licensure-exam-lert/#:~:text=The%20Professional%20Regulation%20Commission%20,Baguio%2C%C2%A0Cebu%2C%C2%A0Davao%C2%A0and%C2%A0Zamboanga%C2%A0this%C2%A0February%202024"
Sanitary Engineering,2024,105,156,67.31,"https://www.thesummitexpress.com/2024/08/full-results-august-2024-sanitary-engineer-board-exam-list-of-passers.html#:~:text=As%20announced%2C%20105%20out%20of,passed%20the%20exams"
Social Work,2024,4587,7113,64.49,"https://boardexams.ph/list-of-passers/september-2024-social-workers-licensure-exam-swle/#:~:text=The%20Professional%20Regulation%20Commission%20,subject%20in%20the%20licensure%20examination"
Veterinary Medicine,2024,633,1349,46.92,"https://www.philstar.com/exam-results/2024/11/04/2397803/veterinarians-licensure-examination#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,and%20Tuguegarao%20last%20October%202024"
Aeronautical Engineering,2024,579,1070,54.11,"https://www.philstar.com/exam-results/2024/12/19/2408771/aeronautical-engineers-licensure-examination#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,for%20further%20verification%20of%20submitted"
Agricultural Engineering,2024,1479,2625,56.34,"https://www.minsu.edu.ph/news/details/119#:~:text=Out%20of%201%2C479%20passers%2C%20Lanz,10%2C%202024"
