,Provider Name,Class Name,Region Name,Province Name,City Name,Address,focal,phone,e mail,Qualification,Trainer Count,Enrolled,Graduates
1621,KLN SKILLS & MANAGEMENT TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Unity Building, Corner Lapulapu & Legaspi Sts., Cebu City",LEONARDO E. YMAS         ,416-4372,klncebu@gmail.com,Bread and Pastry Production NC II,2,47,90
1622,KM100 SKILLS AND TRAINING CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,City of Bogo,"National Road, Purok Agila, 4th District,Taytayan, City of Bogo, Cebu, Region VII (Central Visayas), 6010","Kenneth L. Sotto, MPA",09912929610,km100skillsandtrainingcenter@gmail.com,Bread and Pastry Production NC II,3,551,574
1626,LA PURISIMA CONCEPCION SKILLS TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Danao City,"Lang-lang Cogon-Cruz, Danao City, Cebu, Region VII (Central Visayas), 6004",JUNREY M. MONTECALVO,09973092374,lapurisimaconcepcion.center@gmail.com,Bread and Pastry Production NC II,8,755,840
1656,MAGSAYSAY CENTER FOR HOSPITALITY & CULINARY ARTS INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"F. Ramos St., Cebu City",Mr. Paolo Santino A. Guevara,254-0942,mihcacebu2014@gmail.com,Bread and Pastry Production NC II,2,53,36
1662,MANDAUE CITY COLLEGE TECHNOLOGICAL AND ENTREPRENEURIAL SKILLS TRAINING (MCCTEST) CENTER,LGU,Region VII - Central Visayas,Cebu,Mandaue City,"J.M. Ceniza, St., Looc, Mandaue City",MELINDA L. BIHAG,230-4500,mcctest@mymandaue.com,Bread and Pastry Production NC II,1,5,0
1663,MANDAUE INSTITUTE OF DEVELOPING SKILLS INC.,TVIs,Region VII - Central Visayas,Cebu,Mandaue City,"4th Floor T.T. Bldg. A.S. Fortuna St. Banilad, Mandaue City, Cebu, Region VII, (Central Visayas), 6014",MARY ANN N. DELOS REYES,09177711339,mandaueminds@gmail.com,Bread and Pastry Production NC II,1,74,72
1671,"MARIBAGO SKILLS DEVELOPMENT TRAINING AND ASSESSMENT CENTER, INC. ",TVIs,Region VII - Central Visayas,Cebu,Lapu-Lapu City (Opon),"Datag, Maribago, Lapu-Lapu City, Cebu ",JEMARIE JANE A. VILLAFUERTE,583-8893,msdtac@yahoo.com.ph,Bread and Pastry Production NC II,2,327,371
1685,"MGB SKILLS DEVELOPMENT AND ASSESSMENT CENTER, INC. ",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Salinas Drive Ext. Lahug, Cebu City",LEONIDES GABE MANAYAGA ,414-8526,mgb.sdaci@yahoo.com.ph,Bread and Pastry Production NC II,3,121,234
1689,MICS CULINARY TRAINING SERVICES INCORPORATED,TVIs,Region VII - Central Visayas,Cebu,Mandaue City,"3rd Floor, Square One Bldg., Corner Lopez Jaena and Mt. Mayon Street, Tipolo, Mandaue City",DEO CARLO M. PARADIANG,09175566787,deo.mics.cebu@gmail.com,Bread and Pastry Production NC II,1,48,48
1794,Provincial Training Center - Cebu (Carmen),TTI (PTC),Region VII - Central Visayas,Cebu,Carmen,"Pob. Carmen, Cebu",ENGR. RICARDO V. DAVIDON,429-9305,ptccarmen@tesda.gov.ph,Bread and Pastry Production NC II,1,64,74
1795,Provincial Training Center - Cebu (Minglanilla),TTI (PTC),Region VII - Central Visayas,Cebu,Minglanilla,"Calajo-an, Minglanilla, Cebu","EDGAR B. CAPA, JR.",272-0518,ptcminglanilla@tesda.gov.ph,Bread and Pastry Production NC II,2,35,25
1820,R & K WATANABE SKILLS TRAINING INSTITUTE INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"APT 7 & 8 Lopez Compound B. Aranas Extension Duljo (Pob.), Cebu City (Capital), Cebu, Region VII (Central Visayas), 6000",JONATHAN H. CRODUA,09271400442,rkwatanabe.inc@gmail.com,Bread and Pastry Production NC II,6,610,755
1903,"ST. CECILIA'S COLLEGE - CEBU, INC.",HEIs,Region VII - Central Visayas,Cebu,Minglanilla,"Hi-Way Poblacion, Minglanilla, Cebu",Dr. Alfredo S. Moreno Jr.,(032) 490-0767,scctesda2021@gmail.com,Bread and Pastry Production NC II,2,33,31
1942,TALISAY CITY LIVELIHOOD TRAINING AND ASSESSMENT CENTER,LGU,Region VII - Central Visayas,Cebu,City of Talisay,"Brgy. Lagtang, City of Talisay, Cebu",COLEEN O. ENAJADA,232-0724,talisaycitylivelihoodtrngcenter@yahoo.com,Bread and Pastry Production NC II,1,136,86
1961,THE FOUNDATION FOR PROFESSIONAL TRAINING INC. DOING BUSINESS UNDER THE NAME AND STYLE OF ANIHAN TECH,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",ELIZABETH M. LOPEZ,232-2304,bcpdcebu@yahoo.com,Bread and Pastry Production NC II,2,81,79
1967,"TMJ TECHNOLOGY SKILLS TRAINING INSTITUTE AND ASSESSMENT CENTER, INC",TVIs,Region VII - Central Visayas,Cebu,City of Talisay,"3F Southface Arcade Bldg., F. Deiparine St., Tabunok, Talisay City, Cebu",LEAH R. ORNOPIA,09335083888,tmjtestac2016@gmail.com,Bread and Pastry Production NC II,4,532,689
1978,"UNIVERSITY OF SAN JOSE - RECOLETOS, INC.",HEIs,Region VII - Central Visayas,Cebu,Balamban,"Brgy. Arpili, Balamban, Cebu City",DR. MARY ANN G. ROBLE,(032)354-8405 / 09176320576,rittc@usjr.edu.ph,Bread and Pastry Production NC II,2,34,34
1979,"UNIVERSITY OF SAN JOSE - RECOLETOS, INC.",HEIs,Region VII - Central Visayas,Cebu,Cebu City,"St. Ezekiel Moreno Bldg., Basak Campus, Pardo, Cebu City ",DR. MARY ANN G. ROBLE  ,354-8405,rittc@usjr.edu.ph,Bread and Pastry Production NC II,2,26,26
1992,VISAYAN INSTITUTE OF TECHNOLOGY AGRIBUSINESS AND LIVELIHOOD SKILLS INC.,TVIs,Region VII - Central Visayas,Cebu,Samboan,"Sitio Tiltil, Poblacion, Samboan",Rainero Tomas L. Jayme,09958427877,vitalskillsinc@gmail.com,Bread and Pastry Production NC II,2,184,209
2356,BALAMBAN EXTENSIVE SKILLS AND TECHNOLOGY INC.,TVIs,Region VII - Central Visayas,Cebu,Balamban,"Lot 2140, Brgy. Cantuod, Balamban, Cebu",JESSIE JAMES O. RUSSEL,0917-7274617,bestcentert2mis@gmail.com,Carpentry NC II,1,18,0
2369,DON BOSCO BOY'S HOME INC.,TVIs,Region VII - Central Visayas,Cebu,Liloan,"Cotcot, Lilo-an, Cebu","FR. FERNANDO V. PERALTA, SDB",511-6272      425-8100,donboscotrainingcenterliloan@gmail.com,Carpentry NC II,1,31,20
2477,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Carpentry NC II,0,0,20
2483,"ST. JAMES ACADEMY OF SKILLS TECHNOLOGY, INC.",TVIs,Region VII - Central Visayas,Cebu,Compostela,"Poblacion, Compostela, Cebu",DR. EUGENE S. YNCLINO IV,"425-8424, 318-1001",sjasticebu@yahoo.com,Carpentry NC II,0,0,42
2486,"ST. PEREGRINE INSTITUTE, INC.",TVIs,Region VII - Central Visayas,Cebu,San Fernando,"Purok 4 Sta. Filomena, Sangat, San Fernando, Cebu",Joel Balucas,436-6096 / 09362006430,spitesda.sanfernando@gmail.com,Carpentry NC II,2,129,65
2510,Regional Training Center - VII (Cebu),TTI (RTC),Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",WILKIE E. REROMA,    032-4168876    032-4127267,rtccebu@tesda.gov.ph,CNC Lathe Machine Operation NC II,1,19,19
2513,Regional Training Center - VII (Cebu),TTI (RTC),Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",WILKIE E. REROMA,    032-4168876    032-4127267,rtccebu@tesda.gov.ph,CNC Milling Machine Operation NC II,1,20,19
2965,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Construction Painting NC II,1,25,16
3107,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Cookery NC II,2,59,54
3108,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"DG3 Corporation Building, Annex 2, 72 N. Escario Street, Capitol Site, Cebu City Philippines",ANA LIZA M. AUGUSTO,032 328 9153,aaahospitalitytaci@gmail.com,Cookery NC II,2,29,29
3109,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Cookery NC II,2,36,61
3123,AMERICAN INTERNATIONAL CULINARY & HOSPITALITY INSTITUTE,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Corner Leon Kilat and P. del Rosario Streets, Cebu City",JOSE LORENZO R. ABELLANOSA,505-0918,learn.aichi@gmail.com,Cookery NC II,1,61,102
3155,"BENEDICTO COLLEGE, INC.",HEIs,Region VII - Central Visayas,Cebu,Mandaue City,"A.S. Fortuna St., Mandaue City, Cebu",ENGR. KENNETH O. HUAN,"344-9320, 345-6873, 345-5790",bctechvoc@gmail.com,Cookery NC II,2,19,33
3278,"INTERNATIONAL CULINARY ARTS ACADEMY CEBU, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Don Gervacio Quijada St., Guadalupe, Cebu City",MR. JEREMY G. YOUNG                                  ,265-0461                     ,icaac@pldtdsl.net,Cookery NC II,1,9,18
3279,INTERNATIONAL SCHOOL FOR CULINARY ARTS AND HOTEL MANAGEMENT CEBU INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"G/F, Synergis I.T. Center, F. Cabahug Street, Kasambagan, Cebu City ","MARLON ABELLANOSA MISA, Ph.D.","365-2861, 231-8888",marlon.misa@iscahm.com,Cookery NC II,2,123,104
3305,KLN SKILLS & MANAGEMENT TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Unity Building, Corner Lapulapu & Legaspi Sts., Cebu City",LEONARDO E. YMAS         ,416-4372,klncebu@gmail.com,Cookery NC II,2,32,91
3309,LA PURISIMA CONCEPCION SKILLS TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Danao City,"Lang-lang Cogon-Cruz, Danao City, Cebu, Region VII (Central Visayas), 6004",JUNREY M. MONTECALVO,09973092374,lapurisimaconcepcion.center@gmail.com,Cookery NC II,1,150,175
3330,MAGSAYSAY CENTER FOR HOSPITALITY & CULINARY ARTS INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"F. Ramos St., Cebu City",Mr. Paolo Santino A. Guevara,254-0942,mihcacebu2014@gmail.com,Cookery NC II,1,158,68
3343,"MARIBAGO SKILLS DEVELOPMENT TRAINING AND ASSESSMENT CENTER, INC. ",TVIs,Region VII - Central Visayas,Cebu,Lapu-Lapu City (Opon),"Datag, Maribago, Lapu-Lapu City, Cebu ",JEMARIE JANE A. VILLAFUERTE,583-8893,msdtac@yahoo.com.ph,Cookery NC II,3,110,160
3355,"MGB SKILLS DEVELOPMENT AND ASSESSMENT CENTER, INC. ",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Salinas Drive Ext. Lahug, Cebu City",LEONIDES GABE MANAYAGA ,414-8526,mgb.sdaci@yahoo.com.ph,Cookery NC II,12,1087,957
3379,OPPORTUNITIES TODAY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Lapu-Lapu City (Opon),"Lot 10, Block 1, 2nd Floor Pablo Mercedes Commercial Building, Tigcahon Road, Casa Nuestra, Bankal, Lapu-Lapu City (Opon), Cebu, Region VII (Central Visayas),6015",FLORGELINE C. CANETE,09636123950,opportunitiestodaycenter@gmail.com,Cookery NC II,1,25,0
3412,Provincial Training Center - Cebu (Samboan),TTI (PTC),Region VII - Central Visayas,Cebu,Samboan,"Poblacion, Samboan, Cebu",ARLENE B. MASCARDO,479-4028,ptcsamboan@tesda.gov.ph,Cookery NC II,1,78,76
3463,ST. LOUISE DE MARILLAC COLLEGE OF BOGO ,HEIs,Region VII - Central Visayas,Cebu,City of Bogo,"Bogo, Cebu","Sr.Elenita E. Soriano, DC",260-1365 / 09670127261,slmcbogo@ciccebu.edu.ph,Cookery NC II,1,25,25
3495,TALISAY CITY LIVELIHOOD TRAINING AND ASSESSMENT CENTER,LGU,Region VII - Central Visayas,Cebu,City of Talisay,"Brgy. Lagtang, City of Talisay, Cebu",COLEEN O. ENAJADA,232-0724,talisaycitylivelihoodtrngcenter@yahoo.com,Cookery NC II,1,37,32
3508,THE FOUNDATION FOR PROFESSIONAL TRAINING INC. DOING BUSINESS UNDER THE NAME AND STYLE OF ANIHAN TECH,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",ELIZABETH M. LOPEZ,232-2304,bcpdcebu@yahoo.com,Cookery NC II,1,152,212
3516,UNIVERSITY OF CEBU (UC) - LAPULAPU & MANDAUE,HEIs,Region VII - Central Visayas,Cebu,Mandaue City,"A.C. Cortes Ave., Looc, Mandaue City",ATTY. AUGUSTO W. GO,345-6666,uclmtetac@gmail.com,Cookery NC II,1,31,31
3517,"UNIVERSITY OF SOUTHERN PHILIPPINES FOUNDATION, INC.",HEIs,Region VII - Central Visayas,Cebu,Cebu City,"Salinas Drive, Lahug, Cebu City",Atty. Paulino A. Yabao,(032) 414-8773,japerez@uspf.edu.ph,Cookery NC II,1,8,0
3526,VISAYAN INSTITUTE OF TECHNOLOGY AGRIBUSINESS AND LIVELIHOOD SKILLS INC.,TVIs,Region VII - Central Visayas,Cebu,Samboan,"Sitio Tiltil, Poblacion, Samboan",Rainero Tomas L. Jayme,09958427877,vitalskillsinc@gmail.com,Cookery NC II,3,134,184
4352,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Electrical Installation and Maintenance NC II,3,359,354
4379,BALAMBAN EXTENSIVE SKILLS AND TECHNOLOGY INC.,TVIs,Region VII - Central Visayas,Cebu,Balamban,"Lot 2140, Brgy. Cantuod, Balamban, Cebu",JESSIE JAMES O. RUSSEL,0917-7274617,bestcentert2mis@gmail.com,Electrical Installation and Maintenance NC II,3,104,107
4422,"CEBU SOUTHWEST TECHNICAL COLLEGE, INC.",TVIs,Region VII - Central Visayas,Cebu,Asturias,"Owak, Asturias, Cebu",ATTY. REUEL T. PINTOR,09176849347,cebusouthwestowak@gmail.com,Electrical Installation and Maintenance NC II,2,58,0
4430,COLLEGE OF TECHNOLOGICAL SCIENCES-CEBU (CTS-C),HEIs,Region VII - Central Visayas,Cebu,Cebu City,"N. Bacalso Avenue, Sambag 1, Cebu City ",MRS. CONSOLACION B. REPOLLO,"256-1302, 256-1303, 256-1304, 255-2331, F254-2434",ctscebu@gmail.com,Electrical Installation and Maintenance NC II,1,11,6
4450,"DON BOSCO TECHNICAL VOCATIONAL EDUCATION AND TRAINING CENTER-BALAMBAN, INC.",TVIs,Region VII - Central Visayas,Cebu,Balamban,"Bldg. No. 0188, Prenza, Balamban, Cebu","REV. FR. BRIAN R. BUTANAS, SDB",032 406 7628,db_balamban@yahoo.com.ph,Electrical Installation and Maintenance NC II,1,15,15
4512,"KLN SKILLS & MANAGEMENT TRAINING AND ASSESSMENT CENTER, INC.",TVIs,Region VII - Central Visayas,Cebu,Cordoba,"New Road, SA7034, Poblacion, Cordova, Cebu",LEONARDO E. YMAS,887-6599,klncordova2023@gmail.com,Electrical Installation and Maintenance NC II,2,60,100
4528,MANDAUE CITY COLLEGE TECHNOLOGICAL AND ENTREPRENEURIAL SKILLS TRAINING (MCCTEST) CENTER,LGU,Region VII - Central Visayas,Cebu,Mandaue City,"J.M. Ceniza, St., Looc, Mandaue City",MELINDA L. BIHAG,230-4500,mcctest@mymandaue.com,Electrical Installation and Maintenance NC II,1,12,0
4546,MINDWORLD SKILLS DEVELOPMENT AND TRAINING CORPORATION DOING BUSINESS UNDER MINDWORLD,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Unit 2F 9 & 10 Bacayan Hillside Terraces, Brgy. Bacayan, Cebu City",RACIL D. PUNTUAN,4140412/09973598805,mindworldskills@gmail.com,Electrical Installation and Maintenance NC II,1,30,30
4596,Provincial Training Center - Cebu (Minglanilla),TTI (PTC),Region VII - Central Visayas,Cebu,Minglanilla,"Calajo-an, Minglanilla, Cebu","EDGAR B. CAPA, JR.",272-0518,ptcminglanilla@tesda.gov.ph,Electrical Installation and Maintenance NC II,2,32,49
4597,Provincial Training Center - Cebu (Samboan),TTI (PTC),Region VII - Central Visayas,Cebu,Samboan,"Poblacion, Samboan, Cebu",ARLENE B. MASCARDO,479-4028,ptcsamboan@tesda.gov.ph,Electrical Installation and Maintenance NC II,2,183,181
4598,Provincial Training Center - Cebu (Toledo),TTI (PTC),Region VII - Central Visayas,Cebu,Toledo City,"Ilihan, Toledo City","ENGR. VICTOR B. VILLAMOR, JR.",467-9123,ptctoledo@tesda.gov.ph,Electrical Installation and Maintenance NC II,1,41,40
4651,Regional Training Center - VII (Cebu),TTI (RTC),Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",WILKIE E. REROMA,    032-4168876    032-4127267,rtccebu@tesda.gov.ph,Electrical Installation and Maintenance NC II,2,130,120
4676,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Electrical Installation and Maintenance NC II,3,108,27
4696,ST. EUFEMIA SKILLS ACADEMY INC.,TVIs,Region VII - Central Visayas,Cebu,Dumanjug,"Purok 4 Bitoon, Dumanjug, Cebu, Region VII (Central Visayas), 6035",EFREN C. FORMENTERA,0906-674-0771,steufemiasskill@gmail.com,Electrical Installation and Maintenance NC II,2,49,49
4699,"ST. JAMES ACADEMY OF SKILLS TECHNOLOGY, INC.",TVIs,Region VII - Central Visayas,Cebu,Compostela,"Poblacion, Compostela, Cebu",DR. EUGENE S. YNCLINO IV,"425-8424, 318-1001",sjasticebu@yahoo.com,Electrical Installation and Maintenance NC II,6,253,131
4718,TALISAY CITY LIVELIHOOD TRAINING AND ASSESSMENT CENTER,LGU,Region VII - Central Visayas,Cebu,City of Talisay,"Brgy. Lagtang, City of Talisay, Cebu",COLEEN O. ENAJADA,232-0724,talisaycitylivelihoodtrngcenter@yahoo.com,Electrical Installation and Maintenance NC II,1,68,68
4742,"AC-DC TRAINING AND ASSESSMENT CENTER, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Rm. 401 Colon Development Corporation Building, Osmeña Blvd., Brgy. Sto. Niño, Cebu City",JENNELYN B. BAYON,09177726337,acdcengineering2013@gmail.com,Electrical Installation and Maintenance NC III,1,47,37
4809,ELE TECHNICAL TRAINING & ASSESSMENT CENTER CORP.,TVIs,Region VII - Central Visayas,Cebu,Lapu-Lapu City (Opon),"4308 Osmena Street, Gun-ob, Lapu-lapu City",MR. RAUL C. FONTANOZA,238-2057 / 340-5476,eletechnical123@gmail.com,Electronic Products Assembly and Servicing NC II,1,29,129
4846,METROLOGYX TRAINING AND ASSESSMENT CENTER INC. DOING BUSINESS UNDER THE NAME/S AND STYLE/S OF METROL,TVIs,Region VII - Central Visayas,Cebu,Minglanilla,"Cadulawan, Minglanilla, Cebu",GLENNA C. PLARISAN,0917-506-7163,metrologyx.edu@gmail.com,Electronic Products Assembly and Servicing NC II,1,30,0
4867,Provincial Training Center - Cebu (Toledo),TTI (PTC),Region VII - Central Visayas,Cebu,Toledo City,"Ilihan, Toledo City","ENGR. VICTOR B. VILLAMOR, JR.",467-9123,ptctoledo@tesda.gov.ph,Electronic Products Assembly and Servicing NC II,1,36,18
4881,Regional Training Center - VII (Cebu),TTI (RTC),Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",WILKIE E. REROMA,    032-4168876    032-4127267,rtccebu@tesda.gov.ph,Electronic Products Assembly and Servicing NC II,1,44,36
4894,"SISTERS OF MARY TECHNICAL EDUCATION INSTITUTE CEBU, INC.",TVIs,Region VII - Central Visayas,Cebu,City of Talisay,"J.P. Rizal St., Talisay City, Cebu","SR. MARIA CHELO S. MARIKIT, SM",491-9272,smteitalisaycity@gmail.com,Electronic Products Assembly and Servicing NC II,1,71,158
4972,CEBU CALL CENTER ACADEMY ,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"#79 VEG Bldg., General Maxilom Avenue, Cebu City ",KRISTELLE LYNNE P. ONG,412-0111,cca.cebu@yahoo.com,Events Management Services NC III,8,827,968
5036,"INTERNATIONAL SKILLS REPUBLIC ACADEMY, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"0775 Jasmin Street, Barangay Capitol Site, Cebu City",ARIEL D. RONATO D.B.A,234-3933,registrar.isracebu@gmail.com,Events Management Services NC III,1,30,28
5158,"INDUSTRIAL EDUCATION LEARNING CENTER AND TECHNOLOGIES, INC.",TVIs,Region VII - Central Visayas,Cebu,Liloan,"Calero, Liloan, Cebu",JOEL D. PILAPIL,406 4937 / 09171538875 / 09953942497,ielti.techvoc@gmail.com,Flux-Cored Arc Welding (FCAW) NC II,1,27,27
5162,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Food and Beverage Services NC II,1,55,55
