,Job Title,Educational Qualification,Job Sector,Educational Pathway,HEI with PRC Exam,Some HEI,Job Subsector,PSOC Code,ISCO Code,SOC Code,SOC Title,SOC Codes,SOC Titles,AIOE,Complementarity,AI Risk Classification
15,Cultural Affairs Officer,Bachelor of Arts in American Studies,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,Other Personal Service Activities,2432,2432,27-3031.00,Public Relations Specialists,['27-3031.00'],['Public Relations Specialists'],1.1520491300591629,0.6141666666666666,Automated
16,Multimedia Designer,Bachelor of Arts in Animation,"Arts, Entertainment and Recreation",Higher Education,No,No,"Creative, arts and entertainment activities",2166,2166,27-1024.00,Graphic Designers,"['27-1014.00', '27-1024.00']","['Special Effects Artists and Animators', 'Graphic Designers']",0.6104659406880933,0.6152777777777777,Automated
17,Cultural Heritage Researcher,Bachelor of Arts in Anthropology,"Arts, Entertainment and Recreation",Higher Education,No,No,"Libraries, archives, museums and other cultural activities",2621,2621,25-4011.00,Archivists,"['25-4011.00', '25-4012.00']","['Archivists', 'Curators']",0.607945271391798,0.5930555555555556,Automated
18,Linguistics Analyst,Bachelor of Arts in Applied Linguistics,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on social sciences and humanities,2353,2353,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","['25-3011.00', '25-3021.00', '25-3099.00']","['Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors', 'Self-Enrichment Teachers', 'Teachers and Instructors, All Other']",1.2582433061758564,0.6505555555555556,Augmented
19,Physics Lab Assistant,Bachelor of Arts in Applied Physics,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Research and experimental development on natural sciences and engineering,3111,3111,19-4031.00,Chemical Technicians,"['19-4031.00', '19-4044.00', '19-4099.00', '19-4099.01', '19-4099.03']","['Chemical Technicians', 'Hydrologic Technicians', 'Life, Physical, and Social Science Technicians, All Other', 'Quality Control Analysts', 'Remote Sensing Technicians']",-0.0265618440028128,0.58,Not Affected
20,Art Gallery Associate,Bachelor of Arts in Arts Management,"Arts, Entertainment and Recreation",Higher Education,No,Yes,"Creative, arts and entertainment activities",3433,3433,25-4013.00,Museum Technicians and Conservators,"['25-4013.00', '25-4031.00', '27-1012.00']","['Museum Technicians and Conservators', 'Library Technicians', 'Craft Artists']",-0.1924550798877063,0.6366666666666667,Not Affected
21,International Affairs Assistant,Bachelor of Arts in Asian Studies,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Research and experimental development on social sciences and humanities,3343,3343,43-6011.00,Executive Secretaries and Executive Administrative Assistants,"['27-3092.00', '43-6011.00']","['Court Reporters and Simultaneous Captioners', 'Executive Secretaries and Executive Administrative Assistants']",0.567630060812383,0.5261111111111111,Automated
22,Media Arts Teaching Assistant,Bachelor of Arts in Audio Visual Education,Education,Higher Education,Yes,No,Other education services,3521,3521,27-4011.00,Audio and Video Technicians,"['27-4011.00', '27-4012.00', '43-2099.00', '27-4014.00', '27-4031.00', '27-4099.00']","['Audio and Video Technicians', 'Broadcast Technicians', 'Communications Equipment Operators, All Other', 'Sound Engineering Technicians', 'Camera Operators, Television, Video, and Film', 'Media and Communication Equipment Workers, All Other']",-0.1124326711769413,0.6050000000000001,Not Affected
23,Air Traffic Radio Communications Officer,Bachelor of Arts in Aviation Communication,Transportation and Storage,Higher Education,No,No,"Passenger air transport, Freight air transport",3154,3154,53-2021.00,Air Traffic Controllers,"['53-1049.00', '53-2021.00']","['First-Line Supervisors of Transportation Workers, All Other', 'Air Traffic Controllers']",1.0607102035644898,0.5769444444444445,Automated
24,Logistics Clerk,Bachelor of Arts in Aviation Logistic,Transportation and Storage,Higher Education,No,Yes,Support activities for transportation,4321,4321,43-5071.00,"Shipping, Receiving, and Inventory Clerks","['43-5071.00', '53-7065.00', '43-5111.00']","['Shipping, Receiving, and Inventory Clerks', 'Stockers and Order Fillers', 'Weighers, Measurers, Checkers, and Samplers, Recordkeeping']",-0.852355785236329,0.5663888888888888,Not Affected
25,Program Development Officer,Bachelor of Arts in Behavioral Science,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on social sciences and humanities,2424,2424,13-1151.00,Training and Development Specialists,['13-1151.00'],['Training and Development Specialists'],1.125301054038325,0.6319444444444445,Augmented
26,Laboratory Technician,Bachelor of Arts in Biology,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Research and experimental development on natural sciences and engineering,3212,3212,29-2012.00,Medical and Clinical Laboratory Technicians,"['29-2011.00', '29-2011.01', '29-2011.02', '29-2011.04', '29-2012.00', '29-2012.01']","['Medical and Clinical Laboratory Technologists', 'Cytogenetic Technologists', 'Cytotechnologists', 'Histotechnologists', 'Medical and Clinical Laboratory Technicians', 'Histology Technicians']",0.1769917735031828,0.6119444444444445,Not Affected
27,News Production Assistant,Bachelor of Arts in Broadcast Journalism,Information and Communication,Higher Education,No,Yes,Programming and Broadcasting Activities,3521,3521,27-4012.00,Broadcast Technicians,"['27-4011.00', '27-4012.00', '43-2099.00', '27-4014.00', '27-4031.00', '27-4099.00']","['Audio and Video Technicians', 'Broadcast Technicians', 'Communications Equipment Operators, All Other', 'Sound Engineering Technicians', 'Camera Operators, Television, Video, and Film', 'Media and Communication Equipment Workers, All Other']",-0.1124326711769413,0.6050000000000001,Not Affected
28,Program Support Officer – Faith Initiatives,Bachelor of Arts in Buddhist Studies,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,Public Administration and Defense; Compulsory Social Security,3412,3412,21-1093.00,Social and Human Service Assistants,['21-1093.00'],['Social and Human Service Assistants'],0.7040484605627692,0.6691666666666666,Augmented
29,Sales Associate,Bachelor of Arts in Business Distributive Arts,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Higher Education,No,Yes,Retail sale in non-specialized and specialized stores,4120,4120,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",['43-6014.00'],"['Secretaries and Administrative Assistants, Except Legal, Medical, and Executive']",1.0064736472881557,0.4922222222222221,Automated
30,Junior Business Analyst,Bachelor of Arts in Business Engineering,Financial and Insurance Activities,Higher Education,No,No,"Activities auxiliary to financial service, except insurance and pension funding",2413,2413,13-2054.00,Financial Risk Specialists,"['13-2041.00', '13-2054.00', '13-2061.00']","['Credit Analysts', 'Financial Risk Specialists', 'Financial Examiners']",1.3619706994524077,0.5283333333333333,Automated
31,Business News Research Assistant,Bachelor of Arts in Business Journalism,Information and Communication,Higher Education,No,Yes,"Publishing of books, periodicals and other publishing activities",2642,2642,27-3023.00,"News Analysts, Reporters, and Journalists","['27-3023.00', '27-3041.00']","['News Analysts, Reporters, and Journalists', 'Editors']",0.8767206131646967,0.6397222222222223,Augmented
32,Quality Control Chemist,Bachelor of Arts in Chemistry,Manufacturing,Higher Education,Yes,No,Manufacture of basic chemicals,2113,2113,19-2031.00,Chemists,"['19-2031.00', '19-2032.00']","['Chemists', 'Materials Scientists']",0.55002795066334,0.6308333333333334,Augmented
33,Junior Trade and Culture Analyst,Bachelor of Arts in Chinese Studies,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,Public Administration and Defense; Compulsory Social Security,2421,2421,13-1111.00,Management Analysts,"['13-1081.00', '13-1081.01', '13-1081.02', '13-1111.00']","['Logisticians', 'Logistics Engineers', 'Logistics Analysts', 'Management Analysts']",1.2774698120776689,0.6097222222222222,Automated
34,Chaplaincy Aide,Bachelor of Arts in Christian Ministries,Human Health and Social Work Activities,Higher Education,No,Yes,"Other social work activities without accommodation, n.e.c.",2636,2636,21-2011.00,Clergy,"['21-2011.00', '21-2021.00']","['Clergy', 'Directors, Religious Activities and Education']",1.3169981059615177,0.7216666666666667,Augmented
35,Digital Content Strategist,Bachelor of Arts in Communication and Media Studies,"Professional, Scientific and Technical Activities",Higher Education,No,No,Advertising,2513,2513,15-1255.00,Web and Digital Interface Designers,"['15-1255.00', '15-1255.01']","['Web and Digital Interface Designers', 'Video Game Designers']",0.9720589531105446,0.553611111111111,Automated
36,Brand Communications Officer,Bachelor of Arts in Communication Arts,"Professional, Scientific and Technical Activities",Higher Education,No,No,Advertising,4120,4120,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",['43-6014.00'],"['Secretaries and Administrative Assistants, Except Legal, Medical, and Executive']",1.0064736472881557,0.4922222222222221,Automated
37,Communications Consultant,Bachelor of Arts in Communication Studies,"Professional, Scientific and Technical Activities",Higher Education,No,No,Advertising,2431,2431,13-1161.00,Market Research Analysts and Marketing Specialists,"['13-1161.00', '13-1161.01', '27-3043.00', '27-3043.05']","['Market Research Analysts and Marketing Specialists', 'Search Marketing Strategists', 'Writers and Authors', 'Poets, Lyricists and Creative Writers']",1.3366137220135108,0.5569444444444445,Automated
38,Community Mobilization Officer,Bachelor of Arts in Community Extension,Human Health and Social Work Activities,Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",3412,3412,21-1093.00,Social and Human Service Assistants,['21-1093.00'],['Social and Human Service Assistants'],0.7040484605627692,0.6691666666666666,Augmented
39,Embassy Administrative Attaché,Bachelor of Arts in Consular and Diplomatic Affairs,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,Foreign affairs,4110,4110,43-9061.00,"Office Clerks, General","['43-3061.00', '43-9061.00']","['Procurement Clerks', 'Office Clerks, General']",1.1433609093374133,0.4949999999999999,Automated
40,Enterprise Development Assistant,Bachelor of Arts in Cooperative Development,Administrative and Support Service Activities,Higher Education,No,Yes,"Business support service activities, n.e.c.",3512,3512,15-1232.00,Computer User Support Specialists,['15-1232.00'],['Computer User Support Specialists'],0.4154865910960427,0.6263888888888889,Augmented
41,Social Enterprise Assistant,Bachelor of Arts in Cooperatives,Administrative and Support Service Activities,Higher Education,No,Yes,"Business support service activities, n.e.c.",3412,3412,21-1093.00,Social and Human Service Assistants,['21-1093.00'],['Social and Human Service Assistants'],0.7040484605627692,0.6691666666666666,Augmented
42,Real Estate Assistant,Bachelor of Arts in Customer Service Communication,Real Estate Activities,Higher Education,No,Yes,Real Estate Activities with Own or Leased Property,3334,3334,41-9022.00,Real Estate Sales Agents,"['11-9141.00', '41-1012.00', '41-9021.00', '41-9022.00']","['Property, Real Estate, and Community Association Managers', 'First-Line Supervisors of Non-Retail Sales Workers', 'Real Estate Brokers', 'Real Estate Sales Agents']",1.2034384341699955,0.6658333333333334,Augmented
43,Community Media Coordinator,Bachelor of Arts in Development Communication,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Advertising,3435,3435,27-4099.00,"Media and Communication Equipment Workers, All Other","['27-1019.00', '27-2099.00', '27-3099.00', '27-4099.00', '39-3092.00', '39-3099.00']","['Artists and Related Workers, All Other', 'Entertainers and Performers, Sports and Related Workers, All Other', 'Media and Communication Workers, All Other', 'Media and Communication Equipment Workers, All Other', 'Costume Attendants', 'Entertainment Attendants and Related Workers, All Other']",-0.5572825647018668,0.5627777777777777,Not Affected
44,Policy Research Assistant,Bachelor of Arts in Development Studies,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Research and experimental development on social sciences and humanities,2422,2422,13-1199.07,Security Management Specialists,"['13-1199.00', '13-1199.04', '13-1199.05', '13-1199.06', '13-1199.07']","['Business Operations Specialists, All Other', 'Business Continuity Planners', 'Sustainability Specialists', 'Online Merchants', 'Security Management Specialists']",1.3859557457532188,0.5558333333333333,Automated
45,Video Production Assistant,Bachelor of Arts in Digital Film Making,Information and Communication,Higher Education,No,Yes,"Motion picture, video and television programme activities",3521,3521,27-4011.00,Audio and Video Technicians,"['27-4011.00', '27-4012.00', '43-2099.00', '27-4014.00', '27-4031.00', '27-4099.00']","['Audio and Video Technicians', 'Broadcast Technicians', 'Communications Equipment Operators, All Other', 'Sound Engineering Technicians', 'Camera Operators, Television, Video, and Film', 'Media and Communication Equipment Workers, All Other']",-0.1124326711769413,0.6050000000000001,Not Affected
46,Eco-Tourism Guide,Bachelor of Arts in Eco-Tourism,Accommodation and Food Service Activities,Higher Education,No,No,Other accommodation,5113,5113,39-7012.00,Travel Guides,"['53-1044.00', '39-7011.00', '39-7012.00']","['First-Line Supervisors of Passenger Attendants', 'Tour Guides and Escorts', 'Travel Guides']",0.6456905887950969,0.6363888888888889,Augmented
47,Academic Researcher,Bachelor of Arts in English,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on social sciences and humanities,2131,2131,19-1029.00,"Biological Scientists, All Other","['19-1011.00', '19-1012.00', '19-1013.00', '19-1021.00', '19-1022.00', '19-1023.00', '19-1029.00', '19-1029.01', '19-1029.02', '19-1029.03', '19-1029.04', '19-1041.00', '19-1042.00', '19-1099.00']","['Animal Scientists', 'Food Scientists and Technologists', 'Soil and Plant Scientists', 'Biochemists and Biophysicists', 'Microbiologists', 'Zoologists and Wildlife Biologists', 'Biological Scientists, All Other', 'Bioinformatics Scientists', 'Molecular and Cellular Biologists', 'Geneticists', 'Biologists', 'Epidemiologists', 'Medical Scientists, Except Epidemiologists', 'Life Scientists, All Other']",0.8515850505893694,0.7072222222222222,Augmented
48,ESL Curriculum Assistant,Bachelor of Arts in English Language,Education,Higher Education,No,Yes,Other Education,2351,2351,25-9031.00,Instructional Coordinators,['25-9031.00'],['Instructional Coordinators'],1.2641879840632628,0.6875,Augmented
49,Content Editor,Bachelor of Arts in English Language and Literature,Information and Communication,Higher Education,No,No,"Publishing of books, periodicals and other publishing activities",2642,2642,27-3041.00,Editors,"['27-3023.00', '27-3041.00']","['News Analysts, Reporters, and Journalists', 'Editors']",0.8767206131646967,0.6397222222222223,Augmented
50,ESL Trainer,Bachelor of Arts in English Language Studies,Education,Higher Education,No,No,Other Education,2356,2356,13-1151.00,Training and Development Specialists,['13-1151.00'],['Training and Development Specialists'],1.125301054038325,0.6319444444444445,Augmented
51,Creative Writing Instructor,Bachelor of Arts in English Literature,Information and Communication,Higher Education,No,No,"Publishing of books, periodicals and other publishing activities",2641,2641,27-3042.00,Technical Writers,"['27-3041.00', '27-3042.00', '27-3043.00', '27-3043.05']","['Editors', 'Technical Writers', 'Writers and Authors', 'Poets, Lyricists and Creative Writers']",1.0358423916827189,0.6130555555555556,Automated
52,Publishing Coordinator,Bachelor of Arts in English Studies,Information and Communication,Higher Education,No,Yes,"Publishing of books, periodicals and other publishing activities",2166,2166,27-1024.00,Graphic Designers,"['27-1014.00', '27-1024.00']","['Special Effects Artists and Animators', 'Graphic Designers']",0.6104659406880933,0.6152777777777777,Automated
53,Environmental Field Assistant,Bachelor of Arts in Environmental Science,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,"Other professional, scientific and technical activities, n.e.c.",2143,2143,17-2081.00,Environmental Engineers,['17-2081.00'],['Environmental Engineers'],1.3254379616673335,0.6652777777777777,Augmented
54,Language Teaching Assistant,Bachelor of Arts in European Languages,Education,Higher Education,No,Yes,Other Education,2353,2353,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","['25-3011.00', '25-3021.00', '25-3099.00']","['Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors', 'Self-Enrichment Teachers', 'Teachers and Instructors, All Other']",1.2582433061758564,0.6505555555555556,Augmented
55,Foreign Affairs Researcher,Bachelor of Arts in European Studies,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on social sciences and humanities,2421,2421,13-1111.00,Management Analysts,"['13-1081.00', '13-1081.01', '13-1081.02', '13-1111.00']","['Logisticians', 'Logistics Engineers', 'Logistics Analysts', 'Management Analysts']",1.2774698120776689,0.6097222222222222,Automated
56,Religious Outreach Worker,Bachelor of Arts in Evangelization,Human Health and Social Work Activities,Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",3413,3413,21-2099.00,"Religious Workers, All Other",['21-2099.00'],"['Religious Workers, All Other']",1.2286492318817148,0.6755555555555555,Augmented
57,Marriage Counselor,Bachelor of Arts in Family Counselling,Human Health and Social Work Activities,Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",2635,2635,21-1013.00,Marriage and Family Therapists,"['21-1011.00', '21-1013.00', '21-1014.00', '21-1015.00', '21-1019.00', '21-1021.00', '21-1022.00', '21-1023.00', '21-1029.00', '21-1092.00', '21-1099.00']","['Substance Abuse and Behavioral Disorder Counselors', 'Marriage and Family Therapists', 'Mental Health Counselors', 'Rehabilitation Counselors', 'Counselors, All Other', 'Child, Family, and School Social Workers', 'Healthcare Social Workers', 'Mental Health and Substance Abuse Social Workers', 'Social Workers, All Other', 'Probation Officers and Correctional Treatment Specialists', 'Community and Social Service Specialists, All Other']",0.6968357388860363,0.6891666666666666,Augmented
58,Fashion Exhibition Assistant,Bachelor of Arts in Fashion Design,"Arts, Entertainment and Recreation",Higher Education,No,Yes,"Creative, arts and entertainment activities",5223,5223,41-2031.00,Retail Salespersons,"['41-2022.00', '41-2031.00']","['Parts Salespersons', 'Retail Salespersons']",-0.2203429553838151,0.6219444444444445,Not Affected
59,Filipino Language Educator,Bachelor of Arts in Filipino,Education,Higher Education,No,No,Other Education,2353,2353,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","['25-3011.00', '25-3021.00', '25-3099.00']","['Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors', 'Self-Enrichment Teachers', 'Teachers and Instructors, All Other']",1.2582433061758564,0.6505555555555556,Augmented
60,Terminologist,Bachelor of Arts in Filipino Language,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on social sciences and humanities,2643,2643,19-3099.00,"Social Scientists and Related Workers, All Other","['19-3099.00', '19-3099.01', '27-3091.00']","['Social Scientists and Related Workers, All Other', 'Transportation Planners', 'Interpreters and Translators']",1.2714488780375863,0.5886111111111111,Automated
61,Film and Video Editor,Bachelor of Arts in Film,Information and Communication,Higher Education,No,No,"Motion picture, video and television programme activities",2654,2654,27-4032.00,Film and Video Editors,"['27-1011.00', '27-2012.00', '27-2012.03', '27-2012.04', '27-2012.05', '27-4032.00']","['Art Directors', 'Producers and Directors', 'Media Programming Directors', 'Talent Directors', 'Media Technical Directors/Managers', 'Film and Video Editors']",0.9032517042089035,0.5588888888888889,Automated
62,Video Editing Assistant,Bachelor of Arts in Film and Audio-Visual Communications,Information and Communication,Higher Education,No,Yes,"Motion picture, video and television programme activities",3521,3521,27-4011.00,Audio and Video Technicians,"['27-4011.00', '27-4012.00', '43-2099.00', '27-4014.00', '27-4031.00', '27-4099.00']","['Audio and Video Technicians', 'Broadcast Technicians', 'Communications Equipment Operators, All Other', 'Sound Engineering Technicians', 'Camera Operators, Television, Video, and Film', 'Media and Communication Equipment Workers, All Other']",-0.1124326711769413,0.6050000000000001,Not Affected
63,Consular Affairs Associate,Bachelor of Arts in Foreign Service,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,Foreign affairs,3351,3351,13-1041.07,Regulatory Affairs Specialists,"['13-1041.00', '13-1041.01', '13-1041.03', '13-1041.04', '13-1041.06', '13-1041.07', '13-1041.08', '33-1012.00', '33-3051.00', '33-3051.04']","['Compliance Officers', 'Environmental Compliance Inspectors', 'Equal Opportunity Representatives and Officers', 'Government Property Inspectors and Investigators', 'Coroners', 'Regulatory Affairs Specialists', 'Customs Brokers', 'First-Line Supervisors of Police and Detectives', ""Police and Sheriff's Patrol Officers"", 'Customs and Border Protection Officers']",0.6582630787003725,0.61,Automated
64,Political Research Assistant,Bachelor of Arts in History and Government,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Research and experimental development on social sciences and humanities,2633,2633,19-3094.00,Political Scientists,"['19-3093.00', '19-3094.00', '19-3099.00', '19-3099.01']","['Historians', 'Political Scientists', 'Social Scientists and Related Workers, All Other', 'Transportation Planners']",1.1838804722285154,0.655,Augmented
65,Talent Acquisition Associate,Bachelor of Arts in Human Resource Development,Administrative and Support Service Activities,Higher Education,No,Yes,Other human resources provision,2422,2422,13-1199.00,"Business Operations Specialists, All Other","['13-1199.00', '13-1199.04', '13-1199.05', '13-1199.06', '13-1199.07']","['Business Operations Specialists, All Other', 'Business Continuity Planners', 'Sustainability Specialists', 'Online Merchants', 'Security Management Specialists']",1.3859557457532188,0.5558333333333333,Automated
66,Recruitment Associate,Bachelor of Arts in Human Resource Management,Administrative and Support Service Activities,Higher Education,No,Yes,Other human resources provision,2423,2423,13-1071.00,Human Resources Specialists,"['13-1071.00', '13-1075.00', '13-1141.00', '21-1012.00']","['Human Resources Specialists', 'Labor Relations Specialists', 'Compensation, Benefits, and Job Analysis Specialists', 'Educational, Guidance, and Career Counselors and Advisors']",1.2693805338487802,0.645,Augmented
67,Education Program Assistant,Bachelor of Arts in Humanities,Education,Higher Education,No,Yes,Other Education,5312,5312,25-9049.00,"Teaching Assistants, All Other",['25-9049.00'],"['Teaching Assistants, All Other']",0.7038907944316943,0.6481666666666666,Augmented
68,Production Plant Assistant,Bachelor of Arts in Industrial Management,Manufacturing,Higher Education,No,Yes,"Other manufacturing, n.e.c.",7412,7412,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers","['47-4021.00', '49-1011.00', '49-2092.00', '49-2093.00', '49-2094.00', '49-2095.00', '49-2096.00', '49-2098.00', '49-3053.00', '49-9011.00', '49-9012.00', '49-9031.00', '49-9097.00']","['Elevator and Escalator Installers and Repairers', 'First-Line Supervisors of Mechanics, Installers, and Repairers', 'Electric Motor, Power Tool, and Related Repairers', 'Electrical and Electronics Installers and Repairers, Transportation Equipment', 'Electrical and Electronics Repairers, Commercial and Industrial Equipment', 'Electrical and Electronics Repairers, Powerhouse, Substation, and Relay', 'Electronic Equipment Installers and Repairers, Motor Vehicles', 'Security and Fire Alarm Systems Installers', 'Outdoor Power Equipment and Other Small Engine Mechanics', 'Mechanical Door Repairers', 'Control and Valve Installers and Repairers, Except Mechanical Door', 'Home Appliance Repairers', 'Signal and Track Switch Repairers']",-1.0326646751119497,0.7019444444444444,Not Affected
69,Mental Health Program Officer,Bachelor of Arts in Industrial Psychology,Human Health and Social Work Activities,Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",3412,3412,21-1093.00,Social and Human Service Assistants,['21-1093.00'],['Social and Human Service Assistants'],0.7040484605627692,0.6691666666666666,Augmented
