Provider Name,Class Name,Region Name,Province Name,City Name,Address,focal,phone,e mail,Qualification,Trainer Count,Enrolled,Graduates
MARANATHA TECHNOLOGICAL INSTITUTE AND TRAINING CENTER CORPORATION,TVIs,National Capital Region (NCR),CAMANAVA,Valenzuela City,"52 Ka82ruhatan Road, Karuhatan, Valenzuela City",JONATHAN O. ANDES,82340614,maranathatechvoc.2022@gmail.com,Bookkeeping NC III,2,193,153
"Marymount Academy of Parañaque (MAPI), Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"J. Villaroman St. Classic Homes, B.F. Homes, Parañaque City",Joy Myra S. Tambunting,807-5171/75,tesda@marymountacademy.edu.ph,Bookkeeping NC III,1,145,110
MOREH ASSESSMENT TRAINING CENTER INCORPORATED,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"Lot 31 Blk 52 Phase 2-A, Bonifacio Ave. Ricahuerta Street Upper Bicutan, Taguig City",EDSEL M. MIRAMBIL,88389077 / 88390135,siredselmontoya@gmail.com,Bookkeeping NC III,1,1,0
PARAÑAQUE CITY COLLEGE,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"Kabihasnan, cor. Coastal Road, Brgy. San Dionisio, Parañaque City","ALEJANDRO D. MAGNAYE, DBM",962-6958,mpltp.pcc.tvimis@gmail.com,Bookkeeping NC III,0,0,6
"PHILIPPINE ACADEMY FOR TECHNICAL AND VOCATIONAL SKILLS, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"4/F Maria Compound Bldg., # 14 Nicanor Roxas St. Brgy. San Roque, Marikina City ",MAYDA LO L. TABANGIN,0920-9530092,philacademymarikina@gmail.com,Bookkeeping NC III,2,213,163
SAV1 SKILLS TRAINING AND DEVELOPMENT CENTER INC.,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"2nd Floor Fortuna Bldg., 8338 Dr. A. Santos Ave., Brgy. San Isidro, Parañaque City","PATERNO P. CLAPIS, JR.",09094939012 / 8-825-5914,sav1trainingcenter@gmail.com,Bookkeeping NC III,2,223,173
"SILVERPOINT TRAINING INSTITUTE OF INDUSTRIAL SECURITY, INC.",TVIs,National Capital Region (NCR),PASMAK,Pasay City,"Unit 401 4th Floor, El Feren’s Bldg., No. 2063-2067 F.B. Harrison St., cor. Gil J. Puyat Ave., Pasay City","ANGELIQUE KATE T. SILVA, RN, MBA, DHum",02-824-101-36 / 09183466180 / 09054541728,silverpoint2022.edu@gmail.com,Bookkeeping NC III,2,96,96
St. Bernadette College of Alabang,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"Km. 23.6 East Service Rd., Udings Cmpd. I, Alabang, Muntinlupa City",Felicitas C. Rabonza,842-21-39 / 856-66-02/850-57-09,tvet@sbca.edu.ph,Bookkeeping NC III,1,50,21
TESDA MANILA TRAINING AND ASSESSMENT CENTER (TMTAC),TTI (PTC),National Capital Region (NCR),City of Manila,"Paco, City of Manila","No. 1314 Mahatma Gandhi St., Paco, Manila",VIGNETTE D. NAVASERO,85168347,tmtac@tesda.gov.ph,Bookkeeping NC III,2,192,157
TESDA Women's Center,TTI (School),National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"TESDA Bldg. 2, Gate 1, TESDA Complex, East Service Road South Luzon Expressway (SLEX), Taguig City",MYLENE H. SOMERA,8172650,twc@tesda.gov.ph,Bookkeeping NC III,2,310,333
"United Christian Academy College of Asia, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"17 Highlight St., Area 4 Fourth Estate Subd., Sucat, Parañaque City",Rev. Dr. James C. Sy,820-7764,ucaphil_college@yahoo.com,Bookkeeping NC III,1,25,0
TRIPLE K'S EAST CAPITOL KITCHEN CORP. DOING BUSINESS UNDER THE NAME AND STYLE OF SPICES AND HERBS TR,TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"No. 707 Shaw Blvd., Brgy. Kapitolyo, Pasig City",ANGELITA B. GO,719-0914,triplekseastcapitolkitchencorp@gmail.com,Bread and Pastry Production NC II,3,691,727
B AND B ACADEMY FOR SKILLS TRAINING AND ASSESSMENT INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"B85 L3 P2C3 KC33 St., Karangalan Village, Manggahan, Pasig City",LALAINE J. BRINGUELO ,956-8640/0956-432-9868,mlbtraveltours@gmail.com,Bread and Pastry Production NC II,2,521,538
"SLDM COLLEGES OF QUEZON CITY, INC. ",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"B1 L1 Salvador Ave. cor., Quirino Highway, Jordan Plains Subd., Quezon City ",MELODY B. DIGAO,292-6536,sldmcollegesofqc2014@gmail.com,Bread and Pastry Production NC II,2,453,505
"ASIANTOUCH INTERNATIONAL TRAINING INSTITUTE, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"No. 14 N. Roxas St., San Roque, Marikina City",PRINCES A. PAMPLONA,961-7772 / 995-0996,asiantouchmarikina@gmail.com,Bread and Pastry Production NC II,3,590,478
HORIZONS INSTITUTE OF TECHNOLOGY CORPORATION,TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"No. 1569 Rizal Ave. Cor. 10th Ave., Grace Park West, Barangay 62, Caloocan City",Michael Angelo A. Maga,426-8591/09175017675,hitacc.am@gmail.com,Bread and Pastry Production NC II,2,406,462
"ICROPS INTERNATIONAL ASSESSMENT AND TRAINING CENTER, INC.",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"Lot 3 Blk 2 DRJ Village, Old Sauyo Road, Barangay Sauyo, Novaliches, Quezon City ",SHAHANI LEI D. CAPIRAL,369-5707,icropsintlassessment@gmail.com,Bread and Pastry Production NC II,2,365,442
"ACADEMY FOR INTERNATIONAL CULINARY ARTS, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"Suite U-207 Skyway Twin Tower, 351 Henry P. Javier St., Brgy., Orando Pasig City ",Mr. Michael M. Tiaoqui ,671-0276 / 671-0277 loc. 110,registrar@aicaculinary.com,Bread and Pastry Production NC II,3,327,409
MYCHEST SKILLS INSTITUTE CORP.,TVIs,National Capital Region (NCR),City of Manila,"Malate, City of Manila","1906 San Pascual St., Brgy. 691, Malate, Manila",Alex Delos Santos,9331028163,mychestskills@gmail.com,Bread and Pastry Production NC II,5,457,397
APHRODITE TRAINING AND ASSESSMENT CENTER INC.,TVIs,National Capital Region (NCR),CAMANAVA,Valenzuela City,"0721 Navarette St., Arkong Bato, Valenzuela City",CRISTINA MARIE M. FELICIANO,09194994983 / 0916403254.,aphroditetacvalenzuela2023@gmail.com,Bread and Pastry Production NC II,2,397,394
PSAA INTERNATIONAL ACADEMY INC.,TVIs,National Capital Region (NCR),City of Manila,"Pandacan, City of Manila","1745 Abdon St., Brgy. 843, Pandacan, Manila",Riza D. Sorima-Matias,563-8105,psaamlatvet2011@gmail.com,Bread and Pastry Production NC II,4,452,384
"Arellano University, Inc.",HEIs,National Capital Region (NCR),City of Manila,"Sampaloc, City of Manila","2600 Legarda St Sampaloc, Manila","Dr. Francisco P.V. Cayco, President",734-7371/735-3215,autesdaoffice@arellano.edu.ph,Bread and Pastry Production NC II,2,352,352
"HIGH PERFORMANCE INTERNATIONAL TRAINING CENTER AND TRADE TEST, INC.",TVIs,National Capital Region (NCR),City of Manila,"Paco, City of Manila","1718 Mendoza Guazon St., Brgy. 831, Paco, Manila",SAMUELITA C. LEE,256-8642/697-2940/697-2721,highperformance2773@gmail.com,Bread and Pastry Production NC II,3,380,351
