,,,,,,,,,,,,,,,,
Program with corresponding TVET Program,,,,,,,,,Year 2,,,,Year 3,,,
Importing 2.1,Region,Sector,Subsector,Job Requirement,Programs,"Program
Type","Supply
Gap",,Supply Gap (%),Target Beneficiaries,,,Supply Gap (%),Target Beneficiaries,,
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE,REPAIR OF FARM MECHANICAL EQUIPMENT,NONE,NEW AND EMERGING,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,CHICKEN LAYER GROWER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,EGG PRODUCER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,RUMINANTS GROWER AND PRODUCER,ANIMAL PRODUCTION (RUMINANTS) NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|DAIRY RAISER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,DAIRY RAISER,ANIMAL PRODUCTION (RUMINANTS) NC II,WITH TR,"2,242",,741,277,464,741,687,405,282,687
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|HATCHERY TECHNICIAN|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,HATCHERY TECHNICIAN,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,"3,125",,"1,080",582,498,"1,080","1,076",727,349,"1,076"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|RABBIT RAISER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,RABBIT RAISER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,251,,50,45,5,50,88,68,20,88
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|SWINE RAISER|ANIMAL PRODUCTION (SWINE) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,SWINE RAISER,ANIMAL PRODUCTION (SWINE) NC II,WITH TR,689,,187,135,52,187,266,146,120,266
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION
NON PERENNIAL CROP
PERENNIAL CROP
PLANT PROPAGATION
ANIMAL AND LIVESTOCK
ANIMAL PRODUCTION
SUPPORT SERVICES
AGRICULTURAL SERVICES
SUPPORT AGRICULTURAL SERVICES
FORESTRY AND LOGGING
SILVICULTURE AND OTHER ACTIVITIES
LOGGING
GATHER NON-WOOD FOREST PRODUCTS
SUPPORT SERVICES FOR FORESTRY AND LOGGING
FOREST INVENTORIES
FOREST MANAGEMENT CONSULTING SERVICES
TIMBER EVALUATION
FOREST FIRE FIGHTING AND PROTECTION
FOREST PEST CONTROL
TRANSPORT LOGS WITHIN THE FOREST|PLANT GENETICIST
PLANT BREEDER
RESEARCH/LABORATORY TECHNICIAN
PLANT PATHOLOGIST
MOLECULAR BIOLOGIST
BIOTECHNOLOGIST
FARM TECHNICIAN|DIPLOMA PROGRAM IN IN AGRICULTURAL AND BIOSYSTEMS ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,"CROP PRODUCTION
NON PERENNIAL CROP
PERENNIAL CROP
PLANT PROPAGATION
ANIMAL AND LIVESTOCK
ANIMAL PRODUCTION
SUPPORT SERVICES
AGRICULTURAL SERVICES
SUPPORT AGRICULTURAL SERVICES
FORESTRY AND LOGGING
SILVICULTURE AND OTHER ACTIVITIES
LOGGING
GATHER NON-WOOD FOREST PRODUCTS
SUPPORT SERVICES FOR FORESTRY AND LOGGING
FOREST INVENTORIES
FOREST MANAGEMENT CONSULTING SERVICES
TIMBER EVALUATION
FOREST FIRE FIGHTING AND PROTECTION
FOREST PEST CONTROL
TRANSPORT LOGS WITHIN THE FOREST","PLANT GENETICIST
PLANT BREEDER
RESEARCH/LABORATORY TECHNICIAN
PLANT PATHOLOGIST
MOLECULAR BIOLOGIST
BIOTECHNOLOGIST
FARM TECHNICIAN",DIPLOMA PROGRAM IN IN AGRICULTURAL AND BIOSYSTEMS ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,"3,464",,"1,143",396,747,"1,143","1,188",566,622,"1,188"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION AGRICULTURAL SERVICES|FARMER/GROWER|AGRICULTURAL CROPS PRODUCTION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION AGRICULTURAL SERVICES,FARMER/GROWER,AGRICULTURAL CROPS PRODUCTION NC II,WITH TR,"5,918",,"2,564","1,482","1,082","2,564","1,694","1,081",613,"1,694"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION ANIMAL PRODUCTION|FARMER LEADER|AGROENTREPRENEURSHIP NC III|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION ANIMAL PRODUCTION,FARMER LEADER,AGROENTREPRENEURSHIP NC III,WITH TR,"2,266",,753,443,310,753,693,426,267,693
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION SUPPORT AGRICULTURAL SERVICES|PEST CONTROL TECHNICIAN|PEST MANAGEMENT (VEGETABLES) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION SUPPORT AGRICULTURAL SERVICES,PEST CONTROL TECHNICIAN,PEST MANAGEMENT (VEGETABLES) NC II,WITH TR,"1,267",,253,162,91,253,443,221,222,443
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,AGRI CROPS PRODUCER,AGRICULTURAL CROPS PRODUCTION NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|BAMBOO FARM WORKER|BAMBOO PRODUCTION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,BAMBOO FARM WORKER,BAMBOO PRODUCTION NC II,WITH TR,"1,000",,500,25,475,500,250,25,225,250
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM LEAD HAND|AGRICULTURAL CROPS PRODUCTION NC III|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM LEAD HAND,AGRICULTURAL CROPS PRODUCTION NC III,WITH TR,"3,958",,"1,691","1,050",641,"1,691","1,085",623,462,"1,085"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MACHINERIES OPERATIONS,AGRICULTURAL MACHINERY OPERATION NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MANAGEMENT & TECHNOLOGICAL AWARENESS,AGRICULTURAL MACHINERY OPERATION NC II,WITH TR,742,,223,168,55,223,297,220,77,297
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MECHANICS & OPERATORS,NONE,NEW AND EMERGING,"1,280",,641,472,169,641,320,235,85,320
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM TECHNCIAN|COFFEE PRODUCTION LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM TECHNCIAN,COFFEE PRODUCTION LEVEL II,WITH CS,"1,000",,500,200,300,500,250,50,200,250
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|NEW AND EMERGING",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING",NONE,NEW AND EMERGING,"1,704",,853,631,222,853,426,315,111,426
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|WITH TR",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)",HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH /ORGANIC QUALITY SEEDS GROWER,NONE,NEW AND EMERGING,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH QUALITY INBREED RICE GROWER,NONE,NEW AND EMERGING,187,,56,42,14,56,75,56,19,75
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HORTICULTURE AIDE|HORTICULTURE NC III|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HORTICULTURE AIDE,HORTICULTURE NC III,WITH TR,"1,072",,214,198,16,214,375,343,32,375
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,INTERCROPPING TECHNICIAN,NONE,NEW AND EMERGING,187,,56,42,14,56,75,56,19,75
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|WITH CS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)",COCONUT PRODUCTION LEVEL II,WITH CS,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,MAKE ORGANIC FERTILIZER & CONCOCTION,ORGANIC AGRICULTURE PRODUCTION NC II,WITH TR,"1,529",,765,565,200,765,382,283,99,382
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|NEW AND EMERGING",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)",NONE,NEW AND EMERGING,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|ORGANIC AGRICULTURE FARMER|ORGANIC AGRICULTURE PRODUCTION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,ORGANIC AGRICULTURE FARMER,ORGANIC AGRICULTURE PRODUCTION NC II,WITH TR,"3,690",,"1,088",912,176,"1,088","1,466","1,189",277,"1,466"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"3,931",,"1,187",235,952,"1,187","1,558",240,"1,318","1,558"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK,NONE,NEW AND EMERGING,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FISHERY,BANGUS FRY PRODUCTION,AQUACULTURE (HATCHERY OPERATION) NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FISHERY,TILAPIA FRY PRODUCTION,AQUACULTURE (TILAPIA CULTURE) NC II,WITH TR,507,,102,71,31,102,178,122,56,178
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FOOD PROCESSING,ANIMAL BUTCHERING AND SLAUGHTERING,SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,WITH TR,"1,413",,707,531,176,707,353,265,88,353
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|WITH TR",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,HORTICULTURE,"LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE",LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|WITH TR",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,"RICE, VEGETABLE PRODUCTION",WELL DRILLING OPERATIONS AND MAINTENANCE,WATER WELL DRILLING LEVEL II,WITH TR,507,,102,71,31,102,178,122,56,178
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISH HANDLER|FISHPORT/WHARF OPERATION NC I|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISH HANDLER,FISHPORT/WHARF OPERATION NC I,WITH TR,772,,154,128,26,154,270,213,57,270
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISHERMAN|FISH CAPTURE NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISHERMAN,FISH CAPTURE NC II,WITH TR,295,,59,59,0,59,103,103,0,103
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISHING GEAR TECHNICIAN|FISHING GEAR REPAIR AND MAINTENANCE NC III|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISHING GEAR TECHNICIAN,FISHING GEAR REPAIR AND MAINTENANCE NC III,WITH TR,295,,59,59,0,59,103,103,0,103
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FRUIT/VEGETABLE VENDOR|AGROENTREPRENEURSHIP NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FRUIT/VEGETABLE VENDOR,AGROENTREPRENEURSHIP NC II,WITH TR,"2,562",,661,400,261,661,971,649,322,971
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|VETERINARY TECHNICIAN|ANIMAL HEALTH CARE AND MANAGEMENT NC III|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,VETERINARY TECHNICIAN,ANIMAL HEALTH CARE AND MANAGEMENT NC III,WITH TR,667,,133,57,76,133,233,81,152,233
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNT SPECIALIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,503,,116,89,27,116,184,138,46,184
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNTING,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,434,,87,72,15,87,152,116,36,152
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|AUTO ELECTRICIAN|AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),AUTO ELECTRICIAN,AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II,WITH TR,"4,275",,"1,284",708,576,"1,284","1,713","1,041",672,"1,713"
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|AUTOMOTIVE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),AUTOMOTIVE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,"5,185",,"1,953","1,158",795,"1,953","1,780",941,839,"1,780"
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|ENGINE TECHNICIAN|AUTOMOTIVE SERVICING (ENGINE REPAIR) NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),ENGINE TECHNICIAN,AUTOMOTIVE SERVICING (ENGINE REPAIR) NC II,WITH TR,"4,275",,"1,284",733,551,"1,284","1,713",891,822,"1,713"
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|SMALL ENGINE MECHANIC|MOTORCYCLE/SMALL ENGINE SERVICING NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),SMALL ENGINE MECHANIC,MOTORCYCLE/SMALL ENGINE SERVICING NC II,WITH TR,"4,846",,"1,699",467,"1,232","1,699","1,760",554,"1,206","1,760"
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICES,AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,507,,102,71,31,102,178,122,56,178
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTO BODY REPAIR TECHNICIAN|AUTOMOTIVE SERVICING (CHASSIS REPAIR) NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTO BODY REPAIR TECHNICIAN,AUTOMOTIVE SERVICING (CHASSIS REPAIR) NC II,WITH TR,"4,849",,"1,700",888,812,"1,700","1,760","1,051",709,"1,760"
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AIRCON TECHNICIAN,AUTOMOTIVE SERVICING NC III,WITH TR,"5,192",,"1,956",583,"1,373","1,956","1,782",766,"1,016","1,782"
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC III,WITH TR,"4,275",,"1,284",608,676,"1,284","1,713",766,947,"1,713"
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE MECHANIC|AUTOMOTIVE MECHANICAL ASSEMBLY NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE MECHANIC,AUTOMOTIVE MECHANICAL ASSEMBLY NC II,WITH TR,"3,876",,"1,154",598,556,"1,154","1,548",756,792,"1,548"
