,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,AIOE,Complementarity,Classification,C-AIOE
12,Actuarial Assistant,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Higher Education,No,No,1.2970972393926237,0.538611111111111,Displaced,1.0502884591193051
13,Actuarial Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,1.4774993998129229,0.6063888888888888,Augmented,1.0962224713611994
14,Admin Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,0.9698125993622836,0.4805555555555555,Displaced,0.8415818223354928
15,Admin Staff (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,1.0600457450196432,0.5005555555555555,Displaced,0.8986832260555421
16,Administrative Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,1.0600457450196432,0.5005555555555555,Displaced,0.8986832260555421
17,Advertising Clerk (Tourism),"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,1.0117367283079466,0.5203728070175438,Displaced,0.8376780740628624
18,Aesthetician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,-0.1802445932619149,0.6108333333333333,Protected,-0.13293038753066225
19,Agribusiness Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,-1.826941747515469,0.495,Isolated,-1.5589902912132003
20,Agricultural Data Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,1.2355878663736692,0.5585861823361823,Displaced,0.975801997275254
21,Agricultural Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,1.167377784026609,0.6280555555555556,Augmented,0.8408362761058326
22,Agricultural Extension Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,-0.6777790981433184,0.7088888888888888,Protected,-0.4334020788683109
23,Agricultural Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,1.1962758695210862,0.6164937943262411,Augmented,0.8754819808756202
24,Agricultural Laboratory Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,0.1555959054689412,0.5997222222222222,Augmented,0.1164808236774435
25,Agricultural Machinery Operator,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,-1.012423592144586,0.5769444444444445,Isolated,-0.7809723098293099
26,Agricultural RPA Pilot,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,-0.2057925090763235,0.7225,Protected,-0.1287918119302658
27,Agricultural Specialist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,0.8006554663832743,0.706111111111111,Augmented,0.5141987328550363
28,Agriculture Clerk,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,0.9698125993622836,0.4805555555555555,Displaced,0.8415818223354928
29,Agriculture Program Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,1.0600457450196432,0.5005555555555555,Displaced,0.8986832260555421
30,Agronomy Technicians,"Agriculture, Forestry, and Fishing","Growing of non-perennial crops, Growing of perennial crops, Plant propagation",Higher Education,Yes,No,1.1962758695210862,0.6164937943262411,Augmented,0.8754819808756202
31,AI Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,1.2355878663736692,0.5585861823361823,Displaced,0.975801997275254
32,AI Prompter,Information and Communication,Other information service activities,Not Higher Education,No,No,1.2355878663736692,0.5574537037037037,Displaced,0.9772012741324718
33,Air Traffic Radio Communications Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,1.1328593104970563,0.5769444444444445,Displaced,0.8738750847917571
34,Aircraft Cleaning Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,-0.2057925090763235,0.7225,Protected,-0.1287918119302658
35,Airline Ground Staff,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,-0.3872555286506614,0.5061111111111111,Isolated,-0.3261552119080015
36,Airport Equipment Operator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,0.733024170282144,0.5569264403292181,Displaced,0.580120381099911
37,Alimak Operators,Construction,Other specialized construction activities,Not Higher Education,No,No,-1.298820999584999,0.6272222222222222,Protected,-0.9365942541451827
38,Ambulance Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,0.2380110444547259,0.6536211755233494,Augmented,0.16534916627575064
39,Ambulance Driver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,-0.8395236274276211,0.6863888888888888,Protected,-0.5557180011555615
40,Analog / Digital Chip Analyst,Manufacturing,Manufacture of electronic components,Higher Education,No,No,0.6853776260103156,0.5906944444444444,Displaced,0.51926874303976
41,Anatomy and Physiology Instructor,Education,Higher education,Higher Education,No,No,0.8006554663832743,0.695328282828283,Augmented,0.5228320632627548
42,Animal Caretaker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,-0.8984382197853837,0.6325,Protected,-0.6431320256630373
43,Animal Health Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,-0.8265822627679962,0.5972222222222222,Protected,-0.6208551218124061
44,Animal Production Assistant,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,-0.8265822627679962,0.5972222222222222,Protected,-0.6208551218124061
45,Apparel Display Technician,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,0.4050940821041838,0.6502777777777778,Augmented,0.28277817453550386
46,Apparel Pattern Designer,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,No,-0.957004770554684,0.3483333333333334,Isolated,-0.957004770554684
47,Apparel Quality Technician,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,0.3835605034568007,0.5769444444444444,Displaced,0.29587431058320435
48,Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,1.2355878663736692,0.5585861823361823,Displaced,0.975801997275254
49,Aquaculture Business Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,-0.1419355041150885,0.7291666666666666,Protected,-0.08788173296459231
50,Aquaculture Teacher,Education,Other education services,Higher Education,Yes,No,1.1962758695210862,0.6164937943262411,Augmented,0.8754819808756202
51,Aquaculture Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,1.1962758695210862,0.6164937943262411,Augmented,0.8754819808756202
52,Aquaculture Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,1.1962758695210862,0.6164937943262411,Augmented,0.8754819808756202
53,Aquatic Ecology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,1.1962758695210862,0.6164937943262411,Augmented,0.8754819808756202
54,Architectural Drafter,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,-0.5800703514608596,0.4575,Isolated,-0.5167460047597158
55,Archivist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,0.7188278381031682,0.6888888888888888,Augmented,0.4740270243491449
56,Art Gallery Associate,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,-0.8672596469857901,0.4680555555555555,Isolated,-0.7634293948049914
57,Art Gallery Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,0.4050940821041838,0.6502777777777778,Augmented,0.28277817453550386
58,Articulated Truck Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,-1.100644052209415,0.6174999999999999,Protected,-0.8043873614897142
59,Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,-0.8265822627679962,0.5972222222222222,Protected,-0.6208551218124061
60,Artisanal Weaver,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,-0.8341351787751918,0.5330229377104376,Isolated,-0.6800790826101766
61,ASEAN Affairs Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,1.369842507381068,0.6147222222222223,Augmented,1.0049316838870557
62,Associate Data Engineer,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,1.3407881770776937,0.5430555555555555,Displaced,1.079706923707843
63,Astronomical Data Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,1.3394233838362617,0.616388888888889,Augmented,0.9803835045579303
64,Audio Post Specialist,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,0.9134893505999866,0.5563888888888889,Displaced,0.7234328162668228
65,Audio Stagehand,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,0.9134893505999866,0.5563888888888889,Displaced,0.7234328162668228
66,Auto-Electrical Diagnosis Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,-0.0372319794758209,0.5897222222222221,Isolated,-0.028244593319018584
67,Automation Control Technician,Manufacturing,Manufacture of general purpose machinery,Higher Education,No,Yes,-0.0372319794758209,0.5897222222222221,Isolated,-0.028244593319018584
68,Automotive Body Painting Specialist,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,-1.179000608234312,0.5483333333333332,Isolated,-0.9432004865874498
69,Automotive Body Specialist,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,-1.5566147016651897,0.6050000000000001,Protected,-1.1570835949044576
70,Automotive Chassis Mechanic,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,-1.5566147016651897,0.6050000000000001,Protected,-1.1570835949044576
71,Automotive Electrical Assembly Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,-0.2923061417176008,0.6056944444444444,Protected,-0.21707790830055715
72,Automotive Engine Specialist,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,1.167377784026609,0.6280555555555556,Augmented,0.8408362761058326
73,Automotive Maintenance Staff,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,-1.5566147016651897,0.6050000000000001,Protected,-1.1570835949044576
74,Automotive Mechanic Specialized In EV Power,Manufacturing,Manufacture of batteries and accumulators,Not Higher Education,No,No,-0.876835317455249,0.6263888888888889,Protected,-0.6330263861294979
75,Automotive Mechanical Assembly Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,-0.9651301558449767,0.5730555555555555,Isolated,-0.748243962489814
76,Automotive Painter (Transportation and Storage),Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,-1.179000608234312,0.5483333333333332,Isolated,-0.9432004865874498
77,Automotive Painting Machine Operator,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,-1.1499103660102423,0.4972222222222222,Isolated,-0.9787014892931618
78,Automotive Service Specialist (Chassis),Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,-1.5566147016651897,0.6050000000000001,Protected,-1.1570835949044576
79,Automotive Wiring Harness Assembler,Manufacturing,Manufacture of wiring and wiring devices,Not Higher Education,No,No,-0.9651301558449767,0.5730555555555555,Isolated,-0.748243962489814
80,Back End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,1.2355878663736692,0.5585861823361823,Displaced,0.975801997275254
81,Backend Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,1.2355878663736692,0.5585861823361823,Displaced,0.975801997275254
82,Backhoe Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,-1.15238606969144,0.6227777777777778,Protected,-0.836120115009456
83,Backstrap Warper,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,-1.169710204319749,0.5066666666666667,Isolated,-0.9845060886357887
84,Baggage Handlers,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,-1.394520359139548,0.6941666666666667,Protected,-0.912248734937121
85,Bamboo Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,-1.153152853548008,0.4963888888888889,Isolated,-0.9824221671754836
86,Banking Associate,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,1.3620743346972182,0.4541666666666666,Displaced,1.2179214676084293
87,Barangay Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,-0.4413828025834359,0.5907306763285024,Isolated,-0.3343927839934498
88,Barangay Nutrition Action Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,1.3739495407622582,0.6622222222222222,Augmented,0.942682046022994
89,Barber,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,-0.6928416342196729,0.6258333333333334,Protected,-0.5005780807237137
90,Barista,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,-0.6267809371496645,0.4766666666666666,Isolated,-0.5463440502154577
91,Bartender,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,-0.6267809371496645,0.4766666666666666,Isolated,-0.5463440502154577
92,Basic Jewelry Fabricator,Manufacturing,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,-0.8341351787751918,0.5330229377104376,Isolated,-0.6800790826101766
93,Basket Weaver,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,-0.8341351787751918,0.5330229377104376,Isolated,-0.6800790826101766
94,Beach Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,0.8618669629198157,0.543611111111111,Displaced,0.6935634976607518
95,Beach Recreation Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,0.4571220527837438,0.6594444444444444,Augmented,0.31490630302880135
96,Beadwork Accessories Makers,Manufacturing,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,-0.8672596469857901,0.4680555555555555,Isolated,-0.7634293948049914
97,Beekeeper,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,-1.0528327163871605,0.5588888888888889,Isolated,-0.8311529388811973
98,Bell Boy / Luggage Porter,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,-0.968146275461266,0.5847222222222223,Isolated,-0.7392872531230612
99,Bench Technician (Electronics),Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,0.2307035718843949,0.6161111111111112,Augmented,0.16892628207979582
100,Bibliographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,0.8006554663832743,0.695328282828283,Augmented,0.5228320632627548
101,Billing & Collection Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,1.2514394559345414,0.4402777777777777,Displaced,1.1363765504027823
102,BIM Modeler,Construction,Other specialized construction activities,Not Higher Education,No,No,-0.5800703514608596,0.4575,Isolated,-0.5167460047597158
103,Biology Instructor,Education,Higher education,Higher Education,No,No,0.8006554663832743,0.695328282828283,Augmented,0.5228320632627548
104,Biology Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,-0.3935851657204582,0.5456944444444444,Isolated,-0.31590676009701785
105,Biomedical Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,-0.3935851657204582,0.5456944444444444,Isolated,-0.31590676009701785
106,Biotech Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,-0.3935851657204582,0.5456944444444444,Isolated,-0.31590676009701785
107,Blacksmith,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,-0.8341351787751918,0.5330229377104376,Isolated,-0.6800790826101766
108,Boat Fitter,Manufacturing,Building of ships and boats,Not Higher Education,No,No,-1.049182638556866,0.7641666666666665,Protected,-0.6128975246903028
109,Boat Operator (Tourism),Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,-0.8102712472248825,0.7050000000000001,Protected,-0.5212745023813411
110,Body Repair Personnel,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,-1.5566147016651897,0.6050000000000001,Protected,-1.1570835949044576
111,Book Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,0.733024170282144,0.563888888888889,Displaced,0.5750167380213262
112,Bookkeeper,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Not Higher Education,No,No,1.0204933974998105,0.5122222222222222,Displaced,0.8532458684651194
113,Boom Truck Drivers,Construction,Construction of roads and railways,Not Higher Education,No,No,-1.100644052209415,0.6174999999999999,Protected,-0.8043873614897142
114,Bouncer,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,-0.5182191975946915,0.5377777777777778,Isolated,-0.4200454496059194
115,Branch Associate,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,1.0600457450196432,0.5005555555555555,Displaced,0.8986832260555421
116,Brand Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,1.0792977885038806,0.4922222222222221,Displaced,0.9239988289358224
117,Brand Designer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,0.733024170282144,0.5569264403292181,Displaced,0.580120381099911
118,Broadcast Operations Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,-0.5276871682377668,0.6405864197530864,Protected,-0.37346896465618
119,Broadcast Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,0.733024170282144,0.5569264403292181,Displaced,0.580120381099911
120,Broadcast Scriptwriter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,0.7743766257616718,0.5294444444444445,Displaced,0.6341284146515023
121,Building Design Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,1.0614157123926595,0.6747222222222223,Augmented,0.7149814173756108
122,Building-Wiring Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,-0.9863345860553324,0.7455555555555556,Protected,-0.5945405699277976
123,Bulldozer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,-1.15238606969144,0.6227777777777778,Protected,-0.836120115009456
124,Business Development Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,1.1966462559768865,0.6319444444444445,Augmented,0.8572640817123306
125,Business Innovation Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,1.0600457450196432,0.5005555555555555,Displaced,0.8986832260555421
126,Business Intelligence Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,1.369842507381068,0.6147222222222223,Augmented,1.0049316838870557
127,Business News Research Assistant,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,1.1083010062005718,0.6130555555555556,Augmented,0.8149091009480316
128,Business Support Coordinator,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,1.0600457450196432,0.5005555555555555,Displaced,0.8986832260555421
129,Butcher,Manufacturing,Processing and preserving of meat,Not Higher Education,No,No,-0.7688751902862945,0.4733333333333334,Isolated,-0.6727657915005076
130,Butler,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,-0.5276871682377668,0.6405864197530864,Protected,-0.37346896465618
131,Butterfly Breeder,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,-1.0528327163871605,0.5588888888888889,Isolated,-0.8311529388811973
132,Cable TV Installer,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,-1.0922437980466209,0.6463888888888889,Protected,-0.7666944660177253
133,Cacao Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,-1.153152853548008,0.4963888888888889,Isolated,-0.9824221671754836
134,CAD Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,1.2355878663736692,0.5574537037037037,Displaced,0.9772012741324718
135,Cadet Marine Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,-0.5348275306846189,0.7002777777777777,Protected,-0.3465979525242267
136,Call Center Staff,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,1.0117367283079466,0.4713888888888888,Displaced,0.8872369031300521
137,Carbon Steel Plate Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,-0.9644465077543026,0.5352777777777777,Isolated,-0.78414859116579
138,Carbon Steel Plate/ Pipe Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,-0.9644465077543026,0.5352777777777777,Isolated,-0.78414859116579
139,Caregiver (Newborn),Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,-0.5276871682377668,0.6405864197530864,Protected,-0.37346896465618
140,Caregiver For People With Special Needs,Human Health and Social Work Activities,"Residential care activities for mental retardation, mental health and substance abuse",Not Higher Education,No,No,-0.5276871682377668,0.6405864197530864,Protected,-0.37346896465618
141,Caregiver Nanny,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,-0.5276871682377668,0.6126388888888888,Protected,-0.388216518077146
142,Cartoonist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,-0.5800703514608596,0.4575,Isolated,-0.5167460047597158
143,Casework Support Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,0.7806366196871929,0.6691666666666666,Augmented,0.5301823708708853
144,Cashier,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,-0.0637669727961953,0.5011111111111111,Isolated,-0.05402479639677658
145,Cataloguer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,0.8006554663832743,0.695328282828283,Augmented,0.5228320632627548
146,Cataloguing Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,1.4742814213283415,0.5972222222222223,Augmented,1.1073491564643987
147,CATV Systems Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,0.733024170282144,0.5569264403292181,Displaced,0.580120381099911
148,Certified Public Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,1.3620743346972182,0.4541666666666666,Displaced,1.2179214676084293
149,Certified Public Accountant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,1.3620743346972182,0.4541666666666666,Displaced,1.2179214676084293
150,Chaplaincy Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,1.2114588767178207,0.6294444444444444,Augmented,0.8709043258182557
151,Character Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,0.733024170282144,0.563888888888889,Displaced,0.5750167380213262
152,Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,-0.1489164181781776,0.57,Isolated,-0.11590661214868159
153,Chef de Partie - Butcher Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,-0.1489164181781776,0.57,Isolated,-0.11590661214868159
154,Chef de Partie - Entremetier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,-0.1489164181781776,0.57,Isolated,-0.11590661214868159
155,Chef de Partie - Main Course Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,-0.1489164181781776,0.57,Isolated,-0.11590661214868159
156,Chef de Partie - Saucier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,-0.1489164181781776,0.57,Isolated,-0.11590661214868159
157,Chemical Analyst (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,1.362684084864043,0.6530555555555556,Augmented,0.9474439623374165
158,Chemical Informatics Assistant,Manufacturing,Manufacture of basic chemicals,Higher Education,Yes,No,-0.3951131271969292,0.6322222222222222,Protected,-0.2829449005315788
159,Chemical Lab Technologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,-0.0372319794758209,0.5897222222222221,Isolated,-0.028244593319018584
160,Chemical Process Operator,Manufacturing,Manufacture of basic chemicals,Not Higher Education,No,No,-0.3951131271969292,0.6322222222222222,Protected,-0.2829449005315788
161,Chemical Production Technician,Manufacturing,Manufacture of basic chemicals,Higher Education,Yes,No,-0.3951131271969292,0.6322222222222222,Protected,-0.2829449005315788
162,Chemical Sprayer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,-0.5409268890934459,0.6108888888888889,Protected,-0.3989035292125778
163,Child Caregiver,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,-0.5276871682377668,0.6126388888888888,Protected,-0.388216518077146
164,Child Development Worker/Teacher,Education,Other education services,Not Higher Education,No,No,-0.5276871682377668,0.6126388888888888,Protected,-0.388216518077146
165,China Desk Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,1.4540568100648037,0.605625,Augmented,1.0799401099752137
166,Chocolate Maker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,-0.3972381613714977,0.5247222222222222,Isolated,-0.3271697634629141
