postId,link,text,timestamp,reactionLikeCount,reactionLoveCount,reactionSadCount,reactionAngryCount,reactionWowCount,reactionHahaCount,comments,translated_text
122160892214935198,,"#GreyhoundFreedomWall6897

(LOST AND FOUND) 

Helloo, has anyone seen a wallet left on the bench in front of the black building yung paliko po sa Sports Palace? I lost it last Saturday around 6PM. I really need it po, and I would truly appreciate it if at least the wallet could be returned, since it has sentimental value to me huhuu. May keychain po siya na brown. The wallet is light beige in color (nasa pic). Please comment here if nakita niyo or nakuha niyo po. Thank you very muchh!!",1770558304,,,,,,,,"#GreyhoundFreedomWall6897

(LOST AND FOUND) 

Helloo, has anyone seen a wallet left on the bench in front of the black building yung paliko po sa Sports Palace? I lost it last Saturday around 6PM. I really need it po, and I would truly appreciate it if at least the wallet could be returned, since it has sentimental value to me huhuu. May keychain po siya na brown. The wallet is light beige in color (nasa pic). Please comment here if nakita niyo or nakuha niyo po. Thank you very muchh!!"
122160891860935198,,"#GreyhoundFreedomWall6896

[Missing Item]

Hello everyone! Good day. I would like to ask for your help in finding my Sunnies eyeglasses in Penny Tan. It went missing around lunchtime today on NB or Pav. If anyone happens to see or find it, please comment down below. Thank you so much!",1770558243,,4.0,,,,,,"#GreyhoundFreedomWall6896

[Missing Item]

Hello everyone! Good day. I would like to ask for your help in finding my Sunnies eyeglasses in Penny Tan. It went missing around lunchtime today on NB or Pav. If anyone happens to see or find it, please comment down below. Thank you so much!"
122160891692935198,,"#GreyhoundFreedomWall6895

‎[confession]
‎
‎Super pogi talaga nung naka jersey number 1 ng unc men's volleyball team, so tall, so cutereeee!!!🫂💋😍",1770558183,,,,,,3.0,,"#GreyhoundFreedomWall6895

‎[confession]
‎
‎Super pogi when I wore jersey number 1 of the unc men's volleyball team, so tall, so cutereee!!!🫂💋😍"
122160891554935198,,"#GreyhoundFreedomWall6894

(Confession) 

Hi everyone! Can you please help me find this guy whom I crossed paths with last Monday around 12 pm in Sheeshabowls. He was with his friend and they were wearing their Forensic Science polo shirt.  He's tall, chinito, wearing glasses, curly-haired and of course , a cutie. I didn't know what year he's in, but I estimated he's in the 1st or 2nd year. I hope I see him in the hallways. 

- uno-psych-🌿",1770558124,,,,,,,1.0,"#GreyhoundFreedomWall6894

(Confession) 

Hi everyone! Can you please help me find this guy whom I crossed paths with last Monday around 12 pm in Sheeshabowls. He was with his friend and they were wearing their Forensic Science polo shirt.  He's tall, chinito, wearing glasses, curly-haired and of course , a cutie. I didn't know what year he's in, but I estimated he's in the 1st or 2nd year. I hope I see him in the hallways. 

- uno-psych-🌿"
122160891332935198,,"#GreyhoundFreedomWall6893

#Rant
Other girls just can’t hold it eh no? Mag cha-chat pa yan sa bf ng iba para makapagpapansin. Weirdo.

Disclaimer: not generalized. Only for few girls out there who do not know how to distance themselves.",1770558003,1.0,1.0,,,,,,"#GreyhoundFreedomWall6893

#Rant
Other girls just can’t hold it eh no? Mag cha-chat pa yan sa bf ng iba para makapagpapansin. Weirdo.

Disclaimer: not generalized. Only for few girls out there who do not know how to distance themselves."
122160889628935198,,"#GreyhoundFreedomWall6892

[Question] [Help]

Good day po! 🩷
I am humbly asking if, by any chance, you saw or picked up the bracelets in the photo. I think I might have left them somewhere in NB, specifically NB 203, around 5:00 pm last January 26 or 27, 2025. Please huhuhu may sentimental value po iyon sa akin 🥹 kindly react to the post na lang po or comment, Thank you po!",1770557468,1.0,2.0,,,,,,"#GreyhoundFreedomWall6892

[Question] [Help]

Good day po! 🩷
I am humbly asking if, by any chance, you saw or picked up the bracelets in the photo. I think I might have left them somewhere in NB, specifically NB 203, around 5:00 pm last January 26 or 27, 2025. Please huhuhu may sentimental value po iyon sa akin 🥹 kindly react to the post na lang po or comment, Thank you po!"
122160889436935198,,"#GreyhoundFreedomWall6891

[RANT] 
sana ma approve admin.

Concern Regarding Overnight Stay Policy for BRAPS (Psychology)

I would like to respectfully raise a concern regarding the policy that does not allow students to stay overnight with acquaintances from Iriga during the BRAPS event. I am from Iriga and will be participating in BRAPS. My parents are fully aware of the situation and have already given their consent for my friends to stay at our residence. They have also agreed to take full responsibility should any issues arise during the stay.
I am concerned about the instruction for students to return home after the event, which is expected to end around 9:00 PM. Traveling from Naga to Iriga at that hour raises serious safety and logistical concerns. The primary reason for arranging an overnight stay is that many students live far from UNC. While escorts may be provided, it is unclear whether students will be accompanied all the way to their respective homes or only until they reach UNC. At that time of night, transportation is very limited, especially for those residing in distant areas of Naga, and not all students are housed in dormitories near the university.
Furthermore, the second day of the event begins at 7:00 AM. If students arrive home close to midnight and are required to return early the following morning, this may pose difficulties in terms of rest, safety, and transportation. Students living in remote areas of Naga may struggle to find available transportation early in the morning to reach UNC in time, particularly since not all students have access to private transport or service vehicles.

In light of these concerns, I respectfully request that the policy be reconsidered, especially for students whose parents have provided explicit permission and are willing to assume responsibility. Allowing supervised and consented overnight stays may help ensure the safety, well-being, and active participation of students throughout the event.",1770557404,1.0,3.0,,,,,,"#GreyhoundFreedomWall6891

[RANT] 
sana ma approve admin.

Concern Regarding Overnight Stay Policy for BRAPS (Psychology)

I would like to respectfully raise a concern regarding the policy that does not allow students to stay overnight with acquaintances from Iriga during the BRAPS event. I am from Iriga and will be participating in BRAPS. My parents are fully aware of the situation and have already given their consent for my friends to stay at our residence. They have also agreed to take full responsibility should any issues arise during the stay.
I am concerned about the instruction for students to return home after the event, which is expected to end around 9:00 PM. Traveling from Naga to Iriga at that hour raises serious safety and logistical concerns. The primary reason for arranging an overnight stay is that many students live far from UNC. While escorts may be provided, it is unclear whether students will be accompanied all the way to their respective homes or only until they reach UNC. At that time of night, transportation is very limited, especially for those residing in distant areas of Naga, and not all students are housed in dormitories near the university.
Furthermore, the second day of the event begins at 7:00 AM. If students arrive home close to midnight and are required to return early the following morning, this may pose difficulties in terms of rest, safety, and transportation. Students living in remote areas of Naga may struggle to find available transportation early in the morning to reach UNC in time, particularly since not all students have access to private transport or service vehicles.

In light of these concerns, I respectfully request that the policy be reconsidered, especially for students whose parents have provided explicit permission and are willing to assume responsibility. Allowing supervised and consented overnight stays may help ensure the safety, well-being, and active participation of students throughout the event."
122160330404935198,,We're only sharing urgent and relevant information in this page. This is one of them:,1770284026,1.0,42.0,,,,,,We're only sharing urgent and relevant information in this page. This is one of them:
122160134396935198,,"#GreyhoundFreedomWall6889

[Confession?]

Nakita ko kanina si engineering crush... Hanggang ngayon di ako makatulog kakaisip ng smile niya. Her laugh is so cute too haha laging may hawak sting.
Kung ako nalang kaya maging energy drink mo miss?",1770207423,1.0,,,,,26.0,,"#GreyhoundFreedomWall6889

[Confession?]

I saw engineering crush earlier... Until now I can't sleep thinking about his smile. Her laugh is so cute too haha ​​always has a sting.
If only I could be your energy drink miss?"
122160134294935198,,"#GreyhoundFreedomWall6888

[Question, Help]

Hello po! I am selling my two (2) medium uniform blouse (Good as new). price is negotiable naman. 

Kindly comment to this post na lang po for the price and for availing po, thank you!",1770207363,,,,,,,,"#GreyhoundFreedomWall6888

[Question, Help]

Hello po! I am selling my two (2) medium uniform blouse (Good as new). price is negotiable naman. 

Kindly comment to this post na lang po for the price and for availing po, thank you!"
122160134198935198,,"#GreyhoundFreedomWall6887

(confession)

Hi to the girl who played dodgeball during the SBA days. I don’t know your name. You were wearing a violet t-shirt, and your team played first.

I just wanted to say that I admire you. Even though you were already tired, you still kept smiling. I watched you until the end of the game, and you never stopped smiling.

I hope you’re okay now. Congratulations.🌼 

— JMP",1770207242,,,,,,,2.0,"#GreyhoundFreedomWall6887

(confession)

Hi to the girl who played dodgeball during the SBA days. I don’t know your name. You were wearing a violet t-shirt, and your team played first.

I just wanted to say that I admire you. Even though you were already tired, you still kept smiling. I watched you until the end of the game, and you never stopped smiling.

I hope you’re okay now. Congratulations.🌼 

— JMP"
122160133862935198,,"#GreyhoundFreedomWall6886

[QUESTION]

Hi everyone! Sain po igdi sa Naga nakakabakal ning second hand digicam? Or if may kabisto kamo na nag papabakal po, pa comment nalang hehe salamat!!! 

UHAW SA DIGICAM",1770207124,1.0,,,,,,,"#GreyhoundFreedomWall6886

[QUESTION]

Hi everyone! Where can I buy a second hand digicam here in Naga? Or if you know someone who is selling, just comment hehe thank you!!! 

THIRSTY FOR DIGICAM"
122159986352935198,,"#GreyhoundFreedomWall6885

‎[confession]
‎
‎crushibabess ko yung men's volleyball player ng unc ;))))",1770115205,,,,,,1.0,7.0,"#GreyhoundFreedomWall6885

‎[confession]
‎
My crushibabess is the men's volleyball player of unc ;))))"
122159986202935198,,"#GreyhoundFreedomWall6884

[Question & Help]

hello! i'm selling my Medium size Blouse+Pants (im 5'0 btw)
Also my Chefs Uniform Medium (Good as New)

for interested, kindly react nalang to this post. thank you!",1770115142,,,,,,,,"#GreyhoundFreedomWall6884

[Question & Help]

hello! i'm selling my Medium size Blouse+Pants (im 5'0 btw)
Also my Chefs Uniform Medium (Good as New)

for interested, kindly react nalang to this post. thank you!"
122159879456935198,,"#GreyhoundFreedomWall6883

(Question)
HI Po!  Sino po d2 graduating student na ibebenta na yung Chef uniform nila na set?  3xl po snaaaa THANK YOU POO
React or comment po",1770046624,,,,,,,,"#GreyhoundFreedomWall6883

(Question)
Hi Po!  Who is the d2 graduating student who is going to sell their Chef uniform set?  3xl po snaaaa THANK YOU POO
React or comment"
122159878562935198,,"#GreyhoundFreedomWall6882

[confession]

since it's month of love naman, i just want to confess my feelings sa isang student sa bsid 1st year. i like you matagal na, since 2025 pa (the day we got close) i met you sa isang event and nakausap na rin—that's all, i just like you, or i love you rather.",1770046023,1.0,,,,,,,"#GreyhoundFreedomWall6882

[confession]

since it's the month of love, i just want to confess my feelings to a student in bsid 1st year. I like you for a long time, since 2025 (the day we got close) I met you at an event and talked—that's all, I just like you, or I love you rather."
122159878478935198,,"#GreyhoundFreedomWall6881

Rant

Shoutout doon sa kaklase ko na CE student😭 Gala with friends tas jowa, gusto? Tulong sa acads, ayaw? Mahiya ka naman po huhu 3rd year ka na pero magabaton ka pa nanggad sa groupings🙂",1770045963,,,,,,27.0,,"#GreyhoundFreedomWall6881

Rant

Shoutout to my classmate who is a CE student😭 Gala with friends tas jowa, do you want? Help with acads, don't you want? You're shy, you're in your 3rd year, but you'll still be accepted in groupings🙂"
122159871644935198,,"#GreyhoundFreedomWall6880

[rant] [event]

Pag nagpost or story ako ning artworks mayo nagrereact. Pero kung thrist trap yan with huge dede kadakol views and reaction kayan. 

HAPPY ARTS MONTH! 💋
#NationalArtsMonth
#February",1770042244,,,,,,7.0,,"#GreyhoundFreedomWall6880

[rant] [event]

When I post or story about these artworks, no one reacts. But if that's a thrist trap with huge views and reactions, that's okay. 

HAPPY ARTS MONTH! 💋
#NationalArtsMonth
#February"
122159871542935198,,"#GreyhoundFreedomWall6879

[help]
Hello po, sino po dito Rlw 1293? Saan po ba yung new classroom? (⁠╥⁠﹏⁠╥⁠) Pls pls pls pls pls",1770042184,2.0,,,,,,,"#GreyhoundFreedomWall6879

[help]
Hello, who is Rlw 1293 here? Where is the new classroom? (⁠╥⁠﹏⁠╥⁠) Pls pls pls pls pls"
122159871422935198,,"#GreyhoundFreedomWall6878

(help)

baka po may nagse-sell sa inyo ng pre-loved psych merch nila? i am currently looking for a psych shirt/polo and ID lace hehe",1770042123,,,,,,,,"#GreyhoundFreedomWall6878

(help)

Maybe someone is selling you their pre-loved psych merch? I am currently looking for a psych shirt/polo and ID lace hehe"
122159871152935198,,"#GreyhoundFreedomWall6877

[Rant]

Shout out sa ka group ko Jan na grabe ang mga reasons kapag nag gigiribo na, minakukog bigla tapos atyan ma post Ning thirst strap nya sa ig, like girl the audacity para mag ganyan samantalang kami nagpapaka hirap na Gawin tung activity na to. Wala kana sa high school na kaya pang i-tolerate ganyang ugali mo",1770042003,1.0,,,,,38.0,,"#GreyhoundFreedomWall6877

[rant]

Shout out sa ka group ko Jan na grabe ang mga reasons kapag nag gigiribo na, minakukog bigla tapos atyan ma post Ning thirst strap nya sa ig, like girl the audacity para mag ganyan samantalang kami nagpapaka hirap na Gawin tung activity na to. No one in high school can tolerate that kind of behavior of yours"
122159870978935198,,"#GreyhoundFreedomWall6876

[Question] 

Hi! Would like to ask po if updated po ba ang student portal niyo? Mine kasi 1st sem 2025-2026 pa ang nareflect. Really need the statement of account. Just making sure if this is just on my end lang before I approach the relevant offices. Thank you",1770041947,,,,,,,,"#GreyhoundFreedomWall6876

[Question] 

Hi! Would like to ask po if updated po ba ang student portal niyo? Mine kasi 1st sem 2025-2026 pa ang nareflect. Really need the statement of account. Just making sure if this is just on my end lang before I approach the relevant offices. Thank you"
122159398358935198,,"Good evening @followers, @topfans, and to all of us here in the GFW Community. 

On behalf of all the admins of this page, I, Admin 001, the founder of this Greyhound Freedom Wall, would like to ask a favor to all of you to help us decide the fate of this page.

For almost a year, we tried to make this space as wholesome as much as we can and admittedly, not all content here are wholesome and with that, we take full accountability to all of that. We always try to improve and do better in running this page. 

At the same time, we are happy to see that this has been a space for students and alumni to share their thoughts and even help others in need. 

With the changes of priorities in life of the admins, especially me, the founder, we are now deciding the fate of this page for good.

We would like to ask your opinions on whether we should:

A. Turn over this page to either the UNC University Student Government or The DEMOCRAT which we believe that will stand for the best interest of the students and alumni who share their thoughts here;

B. Turn over this to the UNC Admission Office, which we believe will be able to handle the GFW more professionally;

C. Continue running this page, but submissions will still be approved and posted for a period of time because of the change of priorities of the admins; or

D. Delete this page permanently or sell it.

Your insights will be of great help. 

Sincerely, 

Admin 001",1769776517,7.0,9.0,,,1.0,,11.0,"Good evening @followers, @topfans, and to all of us here in the GFW Community. 

On behalf of all the admins of this page, I, Admin 001, the founder of this Greyhound Freedom Wall, would like to ask a favor to all of you to help us decide the fate of this page.

For almost a year, we tried to make this space as wholesome as much as we can and admittedly, not all content here are wholesome and with that, we take full accountability to all of that. We always try to improve and do better in running this page. 

At the same time, we are happy to see that this has been a space for students and alumni to share their thoughts and even help others in need. 

With the changes of priorities in life of the admins, especially me, the founder, we are now deciding the fate of this page for good.

We would like to ask your opinions on whether we should:

A. Turn over this page to either the UNC University Student Government or The DEMOCRAT which we believe that will stand for the best interest of the students and alumni who share their thoughts here;

B. Turn over this to the UNC Admission Office, which we believe will be able to handle the GFW more professionally;

C. Continue running this page, but submissions will still be approved and posted for a period of time because of the change of priorities of the admins; or

D. Delete this page permanently or sell it.

Your insights will be of great help. 

Sincerely, 

Admin 001"
122159152172935198,,"#GreyhoundFreedomWall6875

(help)

sino po ang may code sa STS na 1276, pwede po ba malaman ang full name ng professor and kung anong fb profile para mamessage ko and ma-add ako sa gc",1769619845,1.0,,,,,,,"#GreyhoundFreedomWall6875

(help)

who has the STS code of 1276, can I know the full name of the professor and what fb profile so I can message and add me to gc"
122159152124935198,,"#GreyhoundFreedomWall6874

(rant)

sana may evaluation rin para sa mga staff sa registrar ng unc eh. pinapa sweldo ata sila diyan para mag taray eh no...lala",1769619783,,,,,,,,"#GreyhoundFreedomWall6874

(rant)

I hope there is an evaluation for the staff at the registrar of unc. they're being paid to play games...lala"
122159152004935198,,"#GreyhoundFreedomWall6873

(Help)

as a student dormer with a weekly allowance of only 500 pesos, I am very tired. I am tired of stretching that money for all my 6 days classes per week just to feed myself, and doing that in the dorm is very hard because we're not allowed to cook inside. kahit anong diskarte na ginagawa ko, pero kulang pa rin talaga eh. kahit mag siomai rice pa ako everyday, kulang pa rin kasi hindi lang naman pagkain ang expenses. may internship ako next school year, kaya minsan, ayo ko na talaga mabuhay

-god knows I'm trying",1769619724,3.0,8.0,110.0,,,,4.0,"#GreyhoundFreedomWall6873

(help)

as a student dormer with a weekly allowance of only 500 pesos, I am very tired. I am tired of stretching that money for all my 6 days classes per week just to feed myself, and doing that in the dorm is very hard because we're not allowed to cook inside. no matter what strategy I do, it's still not enough. even if I eat siomai rice everyday, it's still not enough because the expenses are not just food. I have an internship next school year, so sometimes, I really don't want to live

-god knows I'm trying"
122159151728935198,,"#GreyhoundFreedomWall6872

[Thankful]

Yesterday, I was struggling carrying a bag full of things for our trade fair and an ice box that's so heavy na HAHAHAHAHA. Grabe na complaints ko sa sarili ko na di ako nag ask for help sa groupmates ko HAHAHAH. However there's one girl in JHS, she asked me if I needed help but I refused. I refuse because ang bigat talaga ng dala ko and I don't want her hands to bear the pain I was in and also because I know she wouldn't able to carry it because mabigat talaga😭, pinilit niya talaga ako but ayaw ko talaga HAHAHAHAHAHA. Girl, I'm very thankful for you and I really appreciate your kindness, yung anger ko sa sarili ko that time nawala because I was really touched of her action.

-☘️🩷🧇",1769619665,,1.0,,,,,,"#GreyhoundFreedomWall6872

[thankful]

Yesterday, I was struggling carrying a bag full of things for our trade fair and an ice box that's so heavy HAHAHAHAHA. I complain so much to myself that I didn't ask my groupmates for help HAHAHAH. However there's one girl in JHS, she asked me if I needed help but I refused. I refuse because what I'm carrying is really heavy and I don't want her hands to bear the pain I was in and also because I know she wouldn't be able to carry it because it's really heavy😭, she really forced me but I really don't want to HAHAHAHAHAHA. Girl, I'm very thankful for you and I really appreciate your kindness, my anger at myself at that time disappeared because I was really touched by her action.

-☘️🩷🧇"
122159151578935198,,"#GreyhoundFreedomWall6871

[help]

Who else po is enrolled to STS 1047?
I haven't received a class invitation. If anyone received the link po for this class, I need help po. React na lang po kayo dito ng ""like"" , if you have a class invitation, I'll pm you po. I have my proof naman po of matri.

I would really appreciate it po. Thank u so much",1769619605,,,,,,,,"#GreyhoundFreedomWall6871

[help]

Who else po is enrolled to STS 1047?
I haven't received a class invitation. If anyone received the link po for this class, I need help po. React na lang po kayo dito ng ""like"" , if you have a class invitation, I'll pm you po. I have my proof naman po of matri.

I would really appreciate it po. Thank u so much"
122159151512935198,,"#GreyhoundFreedomWall6870

[help]
hellooooo, sino po nag be-benta d2 ng pathfit short (medium), just drop a dot and I'll dm u po. thnx.",1769619544,,,,,,,,"#GreyhoundFreedomWall6870

[help]
hellooooo, sino po nag be-benta d2 ng pathfit short (medium), just drop a dot and I'll dm u po. thnx."
122159151374935198,,"#GreyhoundFreedomWall6869

(QUESTION)

hello po! nag start na po ba class sa sts 1343 at ethics 1332? if yes, pashare man po gclass code 🥹",1769619482,,,,,,,,"#GreyhoundFreedomWall6869

(QUESTION)

Hello! Has class started in sts 1343 and ethics 1332? if yes, please share gclass code 🥹"
122159151176935198,,"#GreyhoundFreedomWall6868

(QUESTION,HELP)

Good morning po, sino po meron or Kakilala na may STS(1275) may gc Napo ba? Wala pa Kase nasend sakin na  email, even Sa glass wala padin, pm ko nalang po kayo, thank youuu(comment nalang po hehe)",1769619423,,,,,,,,"#GreyhoundFreedomWall6868

(QUESTION, HELP)

Good morning, who has or knows someone who has STS(1275) does it have gc? I haven't received an email yet, even though there is nothing on the glass, I'll just PM you, thank youuu (comment only hehe)"
122159150948935198,,"#GreyhoundFreedomWall6867

[question po]

tano dai pa po nahihiling ang babayadan this sem sa student portal?  sa system po ba yan ?",1769619362,,,,,,,,"#GreyhoundFreedomWall6867

[question]

Why is the payment not yet requested this sem in the student portal?  is that in the system?"
