Identifier,Region,NTESDP Strategic Pillar Compenents,Output,Possible Funding Sources,List of Accomplishments,Accomplishments,PHYSICAL TARGETS,,,,,Accomplishments,FUNDING REQUIREMENTS,,,,
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|CS Development|TESDA MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,CS Development,TESDA MOOE,NUMBER OF CS DEVELOPED,3,13,14,3,3,36,"195,000",0,"50,000","150,000","150,000","545,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of STAR Awardees increased|TESDA MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of STAR Awardees increased,TESDA MOOE,1 STAR EIM NC II,3,7,7,6,6,29,"150,000","225,000","225,000","225,000","225,000","975,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|NUMBER OF NTTC HOLDER ON PRIORITY SECTOR IDENTIFIED|OTHER GOVERNMENT OFFICES PARTNERS,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,NUMBER OF NTTC HOLDER ON PRIORITY SECTOR IDENTIFIED,OTHER GOVERNMENT OFFICES PARTNERS,,0,73,73,20,20,186,0,0,0,0,0,"15,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|NUMBER OF NTTC HOLDER ON PRIORITY SECTOR IDENTIFIED|TESDA FUND,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,NUMBER OF NTTC HOLDER ON PRIORITY SECTOR IDENTIFIED,TESDA FUND,,0,27,27,5,5,64,0,"90,000","90,000","15,000","15,000","180,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|NUMBER OF TRAINERS ACCREDITED FOR NTR ON PRIORITY SECTOR IDENTIFIED|OTHER GOVERNMENT OFFICES PARTNERS,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,NUMBER OF TRAINERS ACCREDITED FOR NTR ON PRIORITY SECTOR IDENTIFIED,OTHER GOVERNMENT OFFICES PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,"50,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|NUMBER OF TRAINERS ACCREDITED FOR NTR ON PRIORITY SECTOR IDENTIFIED|TESDA FUND,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,NUMBER OF TRAINERS ACCREDITED FOR NTR ON PRIORITY SECTOR IDENTIFIED,TESDA FUND,NUMBER OF TRAINERS ACCREDITED FOR NTR ON PRIORITY SECTOR IDENTIFIED,2,41,41,12,12,108,"7,500","45,000","45,000","7,500","7,500","97,500"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|CONGRESSPERSONS FUND|",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",CONGRESSPERSONS FUND,,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|GAA|",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",GAA,,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|INDUSTRY PARTNERS|",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",INDUSTRY PARTNERS,,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|LGU FUND|",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",LGU FUND,,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|OTHER GOVERNMENT OFFICES' FUND|",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",OTHER GOVERNMENT OFFICES' FUND,,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|OTHER PARTNER|",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",OTHER PARTNER,,,0,0,0,0,0,0,1,0,0,0,0,1
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|OTHER PARTNERS|",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",OTHER PARTNERS,,,0,0,0,0,0,0,0,0,0,0,0,"75,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|NUMBER OF GRADUATES ON TVET PRIORITY PROGRAMS INCREASED|TESDA MOOE",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",NUMBER OF GRADUATES ON TVET PRIORITY PROGRAMS INCREASED,TESDA MOOE,SCHOLARSHIP ENROLLED,"4,580","75,303","43,872","18,000","18,000","159,755","104,961,188","600,000,000","367,875,000","270,000,000","270,000,000","1,490,211,188"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|% increase of programs offered by Enterprise-based Training Implementers|PARTNER INDUSTRIES",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",% increase of programs offered by Enterprise-based Training Implementers,PARTNER INDUSTRIES,NUMBER OF EBT TRAINING PROGRAM,0,0,0,0,0,0,0,0,0,0,0,"3,000,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|% increase of programs offered by Enterprise-based Training Implementers|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",% increase of programs offered by Enterprise-based Training Implementers,TESDA FUND,NUMBER OF EBT TRAINING PROGRAM,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|LGU FUND|NUMBER OF CTECS CAPACITATED",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",LGU FUND,NUMBER OF CTECS CAPACITATED,,9,3,3,3,1,19,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|LGU FUND|NUMBER OF LGU RUN TRAINING CENTER",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",LGU FUND,NUMBER OF LGU RUN TRAINING CENTER,,1,1,1,1,1,5,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|PARTNER INDUSTRIES|",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",PARTNER INDUSTRIES,,,0,1,1,1,1,4,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TESDA FUND|",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TESDA FUND,,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Assessment Center Accreditation|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Assessment Center Accreditation,INDUSTRY PARTNERS,"NUMBER OF NEW ASSESSMENT CENTER ACCREDITED
NUMBER OF NEW ASSESSMENT CENTER ACCREDITED",350,406,432,280,230,"1,698","600,000","500,000","600,000","600,000","600,000","2,700,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|ASSESSMENT CENTER ACCREDITATION|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",ASSESSMENT CENTER ACCREDITATION,INDUSTRY PARTNERS,"NUMBER OF NEW ASSESSMENT CENTER ACCREDITED
NUMBER OF NEW ASSESSMENT CENTER ACCREDITED",350,406,432,280,230,"1,698","600,000","500,000","600,000","600,000","600,000","2,700,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|ASSESSMENT CENTER ACCREDITATION|LGU FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",ASSESSMENT CENTER ACCREDITATION,LGU FUND,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Assessment Center Accreditation|MOOE/LGU/Other Partners",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Assessment Center Accreditation,MOOE/LGU/Other Partners,,0,0,0,0,0,0,0,0,0,0,0,"75,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Assessment Center Accreditation|TESDA MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Assessment Center Accreditation,TESDA MOOE,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|ASSESSMENT CENTER ACCREDITATION|TESDA MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",ASSESSMENT CENTER ACCREDITATION,TESDA MOOE,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Establishment of ITB's|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Establishment of ITB's,INDUSTRY PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,"30,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Establishment of ITB's|TESDA MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Establishment of ITB's,TESDA MOOE,NUMBER OF ITB MAINTAINED,2,2,0,1,1,6,"80,000",0,0,0,0,"80,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|LGU FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,LGU FUND,NUMBER OF CTECS CAPACITATED,18,6,6,6,2,38,"10,000","3,000","3,000","3,000","1,000","17,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of CTECs capacitated|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of CTECs capacitated,TESDA FUND,,0,0,0,0,0,0,0,0,0,0,0,"5,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of individuals provided with skills training through CTECS|LGU FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of individuals provided with skills training through CTECS,LGU FUND,NUMBER OF GRADUATES ON COMMUNITY BASED TRAINING THRU CTECS,0,"5,706","39,630","15,000","15,000","75,336",0,"19,020,000","130,000,000","50,000,000","50,000,000","184,020,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of individuals provided with skills training through CTECS|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of individuals provided with skills training through CTECS,TESDA FUND,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of LGUs with local training centers established|LGU FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of LGUs with local training centers established,LGU FUND,NUMBER OF LGU RUN TRAINING CENTER,2,2,2,2,2,10,"5,000","5,000","5,000","5,000","5,000","20,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,INDUSTRY PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,"20,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|LGU FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,LGU FUND,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,OTHER GOVERNMENT OFFICES PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,"5,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,TESDA FUND,,0,123,104,40,40,307,0,"45,000","75,000","30,000","30,000","155,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of partnerships established|TESDA MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of partnerships established,TESDA MOOE,"NUMBER OF NEW PATNERSHIP ESTABLISHED
NUMBER OF PARTNERSHIP ESTBALISHED",30,31,19,35,35,150,"75,000","90,000","90,000","90,000","90,000","405,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of skills training programs and projects co-implemented with international and local partners|PARTNER INDUSTRIES",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of skills training programs and projects co-implemented with international and local partners,PARTNER INDUSTRIES,,0,0,0,0,0,0,0,0,0,0,0,"5,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of skills training programs and projects co-implemented with international and local partners|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of skills training programs and projects co-implemented with international and local partners,TESDA FUND,NUMBER OF TVET GRADUATES NON SCHOLAR,0,"32,499","18,843","3,000","3,000","57,342",0,"12,000,000","6,000,000","2,000,000","2,000,000","19,000,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of trainers and assessors that underwent industry immersion|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of trainers and assessors that underwent industry immersion,INDUSTRY PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,"25,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of trainers and assessors that underwent industry immersion|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of trainers and assessors that underwent industry immersion,OTHER GOVERNMENT OFFICES PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|No. of trainers and assessors that underwent industry immersion|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",No. of trainers and assessors that underwent industry immersion,TESDA FUND,,0,123,104,40,40,307,0,"90,000","150,000","30,000","30,000","250,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|NUMBER OF TM COC 2 GRADUATES ON PRIORITY SECTOR IDENTIFIED|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",NUMBER OF TM COC 2 GRADUATES ON PRIORITY SECTOR IDENTIFIED,OTHER GOVERNMENT OFFICES PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|NUMBER OF TM COC 2 GRADUATES ON PRIORITY SECTOR IDENTIFIED|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",NUMBER OF TM COC 2 GRADUATES ON PRIORITY SECTOR IDENTIFIED,TESDA FUND,,0,23,23,5,5,56,0,"25,000","25,000","10,000","10,000","70,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|NUMBER OF TM COC 2 GRADUATES PRIORITY SECTOR IDENTIFIED|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",NUMBER OF TM COC 2 GRADUATES PRIORITY SECTOR IDENTIFIED,OTHER GOVERNMENT OFFICES PARTNERS,,0,101,101,20,20,242,0,0,0,0,0,"30,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|NUMBER OF TM COC 2 GRADUATES PRIORITY SECTOR IDENTIFIED|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",NUMBER OF TM COC 2 GRADUATES PRIORITY SECTOR IDENTIFIED,TESDA FUND,,0,0,0,0,0,0,0,"50,000","50,000","20,000","20,000","115,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase in the number of Enterprise-based Training graduates|PARTNER INDUSTRIES",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase in the number of Enterprise-based Training graduates,PARTNER INDUSTRIES,,0,1,1,1,1,4,0,"5,000","5,000","5,000","5,000","18,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase of Enterprise-based Training Implementers|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase of Enterprise-based Training Implementers,INDUSTRY PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase of Enterprise-based Training Implementers|PARTNER INDUSTRIES",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase of Enterprise-based Training Implementers,PARTNER INDUSTRIES,NUMBER OF EBT IMPLEMENTER,1,1,1,1,1,5,1,"5,000","5,000","5,000","5,000","20,001"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase of Enterprise-based Training Implementers|TESDA MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase of Enterprise-based Training Implementers,TESDA MOOE,NUMBER OF NEW EBT IMPLEMENTER,6,2,2,2,2,14,"30,000","10,000","10,000","10,000","10,000","65,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Percentage increase of TVET Providers / Registered Programs|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Percentage increase of TVET Providers / Registered Programs,OTHER GOVERNMENT OFFICES PARTNERS,,0,213,72,10,10,305,0,"186,000","294,000","30,000","30,000","540,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TRAINER'S METHODOLOGY 1 GRADUATE ON PRIORITY SKILL IDENTIFIED|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TRAINER'S METHODOLOGY 1 GRADUATE ON PRIORITY SKILL IDENTIFIED,OTHER GOVERNMENT OFFICES PARTNERS,NUMBER OF TRAINERS METHODOLOGY 1 GRADUATE ON PRIORITY SKILL,0,99,55,10,10,174,0,"648,268",0,"120,420","120,420","889,108"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TRAINER'S METHODOLOGY 1 GRADUATE ON PRIORITY SKILL IDENTIFIED|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TRAINER'S METHODOLOGY 1 GRADUATE ON PRIORITY SKILL IDENTIFIED,TESDA FUND,,0,0,0,0,0,0,0,0,0,0,0,"294,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TRAINER'S METHODOLOGY COC 1 GRADUATE ON PRIORITY SKILL IDENTIFIED|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TRAINER'S METHODOLOGY COC 1 GRADUATE ON PRIORITY SKILL IDENTIFIED,OTHER GOVERNMENT OFFICES PARTNERS,,0,59,37,10,10,116,0,"186,000","294,000","30,000","30,000","246,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TRAINER'S METHODOLOGY COC 1 GRADUATE ON PRIORITY SKILL IDENTIFIED|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TRAINER'S METHODOLOGY COC 1 GRADUATE ON PRIORITY SKILL IDENTIFIED,TESDA FUND,,0,0,0,0,0,0,0,0,0,0,0,"25,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TRAINERS' METHODOLOGY 1 GRADUATE ON PRIORITY SKILL IDENTIFIED|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TRAINERS' METHODOLOGY 1 GRADUATE ON PRIORITY SKILL IDENTIFIED,OTHER GOVERNMENT OFFICES PARTNERS,NUMBER OF TRAINERS METHODOLOGY 1 GRADUATE ON PRIORITY SKILL,1,27,0,5,5,38,0,"324,134",0,"60,210","60,210","444,554"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TRAINERS' METHODOLOGY 1 GRADUATE ON PRIORITY SKILL IDENTIFIED|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TRAINERS' METHODOLOGY 1 GRADUATE ON PRIORITY SKILL IDENTIFIED,TESDA FUND,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TRAINERS' METHODOLOGY COC 1 GRADUATE ON PRIORITY SKILL IDENTIFIED|OTHER GOVERNMENT OFFICES PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TRAINERS' METHODOLOGY COC 1 GRADUATE ON PRIORITY SKILL IDENTIFIED,OTHER GOVERNMENT OFFICES PARTNERS,,0,31,49,5,5,90,0,"186,000","294,000","30,000","30,000","540,000"
