IDENTIFIER,REGION,SECTOR,SUBSECTOR,JOB REQUIREMENT,PROGRAM,TYPE,TASK + UC
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|New and Emerging|PRODUCE ORGANIC VEGETABLE SEEDS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH /ORGANIC QUALITY SEEDS GROWER,NONE,New and Emerging,PRODUCE ORGANIC VEGETABLE SEEDS
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|New and Emerging|RICE PRODUCTION SEED CERTIFICATION AND FARM MECHANIZATION,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH QUALITY INBREED RICE GROWER,NONE,New and Emerging,RICE PRODUCTION SEED CERTIFICATION AND FARM MECHANIZATION
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|New and Emerging|IDENTIFY COMPATIBLE CROPS WITH COCONUT,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,INTERCROPPING TECHNICIAN,NONE,New and Emerging,IDENTIFY COMPATIBLE CROPS WITH COCONUT
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|With CS|PRODUCE COCONUT and PROCESS COCONUT PRDUCTS AND BY PRODUCTS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)",COCONUT PRODUCTION LEVEL II,With CS,PRODUCE COCONUT and PROCESS COCONUT PRDUCTS AND BY PRODUCTS
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|With TR|PROPAGATE, PLANT CARE, MAINTAIN, LANDSCAPE AND MANAGE ORNAMENTAL PLANTS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,HORTICULTURE,"LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE",LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II,With TR,"PROPAGATE, PLANT CARE, MAINTAIN, LANDSCAPE AND MANAGE ORNAMENTAL PLANTS"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II|With TR|PRODUCE ORGANIC FERTILIZER, SEEDS, RICE",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,MAKE ORGANIC FERTILIZER & CONCOCTION,ORGANIC AGRICULTURE PRODUCTION NC II,With TR,"PRODUCE ORGANIC FERTILIZER, SEEDS, RICE"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|New and Emerging|PRODUCE AND PROCESS MEDICINAL PLANTS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)",NONE,New and Emerging,PRODUCE AND PROCESS MEDICINAL PLANTS
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|New and Emerging|REPAIR FARM EQUIPMENT,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE,REPAIR OF FARM MECHANICAL EQUIPMENT,NONE,New and Emerging,REPAIR FARM EQUIPMENT
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|With TR|MANAGE, HOUSE, FEED, BREED AND REPRODUCE RUMINANTS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,RUMINANTS GROWER AND PRODUCER,ANIMAL PRODUCTION (RUMINANTS) NC II,With TR,"MANAGE, HOUSE, FEED, BREED AND REPRODUCE RUMINANTS"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|With TR|OPERATE AUTOMATED FARMING MACHINIRIES,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE FORESTRY AND FISHERY,SMART FARMING EQUIPMENT OPERATOR,AGRICULTURAL DRONE OPERATION LEVEL II,With TR,OPERATE AUTOMATED FARMING MACHINIRIES
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|With TR|COLLECT AND INCUBATE EGG IN HATCHERY,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FISHERY,TILAPIA FRY PRODUCTION,AQUACULTURE (TILAPIA CULTURE) NC II,With TR,COLLECT AND INCUBATE EGG IN HATCHERY
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|With TR|OPERATE DRILLING MACHINE",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,"RICE, VEGETABLE PRODUCTION",WELL DRILLING OPERATIONS AND MAINTENANCE,WATER WELL DRILLING LEVEL II,With TR,OPERATE DRILLING MACHINE
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE|New and Emerging|REPAIR FARM EQUIPMENT,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MECHANICS & OPERATORS,NONE,New and Emerging,REPAIR FARM EQUIPMENT
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III|With TR|PERFORM REPAIR AND DIAGNOSE MALFUNCTIONS,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND MAINTENANCE,AUTO AIRCON TECHNICIAN,AUTOMOTIVE SERVICING NC III,With TR,PERFORM REPAIR AND DIAGNOSE MALFUNCTIONS
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ELECTRICAL INSTALLATION|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|With TR|PERFORM TROUBLE SHOOTING,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,ELECTRICAL INSTALLATION,AUTO ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,With TR,PERFORM TROUBLE SHOOTING
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO TECHNICIAN LABORER|AUTOMOTIVE SERVICING NC I|With TR|SUPPORT THE WORK OF CERTIFIED TECHNICIAN,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND MAINTENANCE,AUTO TECHNICIAN LABORER,AUTOMOTIVE SERVICING NC I,With TR,SUPPORT THE WORK OF CERTIFIED TECHNICIAN
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|With TR|MANAGE LEATERS CUSTOMERS FOR SERVICE,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICES,AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN,AUTOMOTIVE SERVICING NC I,With TR,MANAGE LEATERS CUSTOMERS FOR SERVICE
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|CONVEY PASENGERS,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (PASSENGER BUS) NC III,BUS & PUB DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,With TR,CONVEY PASENGERS
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|TRANPORTATION AND WAREHOUSING|DRIVING|DRIVING NC II|With TR|PICK-UP AND DELIVERY,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,TRANPORTATION AND WAREHOUSING,DRIVING,DRIVING NC II,With TR,PICK-UP AND DELIVERY
"REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|MARKETING AND SALES|MOTORCYCLE & SMALL ENGINE TECHNICIAN|MOTORCYCLE/SMALL ENGINE SERVICING NC II|With TR|TRAIN SALES TEAM MEMBERS, CONDUCT MARKET RESEARCH, DEVELOP AND PROMOTE PRODUCT",REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,MARKETING AND SALES,MOTORCYCLE & SMALL ENGINE TECHNICIAN,MOTORCYCLE/SMALL ENGINE SERVICING NC II,With TR,"TRAIN SALES TEAM MEMBERS, CONDUCT MARKET RESEARCH, DEVELOP AND PROMOTE PRODUCT"
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|RECEPTIONIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|FRONT OFFICE SERVICES NC II|With TR|CATER AND ENTERTAINED THE CUSTOMER,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,RECEPTIONIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,FRONT OFFICE SERVICES NC II,With TR,CATER AND ENTERTAINED THE CUSTOMER
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|RECEIVED PAYMENT,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,CASHIER,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,With TR,RECEIVED PAYMENT
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|TO PREPARE REPORTS,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNTING,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,With TR,TO PREPARE REPORTS
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|COLLECT PAYMENT,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNT SPECIALIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,With TR,COLLECT PAYMENT
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (STRAIGHT TRUCK) NC III|TRUCK DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|DELIVERY OF GOODS,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (STRAIGHT TRUCK) NC III,TRUCK DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,With TR,DELIVERY OF GOODS
"REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND INSTALLATION|WELDER|AUTOMOTIVE BODY REPAIRING NC II|With TR|REPAIR VEHICLE BODY PANELS AND COMPONENTS
WELD CARBON STEEL PLATES USING FCAWWELD CARBON STEEL PIPES USING FCAWWELD ALLOY STEEL PIPES USING FCAW
WELD ALLOY STEEL PLATES USING FCAWWELD CARBON STEEL PLATES USING GMAWWELD CARBON STEEL PIPES USING GMAWWELD ALLOY STEEL PIPES USING GMAW
WELD ALLOY STEEL PLATES USING GMAWWELD CARBON STEEL PLATES USING GTAW
WELD CARBON STEEL PIPES USING GTAWWELD ALLOY STEEL PLATES USING GTAW
WELD ALLOY STEEL PIPES USING GTAWPERFORM GAS WELDING IN CARBON STEEL PLATES AND TUBESPERFORM GAS WELDING IN ALLOY STEEL PLATES AND TUBESWELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTWELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTSET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTSSET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAWPERFORM TESTING AND COMMISSIONING FOR TRANSPORT AIR-CONDITIONING AND REFRIGERATIONWELD CARBON STEEL PLATES USING SMAWWELD CARBON STEEL PLATES AND PIPES USING SMAWWELD ALLOY STEEL PLATES USING SMAWWELD PLATES USING SAWWELD PIPES USING SAW",REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND INSTALLATION,WELDER,AUTOMOTIVE BODY REPAIRING NC II,With TR,"REPAIR VEHICLE BODY PANELS AND COMPONENTS
WELD CARBON STEEL PLATES USING FCAWWELD CARBON STEEL PIPES USING FCAWWELD ALLOY STEEL PIPES USING FCAW
WELD ALLOY STEEL PLATES USING FCAWWELD CARBON STEEL PLATES USING GMAWWELD CARBON STEEL PIPES USING GMAWWELD ALLOY STEEL PIPES USING GMAW
WELD ALLOY STEEL PLATES USING GMAWWELD CARBON STEEL PLATES USING GTAW
WELD CARBON STEEL PIPES USING GTAWWELD ALLOY STEEL PLATES USING GTAW
WELD ALLOY STEEL PIPES USING GTAWPERFORM GAS WELDING IN CARBON STEEL PLATES AND TUBESPERFORM GAS WELDING IN ALLOY STEEL PLATES AND TUBESWELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTWELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTSET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTSSET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAWPERFORM TESTING AND COMMISSIONING FOR TRANSPORT AIR-CONDITIONING AND REFRIGERATIONWELD CARBON STEEL PLATES USING SMAWWELD CARBON STEEL PLATES AND PIPES USING SMAWWELD ALLOY STEEL PLATES USING SMAWWELD PLATES USING SAWWELD PIPES USING SAW"
"REGION_VII|CONSTRUCTION|ROUGH AND FINISHING CARPENTER|CARPENTERS|CARPENTRY NC II|With TR|TO CONSTRUCT, REPAIR, AND INSTALL BUILDING FRAMEWORKS AND STRUCTURES MADE FROM WOOD AND OTHER MATERIALS",REGION_VII,CONSTRUCTION,ROUGH AND FINISHING CARPENTER,CARPENTERS,CARPENTRY NC II,With TR,"TO CONSTRUCT, REPAIR, AND INSTALL BUILDING FRAMEWORKS AND STRUCTURES MADE FROM WOOD AND OTHER MATERIALS"
REGION_VII|CONSTRUCTION|COMMUNITY AND ECOSYSTEM CONSIDERATION|COMMUNITY WORKERS/LIAISON OFFICER|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV|With CS|TO ENGAGE WITH LOCAL COMMUNITIES ADDRESS CONCERNS AND PROMOTE SUSTAINABLE OUTCOMES,REGION_VII,CONSTRUCTION,COMMUNITY AND ECOSYSTEM CONSIDERATION,COMMUNITY WORKERS/LIAISON OFFICER,COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,With CS,TO ENGAGE WITH LOCAL COMMUNITIES ADDRESS CONCERNS AND PROMOTE SUSTAINABLE OUTCOMES
REGION_VII|CONSTRUCTION|MOBILE CRANE OPERATOR|CRANE OPERATORS|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III|With TR|TO OPERATE LIFTING AND MOVING SAFELY AND EFFICIENTLY AS POSSIBLE,REGION_VII,CONSTRUCTION,MOBILE CRANE OPERATOR,CRANE OPERATORS,HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,With TR,TO OPERATE LIFTING AND MOVING SAFELY AND EFFICIENTLY AS POSSIBLE
REGION_VII|CONSTRUCTION|DRIVING|DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|TO TRANSPORT CARGO AND PASSENGERS FROM ONE LOCATION TO ANOTHER,REGION_VII,CONSTRUCTION,DRIVING,DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,With TR,TO TRANSPORT CARGO AND PASSENGERS FROM ONE LOCATION TO ANOTHER
"REGION_VII|CONSTRUCTION|OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR|DUMP TRUCK OPERATOR|HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II|With TR|TO TRANSPORT LOOSE MATERIALS LIKE GRAVEL, DIRT, MULCH, ROCK AND GARBAGE IN OPEN-BED HYDRAULIC TRUCK
PERFORM PRODUCTIVE OPERATION FOR RIGID ON-HIGHWAY DUMP TRUCK
PERFORM PRE AND POST-OPERATION PROCEDURES FOR RIGID ON HIGHWAY DUMP TRUCK
PERFORM BASIC PREVENTIVE MAINTENANCE SERVICING FOR RIGID ON HIGHWAY DUMP TRUCK",REGION_VII,CONSTRUCTION,OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR,DUMP TRUCK OPERATOR,HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II,With TR,"TO TRANSPORT LOOSE MATERIALS LIKE GRAVEL, DIRT, MULCH, ROCK AND GARBAGE IN OPEN-BED HYDRAULIC TRUCK
PERFORM PRODUCTIVE OPERATION FOR RIGID ON-HIGHWAY DUMP TRUCK
PERFORM PRE AND POST-OPERATION PROCEDURES FOR RIGID ON HIGHWAY DUMP TRUCK
PERFORM BASIC PREVENTIVE MAINTENANCE SERVICING FOR RIGID ON HIGHWAY DUMP TRUCK"
