Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC,AIOE,major_minor
Agricultural Laboratory Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3359.0,3359,45-2011 ,0.07113037664391465,45
Agricultural Machinery Operator,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,8341.0,8341,45-4022,-1.1116096362751187,45
Agricultural RPA Pilot,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,3153.0,3153,53-2012,-0.29481260543931975,53
Agricultural Specialist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2132.0,2132,25-9021,0.7243196041937822,25
Agriculture Clerk,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,4110.0,4110,43-9061 ,0.8956086195344649,43
Agriculture Program Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3343.0,3343,43-6011,0.9869789708672666,43
Agronomy Technicians,"Agriculture, Forestry, and Fishing","Growing of non-perennial crops, Growing of perennial crops, Plant propagation",Higher Education,Yes,No,3142.0,3142,19-4011,1.2714488780375865,19
AI Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133,1.388784111523391,15
AI Prompter,Information and Communication,Other information service activities,Not Higher Education,No,No,2529.0,2529,15-1299,1.388784111523391,15
Air Traffic Radio Communications Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,3154.0,3154,53-2021,1.0607102035644898,53
Aircraft Cleaning Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3153.0,3153,53-2012,-0.29481260543931975,53
Airline Ground Staff,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,5111.0,5111,53-6061,-0.4785625981014229,53
Airport Equipment Operator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3521.0,3521,27-4099 ,0.6558359528610636,27
Alimak Operators,Construction,Other specialized construction activities,Not Higher Education,No,No,8344.0,8344,53-7051 ,-1.4016165018010325,53
Ambulance Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3258.0,3258,29-2041 ,0.10949159858559132,29
Ambulance Driver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,8322.0,8322 p,53-3011,-0.9365306183983924,53
Analog / Digital Chip Analyst,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,No,2152.0,2152,17-2072 ,0.701947303775666,17
Anatomy and Physiology Instructor,Education,Higher education,Higher Education,No,No,2310.0,2310,25-1199,0.7243196041937822,25
Animal Caretaker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,5164.0,5164,39-2021 ,-0.9961877096273571,39
Animal Health Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,3240.0,3240,31-9096,-0.9234261541013596,31
Animal Production Assistant,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,3240.0,3240,31-9096,-0.9234261541013596,31
Apparel Display Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3432.0,3432,27-1027,0.3237729714462846,27
Apparel Pattern Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,No,7532.0,7532,51-9031,-1.0554923729099774,51
Apparel Quality Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3119.0,3119,53-6041,0.30196800574182847,53
Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2512.0,2512,15-1133,1.388784111523391,15
Aquaculture Business Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,6221.0,6221 p,11-9013,-0.2301508125264998,11
Aquaculture Teacher,Education,Other education services,Higher Education,Yes,No,3142.0,3142,19-4011,1.2714488780375865,19
Aquaculture Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,3142.0,3142,19-4011,1.2714488780375865,19
Aquaculture Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,3142.0,3142,19-4011,1.2714488780375865,19
Aquatic Ecology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2131.0,2131,19-1099,1.2714488780375865,19
Architectural Drafter,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,3118.0,3118,27-1013 ,-0.673807460441017,27
Archivist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,2621.0,2621,25-4012,0.641460704726019,25
Art Gallery Associate,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,3433.0,3433,27-1012 ,-0.9646161941936396,27
Art Gallery Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,3432.0,3432,27-1027,0.3237729714462846,27
Articulated Truck Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,8332.0,8332,53-3032,-1.2009419361981832,53
Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,3240.0,3240,31-9096,-0.9234261541013596,31
Artisanal Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,7317.0,7317,51-7099,-0.9310742592864005,51
ASEAN Affairs Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2421.0,2421,13-1111,1.3006800926946551,13
Associate Data Engineer,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,2521.0,2521,15-1242,1.2712595915227325,15
Astronomical Data Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2111.0,2111,19-2012,1.269877597832301,19
Audio Post Specialist,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,2654.0,2654,27-4032 ,0.8385755305279295,27
Audio Stagehand,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2654.0,2654,27-4032 ,0.8385755305279295,27
Auto-Electrical Diagnosis Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3115.0,3115,17-3029,-0.12412771245194032,17
Automation Control Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,No,Yes,3115.0,3115,17-3029,-0.12412771245194032,17
Automotive Body Painting Specialist,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7132.0,7132,51-9124,-1.2802860175894015,51
Automotive Body Specialist,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7231.0,7231,49-3093,-1.6626591703110543,49
Automotive Chassis Mechanic,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093,-1.6626591703110543,49
Automotive Electrical Assembly Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3113.0,3113,17-3024,-0.3880986218292488,17
Automotive Engine Specialist,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,2144.0,2144,17-2141 ,0.8915684104716345,17
Automotive Maintenance Staff,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093,-1.6626591703110543,49
Automotive Mechanic Specialized In EV Power,Manufacturing                                                ,Manufacture of batteries and accumulators,Not Higher Education,No,No,7414.0,,49-3023,-0.9743125465558188,49
Automotive Mechanical Assembly Technician,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,8211.0,8211,51-2031,-1.063720162191619,51
Automotive Painter (Transportation and Storage),Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,7132.0,7132,51-9124,-1.2802860175894015,51
Automotive Painting Machine Operator,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,8122.0,8122,51-9192 ,-1.2508291518999057,51
Automotive Service Specialist (Chassis),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093,-1.6626591703110543,49
Automotive Wiring Harness Assembler,Manufacturing                                                ,Manufacture of wiring and wiring devices,Not Higher Education,No,No,8211.0,8211,51-2031,-1.063720162191619,51
Back End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133,1.388784111523391,15
Backend Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2513.0,2513,15-1134 ,1.388784111523391,15
Backhoe Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,47-5022,-1.2533360568016358,47
Backstrap Warper,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,8152.0,8152,51-6063,-1.2708785269881024,51
Baggage Handlers,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9333.0,9333,53-7121,-1.4985219575636737,53
Bamboo Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6118.0,6113,45-2091,-1.25411250441255,45
Banking Associate,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,2411.0,2411,13-2082,1.2928140179594079,13
Barangay Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,5321.0,5321,31-1014 ,-0.5333720364723773,31
Barangay Nutrition Action Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2265.0,2265,29-1031,1.3048388868965093,29
Barber,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5141.0,5141,39-5012,-0.7879999963529365,39
Barista,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,5132.0,5132,35-3011,-0.7211067382646418,35
Bartender,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,5132.0,5132,35-3011,-0.7211067382646418,35
Basic Jewelry Fabricator,Manufacturing                                                ,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,8219.0,8219,51-2099,-0.9310742592864005,51
Basket Weaver,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,7317.0,7317,51-7099,-0.9310742592864005,51
Beach Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5419.0,5419,43-5031,0.7863025474171983,43
Beach Recreation Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,5113.0,5113,39-7012,0.37645664910699317,39
Beadwork Accessories Makers,Manufacturing                                                ,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,7319.0,7319,27-1012 ,-0.9646161941936396,27
Beekeeper,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6128.0,6123,45-2021,-1.1525280355196172,45
Bell Boy / Luggage Porter,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9621.0,9621,43-5021,-1.0667742938745437,43
Bench Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023,0.14718462276569041,17
Bibliographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2622.0,2622,25-9011,0.7243196041937822,25
Billing & Collection Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4214.0,4214,43-3011,1.180784811080226,43
BIM Modeler,Construction,Other specialized construction activities,Not Higher Education,No,No,3118.0,3118,27-1013 ,-0.673807460441017,27
Biology Instructor,Education,Higher education,Higher Education,No,No,2310.0,2310,25-1199,0.7243196041937822,25
Biology Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3212.0,3212,29-2012,-0.48497200740066854,29
Biomedical Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3212.0,3212,29-2012,-0.48497200740066854,29
Biotech Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3212.0,3212,29-2012,-0.48497200740066854,29
Blacksmith,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7221.0,7221,51-4199 ,-0.9310742592864005,51
Boat Fitter,Manufacturing                                                ,Building of ships and boats,Not Higher Education,No,No,7233.0,7233,49-9081,-1.1488319558659998,49
Boat Operator (Tourism),Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,8350.0,8350,53-5022,-0.906909571310061,53
Body Repair Personnel,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,7231.0,7231,49-3093,-1.6626591703110543,49
Book Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024,0.6558359528610636,27
Bookkeeper,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Not Higher Education,No,No,3313.0,3313,43-3031,0.9469281462772959,43
Boom Truck Drivers,Construction,Construction of roads and railways,Not Higher Education,No,No,8332.0,8332,53-3032,-1.2009419361981832,53
Bouncer,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,5414.0,5414,33-9093 ,-0.6111767983055003,33
Branch Associate,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011,0.9869789708672666,43
Brand Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,4120.0,4120,43-6014,1.0064736472881555,43
Brand Designer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2163.0,2163,27-1029,0.6558359528610636,27
Broadcast Operations Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,3435.0,3435,39-3099 ,-0.620764093503558,39
Broadcast Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,3521.0,3521,27-4099 ,0.6558359528610636,27
Broadcast Scriptwriter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,2641.0,2641,27-3043,0.697709572118294,27
Building Design Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011,0.9883662038987108,17
Building-Wiring Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,7411.0,7411,47-2231,-1.085191831210996,47
Bulldozer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,47-5022,-1.2533360568016358,47
Business Development Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2424.0,2424,13-1151 ,1.125301054038325,13
Business Innovation Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3343.0,3343,43-6011,0.9869789708672666,43
Business Intelligence Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,2421.0,2421,13-1111,1.3006800926946551,13
Business News Research Assistant,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,2642.0,2642,27-3041 ,1.0358423916827189,27
Business Support Coordinator,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3343.0,3343,43-6011,0.9869789708672666,43
Butcher,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,7511.0,7511,51-3091 ,-0.8649918010858667,51
Butler,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,5152.0,5152,39-9099 ,-0.620764093503558,39
Butterfly Breeder,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6128.0,6123,45-2021,-1.1525280355196172,45
Cable TV Installer,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052,-1.1924358138797408,49
Cacao Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6117.0,6112,45-2091,-1.25411250441255,45
CAD Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,3511.0,3511,15-1299,1.388784111523391,15
Cadet Marine Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3151.0,3151,53-5031,-0.6279944457278928,53
Call Center Staff,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,4222.0,4222,43-4171 ,0.9380611170416764,43
Carbon Steel Plate Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 ,-1.063027898104206,51
Carbon Steel Plate/ Pipe Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 ,-1.063027898104206,51
Caregiver (Newborn),Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5322.0,5322,39-9021,-0.620764093503558,39
Caregiver For People With Special Needs,Human Health and Social Work Activities,"Residential care activities for mental retardation, mental health and substance abuse",Not Higher Education,No,No,5322.0,5322,39-9021,-0.620764093503558,39
Caregiver Nanny,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5311.0,5311,39-9011,-0.620764093503558,39
Cartoonist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2651.0,2651,27-1013,-0.673807460441017,27
Casework Support Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,3412.0,3412,21-1093,0.7040484605627692,21
Cashier,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,5230.0,5230,41-2012,-0.15099712551111377,41
Cataloguer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2622.0,2622,25-9011,0.7243196041937822,25
Cataloguing Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,3323.0,3323,13-1023,1.4064352471964678,13
CATV Systems Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,3521.0,3521,27-4099 ,0.6558359528610636,27
Certified Public Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082,1.2928140179594079,13
Certified Public Accountant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,2411.0,2411,13-2082,1.2928140179594079,13
Chaplaincy Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2636.0,2636,21-2021 ,1.140300357801912,21
Character Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2166.0,2166,27-1024,0.6558359528610636,27
Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.2372197068437902,35
Chef de Partie - Butcher Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.2372197068437902,35
Chef de Partie - Entremetier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.2372197068437902,35
Chef de Partie - Main Course Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.2372197068437902,35
Chef de Partie - Saucier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.2372197068437902,35
Chemical Analyst (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2145.0,2145,17-2041,1.2934314527896151,17
Chemical Informatics Assistant,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,3133.0,3133,51-8091,-0.48651922573059664,51
Chemical Lab Technologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3116.0,3116,17-3029,-0.12412771245194032,17
Chemical Process Operator,Manufacturing                                                ,Manufacture of basic chemicals,Not Higher Education,No,No,3133.0,3133,51-8091,-0.48651922573059664,51
Chemical Production Technician,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,3133.0,3133,51-8091,-0.48651922573059664,51
Chemical Sprayer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,6110.0,,37-3012.00,-0.6341706741709909,37
Child Caregiver,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,5311.0,5311,39-9011,-0.620764093503558,39
Child Development Worker/Teacher,Education,Other education services,Not Higher Education,No,No,5311.0,5311,39-9011,-0.620764093503558,39
China Desk Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199,0.437657911612694,13
Chocolate Maker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,7512.0,7512,51-3011,-0.48867104164824,51
Church Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3413.0,3413,21-2099,0.7040484605627692,21
Circuit Design Engineer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,2152.0,2152,17-2072 ,0.701947303775666,17
Civics Curriculum Developer,Education,Educational support services,Higher Education,No,No,2351.0,2351,25-9031,1.2641879840632628,25
Civil Defense Program Staff,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,5411.0,5411,33-2011,-1.3787987685071146,33
Civil Service Officer,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,2422.0,2422,13-1199,0.437657911612694,13
Classical Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2652.0,2652,27-2042,-0.13514658589602044,27
Clean-Up Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,5142.0,5142,39-5094,-0.2689427099948295,39
Clergy Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,3413.0,3413,21-2099,0.7040484605627692,21
Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,4419.0,4419,43-9199 ,0.9380611170416764,43
Climate and Weather Monitoring Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3111.0,3111,19-4099,0.8333873440481492,19
Climate Science Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2133.0,2133,19-2041 ,1.317259559340737,19
Clinical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3256.0,3256,31-9092,0.04654632180638959,31
Clinical Chemistry Analyst,Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,2131.0,2131,19-1099,1.2714488780375865,19
Clinical Research Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,3256.0,3256,31-9092,0.04654632180638959,31
Clothing Line Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3119.0,3119,53-6041,0.30196800574182847,53
CNC EDM Wire Cut Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199,-0.9310742592864005,51
CNC Lathe Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7523.0,7523,51-7042,-1.2391948240029296,51
CNC Machinist,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199,-0.9310742592864005,51
CNC Milling Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199,-0.9310742592864005,51
