,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,Year 3,,,
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM LEAD HAND|AGRICULTURAL CROPS PRODUCTION NC III|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM LEAD HAND,AGRICULTURAL CROPS PRODUCTION NC III,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM TECHNCIAN|COFFEE PRODUCTION LEVEL II|WITH CS|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM TECHNCIAN,COFFEE PRODUCTION LEVEL II,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HORTICULTURE AIDE|HORTICULTURE NC III|WITH TR|MEDIUM,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HORTICULTURE AIDE,HORTICULTURE NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|ORGANIC AGRICULTURE FARMER|ORGANIC AGRICULTURE PRODUCTION NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,ORGANIC AGRICULTURE FARMER,ORGANIC AGRICULTURE PRODUCTION NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISH HANDLER|FISHPORT/WHARF OPERATION NC I|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISH HANDLER,FISHPORT/WHARF OPERATION NC I,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISHERMAN|FISH CAPTURE NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISHERMAN,FISH CAPTURE NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISHING GEAR TECHNICIAN|FISHING GEAR REPAIR AND MAINTENANCE NC III|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISHING GEAR TECHNICIAN,FISHING GEAR REPAIR AND MAINTENANCE NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FRUIT/VEGETABLE VENDOR|AGROENTREPRENEURSHIP NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FRUIT/VEGETABLE VENDOR,AGROENTREPRENEURSHIP NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|VETERINARY TECHNICIAN|ANIMAL HEALTH CARE AND MANAGEMENT NC III|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,VETERINARY TECHNICIAN,ANIMAL HEALTH CARE AND MANAGEMENT NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|AUTO ELECTRICIAN|AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),AUTO ELECTRICIAN,AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|AUTOMOTIVE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR|LOW,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),AUTOMOTIVE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|ENGINE TECHNICIAN|AUTOMOTIVE SERVICING (ENGINE REPAIR) NC II|WITH TR|LOW,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),ENGINE TECHNICIAN,AUTOMOTIVE SERVICING (ENGINE REPAIR) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|SMALL ENGINE MECHANIC|MOTORCYCLE/SMALL ENGINE SERVICING NC II|WITH TR|LOW,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),SMALL ENGINE MECHANIC,MOTORCYCLE/SMALL ENGINE SERVICING NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTO BODY REPAIR TECHNICIAN|AUTOMOTIVE SERVICING (CHASSIS REPAIR) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTO BODY REPAIR TECHNICIAN,AUTOMOTIVE SERVICING (CHASSIS REPAIR) NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III|WITH TR|MEDIUM,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AIRCON TECHNICIAN,AUTOMOTIVE SERVICING NC III,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC III|WITH TR|MEDIUM,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE MECHANIC|AUTOMOTIVE MECHANICAL ASSEMBLY NC II|WITH TR|MEDIUM,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE MECHANIC,AUTOMOTIVE MECHANICAL ASSEMBLY NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE PAINTER|AUTOMOTIVE BODY PAINTING/FINISHING NC I|WITH TR|MEDIUM,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE PAINTER,AUTOMOTIVE BODY PAINTING/FINISHING NC I,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|DISPATCHER (BOOKING/TRIP CONTROLLER)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,DISPATCHER (BOOKING/TRIP CONTROLLER),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVER|DRIVING NC II|WITH TR|MEDIUM,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVER,DRIVING NC II,WITH TR,MEDIUM,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|PASSENGER ASSISTANT OFFICER (CONDUCTOR)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,PASSENGER ASSISTANT OFFICER (CONDUCTOR),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|DESIGN AND DEVELOPMENT|AUTOMOTIVE PAINTER (SINGLE STAGE PAINTING)|AUTOMOTIVE BODY PAINTING/FINISHING NC III|WITH TR|MEDIUM,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,DESIGN AND DEVELOPMENT,AUTOMOTIVE PAINTER (SINGLE STAGE PAINTING),AUTOMOTIVE BODY PAINTING/FINISHING NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|DUMPTRUCK OPERATOR|HEAVY EQUIPMENT OPERATION (RIGID ON-HIGHWAY DUMP TRUCK) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,DUMPTRUCK OPERATOR,HEAVY EQUIPMENT OPERATION (RIGID ON-HIGHWAY DUMP TRUCK) NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|MOBILE CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (ROUGH TERRAIN CRANE) NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,MOBILE CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (ROUGH TERRAIN CRANE) NC III,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|RIGGER|RIGGING NC I|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,RIGGER,RIGGING NC I,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|TOWER CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (TOWER CRANE) NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,TOWER CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (TOWER CRANE) NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|DIRECT WORKERS VERTICAL INDUSTRIAL HORIZONTAL|MASONRY (FINISHING)|MASONRY NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,DIRECT WORKERS VERTICAL INDUSTRIAL HORIZONTAL,MASONRY (FINISHING),MASONRY NC II,WITH TR,LOW,,0,0,5,5,,0,0,5,5
REGION_VII|CEBU|CONSTRUCTION|DIRECT WORKERS VERTICAL INDUSTRIAL HORIZONTAL|MASONRY (ROUGH CONCRETE)|MASONRY NC I|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,DIRECT WORKERS VERTICAL INDUSTRIAL HORIZONTAL,MASONRY (ROUGH CONCRETE),MASONRY NC I,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS|CONCRETE PUMP OPERATOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS,CONCRETE PUMP OPERATOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|EQUIPMENT OPERATORS AND MAINTENANCE|HEO TOWER CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (TOWER CRANE) NC III|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,EQUIPMENT OPERATORS AND MAINTENANCE,HEO TOWER CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (TOWER CRANE) NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION
DIRECT WORKERS|ROAD ROLLER OPERATOR|HEAVY EQUIPMENT OPERATION (ROAD ROLLER) NC II|WITH TR|LOW",REGION_VII,CEBU,CONSTRUCTION,"HORIZONTAL CONSTRUCTION
DIRECT WORKERS",ROAD ROLLER OPERATOR,HEAVY EQUIPMENT OPERATION (ROAD ROLLER) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|BIM MODELER|BASIC 3D BUILDING INFORMATION MODELLING LEVEL III|WITH CS|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,BIM MODELER,BASIC 3D BUILDING INFORMATION MODELLING LEVEL III,WITH CS,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CARBON STEEL PLATE/ PIPE WELDER|MANUAL METAL ARC WELDING (MMAW) NC I|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CARBON STEEL PLATE/ PIPE WELDER,MANUAL METAL ARC WELDING (MMAW) NC I,WITH TR,MEDIUM,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CARBON STEEL PLATE/ PIPE WELDER|MANUAL METAL ARC WELDING (MMAW) NC III|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CARBON STEEL PLATE/ PIPE WELDER,MANUAL METAL ARC WELDING (MMAW) NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
