Provider Name,Class Name,Region Name,Province Name,City Name,Address,focal,phone,e mail,Qualification,Trainer Count,Enrolled,Graduates
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Ship's Catering Services NC I,3,36,21
"3V TECHNICAL SCHOOL AND ASSESSMENT CENTER, INC.",TVIs,Region X - Northern Mindanao,Misamis Oriental,Balingasag,BRGY. WATERFALL HIGHWAY BALINGASAG,JOVENER B. VIAJANTE,0916-916-0984 / 0917-713-0577,3vtechnical.assessment.center@gmail.com,Heavy Equipment Operation (Backhoe Loader) NC II,1,23,0
5R'S TECHNICAL TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region I - Ilocos,Pangasinan,Basista,"A & A Building, Magsaysay Street, Poblacion, Basista, Pangasinan",IMELDA BULATAO DARAPIZA,09092916288,5rskillstrainingcenter@gmail.com,Bookkeeping NC III,1,50,38
5R'S TECHNICAL TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region I - Ilocos,Pangasinan,Basista,"A & A Building, Magsaysay Street, Poblacion, Basista, Pangasinan",IMELDA BULATAO DARAPIZA,09092916288,5rskillstrainingcenter@gmail.com,Hilot (Wellness Massage) NC II,1,50,74
5R'S TECHNICAL TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region I - Ilocos,Pangasinan,Basista,"A & A Building, Magsaysay Street, Poblacion, Basista, Pangasinan",IMELDA BULATAO DARAPIZA,09092916288,5rskillstrainingcenter@gmail.com,Tile Setting NC II,0,0,75
7-STAR EDUCATIONAL ACADEMY CORPORATION (7-STAR EDUCATIONAL ACADEMY INC.),TVIs,National Capital Region (NCR),City of Manila,"Sampaloc, City of Manila",Unit 502 5th Floor Fern Bldg 827 P. Paredes St. Sampaloc Manila,Jay-ar D. Sta. Ana,.,7staracademy.exec@gmail.com,Barista NC II,1,15,19
"A & G TRAINING AND ASSESSMENT CENTER, INC.",TVIs,Cordillera Administrative Region (CAR),Apayao,Flora,"Tamalunog, Flora, Apayao",CHONA T. ROQUE,09167575226,agtrainingandacenter11@gmail.com,Bread and Pastry Production NC II,2,35,36
"A & G TRAINING AND ASSESSMENT CENTER, INC.",TVIs,Cordillera Administrative Region (CAR),Kalinga,City of Tabuk,"Talaca Agbannawag, Tabuk City, Kalinga",CHONA TUY ROQUE,09777637463,agtacenterinc@gmail.com,Organic Agriculture Production NC II,0,0,45
A AND L DRIVING AND TECHNICAL TRAINING CENTER INC.,TVIs,Region V - Bicol,Albay,Guinobatan,"2nd Floor AMDC Bldg., Ofracio St., Brgy. Poblacion, Guinobatan, Albay",JACQUELYN PENINOY LLORERA,09364526856,alguinobatan928@gmail.com,Driving NC II,1,25,0
"A. ENCARGUEZ TECHNICAL SCHOOL, INC.",TVIs,Region VI - Western Visayas,Negros Occidental,City of Escalante,"118 East Ave., Balintawak, Escalante City",Analyn Tan Encarguez,476-7784,encargueztechschool@gmail.com,Driving NC II,0,0,18
A.I Integrated Farm,TVIs,Region VIII - Eastern Visayas,Southern Leyte,Libagon,"Brgy. Tigbao, Libagon, Southern Leyte",ARNALDO B. SALEM,09366037156,mhelas_dodong@yahoo.com,Rice Machinery Operations NC II,0,0,15
"A.I.T. Advanced Institute Technology of Tarlac City, Inc.",TVIs,Region III - Central Luzon,Tarlac,City of Tarlac,"Liatsan Family Bldg., San Sebastian, Tarlac City",Vilma M. Pabon,(045) 491-0904/ 800-1613/ 09292523645/ 09771288455,ait_tvi@outlook.com,Dressmaking NC II,0,0,18
"A.I.T. Advanced Institute Technology of Tarlac City, Inc.",TVIs,Region III - Central Luzon,Tarlac,City of Tarlac,"Liatsan Family Bldg., San Sebastian, Tarlac City",Vilma M. Pabon,(045) 491-0904/ 800-1613/ 09292523645/ 09771288455,ait_tvi@outlook.com,Electronic Products Assembly and Servicing NC II,0,0,25
"A.I.T. Advanced Institute Technology of Tarlac City, Inc.",TVIs,Region III - Central Luzon,Tarlac,City of Tarlac,"Liatsan Family Bldg., San Sebastian, Tarlac City",Vilma M. Pabon,(045) 491-0904/ 800-1613/ 09292523645/ 09771288455,ait_tvi@outlook.com,Shielded Metal Arc Welding (SMAW) NC I,0,0,74
"A.I.T. Advanced Institute Technology of Tarlac City, Inc.",TVIs,Region III - Central Luzon,Tarlac,City of Tarlac,"Liatsan Family Bldg., San Sebastian, Tarlac City",Vilma M. Pabon,(045) 491-0904/ 800-1613/ 09292523645/ 09771288455,ait_tvi@outlook.com,Shielded Metal Arc Welding (SMAW) NC II,0,0,75
A.R. SANTIAGO AGRI-FISHERY FARM AND TRAINING CENTER INC.,TVIs,Region II - Cagayan Valley,Isabela,San Mateo,"Gaddanan, San Mateo, Isabela",ARNEL R. SANTIAGO,0917-899-7867,arsantiagoagrifisheryfarm@gmail.com,Organic Agriculture Production NC II,1,25,36
A1VENTURES TECHNICAL AND VOCATIONAL ACADEMY INC.,TVIs,National Capital Region (NCR),Quezon City,Quezon City,"815 Room 301, 3rd Floor CSP Building Que-zon Ave Santa Cruz, Quezon City",KRISTINA MARIE R. CHUA,09558691867,A1VENTURESTECHVOCCORP@GMAIL.COM,Computer Systems Servicing NC II,0,0,91
A1VENTURES TECHNICAL AND VOCATIONAL ACADEMY INC.,TVIs,National Capital Region (NCR),Quezon City,Quezon City,"815 Room 301, 3rd Floor CSP Building Que-zon Ave Santa Cruz, Quezon City",KRISTINA MARIE R. CHUA,09558691867,A1VENTURESTECHVOCCORP@GMAIL.COM,Events Management Services NC III,2,107,74
AB Tech Multi-Skills Training Center Inc.,TVIs,Region VIII - Eastern Visayas,Leyte,Albuera,"Barangay Benolho, Albuera, Leyte",Robin S. Caballero,09089338213,abtechnical15@gmail.com,Shielded Metal Arc Welding (SMAW) NC I,0,0,77
AB TECHNICAL TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region IVA - CALABARZON,Rizal,City of Antipolo,"Lot 1 Block 16 Ambassador Neri Avenue, Blue Mountain Subd., Santa Cruz, Antipolo City, Rizal",MS. JACQUELINE A. BRIONES,8686-3290 / 0956-035-0532,abttac88@gmail.com,Caregiving (Elderly) NC II,1,25,39
ABARABAR-SANTIAGO ECOFRIENDLY FARMS AND TECHNICAL INSTITUTE INC.,TVIs,Region II - Cagayan Valley,Isabela,Burgos,"Raniag, Burgos, Isabela",JIMMY Q. ABARABAR,0917-153-7313,asefti.2023@gmail.com,Organic Agriculture Production NC II,1,25,0
ABC TECHNICAL LEARNING CENTER INC.,TVIs,Region I - Ilocos,La Union,Aringay,"San Eugenio, Aringay, La Union",KAREN L. NIMUAN,09193668185,abc.tlcinc@gmail.com,Computer Systems Servicing NC II,0,0,50
ABC TECHNICAL LEARNING CENTER INC.,TVIs,Region I - Ilocos,La Union,Aringay,"San Eugenio, Aringay, La Union",KAREN L. NIMUAN,09193668185,abc.tlcinc@gmail.com,Trainers Methodology Level I,1,15,76
"ABEC INSTITUTE OF BUSINESS AND TECHNOLOGY, INC.",TVIs,Region V - Bicol,Albay,Legazpi City,"3F PVLB Bldg., Peñaranda St., Legazpi City",Ms. Roslyn A. Leuterio / President,(052) 4805526,abecinstitute2008@gmail.com,Bookkeeping NC III,0,0,18
"ABEC INSTITUTE OF BUSINESS AND TECHNOLOGY, INC.",TVIs,Region V - Bicol,Albay,Legazpi City,"3F PVLB Bldg., Peñaranda St., Legazpi City",Ms. Roslyn A. Leuterio / President,(052) 4805526,abecinstitute2008@gmail.com,Computer Systems Servicing NC II,0,0,12
"ABEC INSTITUTE OF BUSINESS AND TECHNOLOGY, INC.",TVIs,Region V - Bicol,Albay,Legazpi City,"3F PVLB Bldg., Peñaranda St., Legazpi City",Ms. Roslyn A. Leuterio / President,(052) 4805526,abecinstitute2008@gmail.com,Electronic Products Assembly and Servicing NC II,0,0,12
"ABELLANA TECHNICAL AND VOCATIONAL CENTER, INC.",TVIs,Region VII - Central Visayas,Negros Oriental,Bais City,"Abellana's  Buildings, Osmena Street, Brgy.2 City, Negros Oriental ",FE L. ABELLANA,035-402-2238,abellanastechcenter@gmail.com,Events Management Services NC III,1,25,0
ABEST RESOURCE DEVELOPMENT INC.,TVIs,National Capital Region (NCR),PASMAK,Pasay City,"2814-I Violeta Court F.B. Harrison St., Pasay City ",JOHN RHEN S. SAGER,556-5174,abestresource2009@gmail.com,Caregiving NC II,1,41,15
ABEST RESOURCE DEVELOPMENT INC.,TVIs,National Capital Region (NCR),PASMAK,Pasay City,"2814-I Violeta Court F.B. Harrison St., Pasay City ",JOHN RHEN S. SAGER,556-5174,abestresource2009@gmail.com,Domestic Work NC II,1,7,7
"ABQ INTERNATIONAL HEALTH CAREGIVER PROGRAM & CONSULTANCY, INC. ",TVIs,Region VII - Central Visayas,Cebu,City of Talisay,"Z-1085 Miami Homes San Isidro Talisay City, Cebu",AMELDA B. QUIACHON,273-7569,amy_quiachon@yahoo.com,Caregiving NC II,1,7,11
"ABQ INTERNATIONAL HEALTH CAREGIVER PROGRAM & CONSULTANCY, INC. ",TVIs,Region VII - Central Visayas,Cebu,City of Talisay,"Z-1085 Miami Homes San Isidro Talisay City, Cebu",AMELDA B. QUIACHON,273-7569,amy_quiachon@yahoo.com,Hilot (Wellness Massage) NC II,1,50,75
ABRA TECHNICAL INSTITUTE INC.,TVIs,Cordillera Administrative Region (CAR),Abra,Bangued,"McKinley St., Zone 2, Bangued, Abra",MARY GRACE G. TEJONES,0746143360,abratechinstitute.inc@gmail.com,Events Management Services NC III,1,64,18
"ABSOLUTE HEALTH CARE INSTITUTE - CALAPAN, MINDORO INC.",TVIs,Region IVB - MIMAROPA,Oriental Mindoro,City of Calapan,"3/F San Miguel Milex Bldg., Leuterio St., San Vicente East, Calapan City, Oriental Mindoro",Amabel M. Amante,043 288-1693,absolutehealthcare_calapan@yahoo.com,Caregiving (Elderly) NC II,1,12,30
"ABSOLUTE HEALTH CARE INSTITUTE - CALAPAN, MINDORO INC.",TVIs,Region IVB - MIMAROPA,Oriental Mindoro,City of Calapan,"3/F San Miguel Milex Bldg., Leuterio St., San Vicente East, Calapan City, Oriental Mindoro",Amabel M. Amante,043 288-1693,absolutehealthcare_calapan@yahoo.com,Caregiving NC II,1,7,0
ABULUG SKILLS TRAINING AND ASSESSMENT CENTER,LGU,Region II - Cagayan Valley,Cagayan,Abulug,"Libertad, Abulug, Cagayan",Jesus Emmanuel P. Vargas,0917 599 1625,astactvet@gmail.com,Driving NC II,1,24,0
ABULUG SKILLS TRAINING AND ASSESSMENT CENTER,LGU,Region II - Cagayan Valley,Cagayan,Abulug,"Libertad, Abulug, Cagayan",Jesus Emmanuel P. Vargas,0917 599 1625,astactvet@gmail.com,Heavy Equipment Operation (Motor Grader) NC II,0,0,50
Abuyog Institute of Technology Inc.,TVIs,Region VIII - Eastern Visayas,Leyte,Abuyog,"Real St. Brgy. Loyonsawang, Abuyog, Leyte",Sherwin A. Diano,'09177461756/09462931412,tesdaait@gmail.com,Food and Beverage Services NC II,1,25,49
Abuyog Institute of Technology Inc.,TVIs,Region VIII - Eastern Visayas,Leyte,Abuyog,"Real St. Brgy. Loyonsawang, Abuyog, Leyte",Sherwin A. Diano,'09177461756/09462931412,tesdaait@gmail.com,Ship's Catering Services NC I,1,8,8
AC SCHOOL OF TECHNOLOGY AND ASSESSMENT CENTER CORP.,TVIs,Region III - Central Luzon,Nueva Ecija,Bongabon,"Gervacio Bldg. Purok 7 Magtanggol (Pob.), Bongabon, Nueva Ecija",SHARON S. LIBAN,09178881736,acschool.utpras@gmail.com,Shielded Metal Arc Welding (SMAW) NC I,0,0,76
ACADEMIA DE STA. CECILIA FOUNDATION INC.,TVIs,Region I - Ilocos,Pangasinan,San Fabian,"#2 BARANGAY MAGLIBA, SAN FABIAN, PANGASINAN","JOMAR R. OBERO, MAEd",09058117824,staceciliafoundationtesda@gmail.com,Caregiving NC II,0,0,27
ACADEMIA DE STA. CECILIA FOUNDATION INC.,TVIs,Region I - Ilocos,Pangasinan,San Fabian,"#2 BARANGAY MAGLIBA, SAN FABIAN, PANGASINAN","JOMAR R. OBERO, MAEd",09058117824,staceciliafoundationtesda@gmail.com,Food and Beverage Services NC II,0,0,21
ACADEMIA DE STA. CECILIA FOUNDATION INC.,TVIs,Region I - Ilocos,Pangasinan,San Fabian,"#2 BARANGAY MAGLIBA, SAN FABIAN, PANGASINAN","JOMAR R. OBERO, MAEd",09058117824,staceciliafoundationtesda@gmail.com,Hilot (Wellness Massage) NC II,1,26,43
ACADEMIA DE STA. CECILIA FOUNDATION INC.,TVIs,Region I - Ilocos,Pangasinan,San Fabian,"#2 BARANGAY MAGLIBA, SAN FABIAN, PANGASINAN","JOMAR R. OBERO, MAEd",09058117824,staceciliafoundationtesda@gmail.com,Housekeeping NC II,0,0,19
"ACADEMIA DE TECNOLOGIA IN MINDANAO, INC.",TVIs,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,City of Cotabato,"4A DON ROMAN, VILE STREET, COTABATO CITY",VIRGELIO F. FETILUNA,064-431-0550,adtmtrainingcenter@gmail.com,Dressmaking NC II,1,11,0
ACADEMIA FOR BUSINESS AND ARTS EDUCATION INC.,TVIs,Region III - Central Luzon,Nueva Ecija,City of Gapan,"San Vicente (Pob.), Gapan, Nueva Ecija",ALVIN C. MANZON,(044) 940-8475/917-812-2724,academiaforbusinessandartseduc@gmail.com,Bookkeeping NC III,0,0,39
ACADEMIA FOR BUSINESS AND ARTS EDUCATION INC.,TVIs,Region III - Central Luzon,Nueva Ecija,City of Gapan,"San Vicente (Pob.), Gapan, Nueva Ecija",ALVIN C. MANZON,(044) 940-8475/917-812-2724,academiaforbusinessandartseduc@gmail.com,Bread and Pastry Production NC II,1,46,46
ACADEMIA TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region IVB - MIMAROPA,Oriental Mindoro,City of Calapan,"Brgy. Sta. Isabel, Calapan City, Oriental Mindoro",Dianne P. Huerto,09955012352,academia022024@gmail.com,Caregiving (Elderly) NC II,1,21,19
"ACADEMY ASIA SCHOOL OF TECHNOLOGY AND THE ARTS, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"2/F WRC Bldg. No. 47 Gil Fernando Midtown Subd., San Roque, Marikina City ",MR. JAIME G. DOLERA JR.,Tel. No. 234-0996,academy.asia@gmail.com,Bartending NC II,0,0,24
"ACADEMY ASIA SCHOOL OF TECHNOLOGY AND THE ARTS, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"2/F WRC Bldg. No. 47 Gil Fernando Midtown Subd., San Roque, Marikina City ",MR. JAIME G. DOLERA JR.,Tel. No. 234-0996,academy.asia@gmail.com,Bread and Pastry Production NC II,2,32,82
"ACADEMY ASIA SCHOOL OF TECHNOLOGY AND THE ARTS, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"2/F WRC Bldg. No. 47 Gil Fernando Midtown Subd., San Roque, Marikina City ",MR. JAIME G. DOLERA JR.,Tel. No. 234-0996,academy.asia@gmail.com,Computer Systems Servicing NC II,0,0,79
"ACADEMY ASIA SCHOOL OF TECHNOLOGY AND THE ARTS, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"2/F WRC Bldg. No. 47 Gil Fernando Midtown Subd., San Roque, Marikina City ",MR. JAIME G. DOLERA JR.,Tel. No. 234-0996,academy.asia@gmail.com,Cookery NC II,1,11,119
"ACADEMY ASIA SCHOOL OF TECHNOLOGY AND THE ARTS, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"2/F WRC Bldg. No. 47 Gil Fernando Midtown Subd., San Roque, Marikina City ",MR. JAIME G. DOLERA JR.,Tel. No. 234-0996,academy.asia@gmail.com,Food and Beverage Services NC II,1,8,0
"ACADEMY FOR INTERNATIONAL CULINARY ARTS, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"Suite U-207 Skyway Twin Tower, 351 Henry P. Javier St., Brgy., Orando Pasig City ",Mr. Michael M. Tiaoqui ,671-0276 / 671-0277 loc. 110,registrar@aicaculinary.com,Bread and Pastry Production NC II,1,37,35
"ACADEMY FOR TECHNICAL SKILLS, INC.",TVIs,Region III - Central Luzon,Nueva Ecija,Cabanatuan City,"Purok 6 San Anton, San Leonardo, Nueva Ecija",MERRY-ANN D. FRANCISCO,0917-104-6554,atsi7525@gmail.com,Trainers Methodology Level I,1,7,0
ACADEMY OF EAST ASIA FOR BUSINESS AND TECHNOLOGY INC.,TVIs,Region III - Central Luzon,Bataan,Orani,"Tenejero, Orani, Bataan",RUTH S. CATAPANG,047-2371941/047-237-1942,academy_queenmary@yahoo.com,Food and Beverage Services NC II,1,22,0
ACCESS DATA QUALITY TRAINING CENTER INC.,TVIs,Region IVA - CALABARZON,Batangas,Batangas City,"Ground Floor Zirconstar Bldg., Ms. Philippines St., Barangay 11 (Pob.) Batangas City",CHARITO G. GONZALES,09773303977,adqtrainingcenter@gmail.com,Computer Systems Servicing NC II,2,37,0
ACCESS DATA QUALITY TRAINING CENTER INC.,TVIs,Region IVA - CALABARZON,Batangas,Batangas City,"Ground Floor Zirconstar Bldg., Ms. Philippines St., Barangay 11 (Pob.) Batangas City",CHARITO G. GONZALES,09773303977,adqtrainingcenter@gmail.com,Contact Center Services NC II,1,28,28
ACCESS DATA QUALITY TRAINING CENTER INC.,TVIs,Region IVA - CALABARZON,Batangas,Batangas City,"Ground Floor Zirconstar Bldg., Ms. Philippines St., Barangay 11 (Pob.) Batangas City",CHARITO G. GONZALES,09773303977,adqtrainingcenter@gmail.com,Events Management Services NC III,1,28,28
"ACCESS PASIG COMPUTER & TECHNICAL COLLEGES, INC.  ",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"No.11 M.H. Del Pilar St., Brgy. San Nicolas, Pasig",DONA MARIE ANGELICA O. MARIANO,09088130738,pas@access.edu.ph,Bartending NC II,1,25,0
"ACCESS PASIG COMPUTER & TECHNICAL COLLEGES, INC.  ",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"No.11 M.H. Del Pilar St., Brgy. San Nicolas, Pasig",DONA MARIE ANGELICA O. MARIANO,09088130738,pas@access.edu.ph,Bookkeeping NC III,0,0,34
"AC-DC TRAINING AND ASSESSMENT CENTER, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Rm. 401 Colon Development Corporation Building, Osmeña Blvd., Brgy. Sto. Niño, Cebu City",JENNELYN B. BAYON,09177726337,acdcengineering2013@gmail.com,Electrical Installation and Maintenance NC III,1,21,21
"AC-DC TRAINING AND ASSESSMENT CENTER, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Rm. 401 Colon Development Corporation Building, Osmeña Blvd., Brgy. Sto. Niño, Cebu City",JENNELYN B. BAYON,09177726337,acdcengineering2013@gmail.com,Mechatronics Servicing NC II,1,2,0
Aceba Science & Tech.Institute (ASTI) Inc.,TVIs,Region IVA - CALABARZON,Quezon,City of Tayabas,"26 Legazpi St.,Brgy.San Roque,Zone 1 Tayabas,Quezon",MARIE MEL M. ACEJO,Ms.Segui-0918-9443955,utpras.astitayabas@gmail.com,Computer Systems Servicing NC II,1,25,0
Acedilla Technological Institute Incorporated,TVIs,Region VIII - Eastern Visayas,Leyte,City of Baybay,"42 A. Mabini St., Baybay City, Leyte",ANTONIO A. ACEDILLA ,(053) 335-0314/ 09353465112,opheliaacedilla@yahoo.com,Agricultural Crops Production NC II,1,1,0
Acedilla Technological Institute Incorporated,TVIs,Region VIII - Eastern Visayas,Leyte,City of Baybay,"42 A. Mabini St., Baybay City, Leyte",ANTONIO A. ACEDILLA ,(053) 335-0314/ 09353465112,opheliaacedilla@yahoo.com,Housekeeping NC II,1,1,0
"Aces Polytechnic College, Inc.",Enterprise/Company,Region XI - Davao,Davao Oriental ,Banaybanay,"P-9 Tagdodo, Brgy. Maputi, Banaybanay, Davao Oriental",Dr. Kadelle D. Pidor,(084) 628-6915/09177262077,acesmaputitesda@gmail.com,Agricultural Crops Production NC II,1,25,0
"ACES POLYTECHNIC COLLEGE, INC.",TVIs,Region XI - Davao,Davao del Norte,City of Panabo,"San Francisco, Panabo City, Davao del Norte",Dr. Kadelle D. Pidor,084 822-4182,acespanabotesda@gmail.com,Electrical Installation and Maintenance NC II,0,0,20
"Aces Polytechnic College, Inc.",Enterprise/Company,Region XI - Davao,Davao Oriental ,Banaybanay,"P-9 Tagdodo, Brgy. Maputi, Banaybanay, Davao Oriental",Dr. Kadelle D. Pidor,(084) 628-6915/09177262077,acesmaputitesda@gmail.com,Organic Agriculture Production NC II,0,0,20
ACEVEDA LEARNING CENTER (ALC) INC.,TVIs,Region IVB - MIMAROPA,Oriental Mindoro,Baco,"Balikat, Mayabig, Baco, Oriental Mindoro",MARY GRACE M. ACEVEDA,9269528464,alcmayabig2022@gmail.com,Computer Systems Servicing NC II,0,0,1
ACFI TECHNOLOGICAL AND VOCATIONAL INSTITUTE INC.,TVIs,Region XI - Davao,Davao del Norte,City of Tagum,"PUROK AQUARIUS, NATIONAL HIGHWAY, VISAYAN VILLAGE, TAGUM CITY, DAVAO DEL NORTE","VINCENT A. ARRIESGADO, MSBA",(084)807-2477,acfitechvocinstitute@gmail.com,Caregiving NC II,1,31,33
ACFI TECHNOLOGICAL AND VOCATIONAL INSTITUTE INC.,TVIs,Region XI - Davao,Davao del Norte,City of Tagum,"PUROK AQUARIUS, NATIONAL HIGHWAY, VISAYAN VILLAGE, TAGUM CITY, DAVAO DEL NORTE","VINCENT A. ARRIESGADO, MSBA",(084)807-2477,acfitechvocinstitute@gmail.com,Food and Beverage Services NC II,1,27,0
"ACHIEVERS INTERNATIONAL COLLEGE OF CULINARY ARTS AND TECHNOLOGY (AICCAT), INC.",TVIs,Region IX - Zamboanga Peninsula,City of Isabela (Not a Province),City of Isabela,"MCLL Highway, Fronting IBT, Barangay Divisoria, Zamboanga City",PRINCESS NELLAINE SUAN YTING,09272144068,aiccat.tvi1@gmail.com,Bread and Pastry Production NC II,1,25,0
"ACHIEVERS INTERNATIONAL COLLEGE OF CULINARY ARTS AND TECHNOLOGY (AICCAT), INC.",TVIs,Region IX - Zamboanga Peninsula,Zamboanga del Sur,Pagadian City,"4th Floor, Mercado Bldg., Rizal Avenue, Pagadian City",PRINCESS NELLAINE S. YTING,09215401977,aiccat23.inc@gmail.com,Cookery NC II,0,0,68
"ACHIEVERS INTERNATIONAL COLLEGE OF CULINARY ARTS AND TECHNOLOGY (AICCAT), INC.",TVIs,Region IX - Zamboanga Peninsula,Zamboanga del Sur,Pagadian City,"4th Floor, Mercado Bldg., Rizal Avenue, Pagadian City",PRINCESS NELLAINE S. YTING,09215401977,aiccat23.inc@gmail.com,Housekeeping NC II,0,0,75
"ACIW-TRAINING AND ASSESSMENT CENTER, INC.",TVIs,Region XI - Davao,Davao del Sur,Davao City,"ACIW Bldg., Prk. Sto. Niño, Dumanlas, Buhangin, Davao City",CHARLITO T. GRUMO,(082) 241-1268,aciw.davao1268@gmail.com,Masonry NC II,0,0,24
"ACLC COLLEGE OF MANILA, INC.",TVIs,National Capital Region (NCR),City of Manila,"Sampaloc, City of Manila","Sampaloc Manila 2355 Legarda Corner Manrique Sts. Barangay 416 Sampaloc, City of Manila",ARIZA N. BIHASA,.373-3901 loc 8283/09175075807/09228561278,aclccollegeofmanila@gmail.com,Computer Systems Servicing NC II,1,21,0
"ACLC COLLEGE OF ORMOC CITY, INC.",HEIs,Region VIII - Eastern Visayas,Leyte,Ormoc City,"Lilia Avenue, Brgy. Cogon, Ormoc City","CARY P. JAUCIAN, MBA",09173285989,aclcormocbranch@gmail.com,Bookkeeping NC III,0,0,0
