,,,,,,,,,,,,
Assessment Center,Class Name,Region,Province,City Name,Address,Center Manager,Phone,e mail,Qualification,Numberof Accredited Assessor,Assessed,Certified
BURGOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Burgos,"Brgy. Poblacion, Burgos, Ilocos Norte",Josephine A. Pascual,09171688851,burgos_agro@yahoo.com,Bread and Pastry Production NC II,1,44,44
BURGOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Burgos,"Brgy. Poblacion, Burgos, Ilocos Norte",Josephine A. Pascual,09171688851,burgos_agro@yahoo.com,Cookery NC II,1,24,24
BURGOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Burgos,"Brgy. Poblacion, Burgos, Ilocos Norte",Josephine A. Pascual,09171688851,burgos_agro@yahoo.com,Cookery NC II,1,30,30
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Carpentry NC II,1,44,44
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Carpentry NC II,1,7,4
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Gas Metal Arc Welding (GMAW) NC II,1,87,87
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Heavy Equipment Operation (Forklift) NC II,1,87,87
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Heavy Equipment Operation (Forklift) NC II,1,31,30
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Scaffolding Works (Supported Type Scaffold) NC II,1,19,11
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Shielded Metal Arc Welding (SMAW) NC II,1,45,40
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Shielded Metal Arc Welding (SMAW) NC II,1,31,31
"IGAMA COLLEGES FOUNDATION, INC.",,Region I - Ilocos,Ilocos Norte,Badoc,Brgy 2 Garreta Badoc Ilocos Norte,Dick E Igama,(077) 677 3379,igama_badoc@yahoo.com,Tile Setting NC II,1,36,36
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Driving (Passenger Bus/Straight Truck) NC III,1,39,26
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Driving (Passenger Bus/Straight Truck) NC III,1,10,8
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Driving (Passenger Bus/Straight Truck) NC III,1,10,3
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Driving (Passenger Bus/Straight Truck) NC III,1,19,10
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Driving (Passenger Bus/Straight Truck) NC III,1,29,22
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Driving NC II,1,47,46
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Driving NC II,1,57,52
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Driving NC II,1,46,45
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Heavy Equipment Operation (Forklift) NC II,1,25,21
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Heavy Equipment Operation (Forklift) NC II,1,20,20
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Heavy Equipment Operation (Hydraulic Excavator) NC II,1,33,29
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Heavy Equipment Operation (Hydraulic Excavator) NC II,1,9,6
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Heavy Equipment Operation (Rigid On-Highway Dump Truck) NC II,1,10,10
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Heavy Equipment Operation (Truck Mounted Crane) NC II,1,10,7
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Heavy Equipment Operation (Wheel Loader) NC II,1,10,10
"LA UNION TEK-BOK TRAINING PROVIDER, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"M. H. Del Pilar St. Brgy. No. 15, San Guillermo, Laoag City, Ilocos Norte",Kennedy Zamos A. Aquino,092581202002 / 09338597242,luttp.in.assessment@gmail.com,Motorcycle/Small Engine Servicing NC II,1,18,15
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Agricultural Crops Production NC II,1,45,45
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Agricultural Crops Production NC III,1,30,23
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Agricultural Crops Production NC III,1,30,30
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Animal Production (Swine) NC II,1,50,50
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Automotive Servicing NC I,1,29,29
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Automotive Servicing NC I,1,40,37
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Automotive Servicing NC I,1,30,30
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Bread and Pastry Production NC II,1,52,11
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Computer Systems Servicing NC II,1,20,18
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Computer Systems Servicing NC II,1,26,15
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Driving NC II,1,6,6
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Electronic Products Assembly and Servicing NC II,1,14,1
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Masonry NC II,1,50,50
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Masonry NC II,1,24,24
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC I,1,22,22
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Tile Setting NC II,1,19,19
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Trainers Methodology Level I,1,46,43
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Trainers Methodology Level I,1,20,19
MARCOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Lydia, Marcos, Ilocos Norte",Nestor R. Pascual,09205791849,mais@tesda.gov.ph,Trainers Methodology Level I,1,19,19
"OVERSEAS TECHNICAL INSTITUTE, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"No. 55 V. Lagasca St., Brgy. 10, Laoag City",Araceli J. Patricio,(077) 772-0612,overseastech.inst.inc@yahoo.com,Electrical Installation and Maintenance NC II,1,50,26
"OVERSEAS TECHNICAL INSTITUTE, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"No. 55 V. Lagasca St., Brgy. 10, Laoag City",Araceli J. Patricio,(077) 772-0612,overseastech.inst.inc@yahoo.com,Electrical Installation and Maintenance NC II,1,48,46
"OVERSEAS TECHNICAL INSTITUTE, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"No. 55 V. Lagasca St., Brgy. 10, Laoag City",Araceli J. Patricio,(077) 772-0612,overseastech.inst.inc@yahoo.com,Electrical Installation and Maintenance NC II,1,51,45
PIDDIG ORGANIC AGRICULTURE PRACTITIONERS ASSOCIATION INC.,,Region I - Ilocos,Ilocos Norte,Piddig,"Brgy. 1 Cabaroan, Piddig, Ilocos Norte",Cresencio M. Figuracion,09353202329,paopainc@gmail.com,Organic Agriculture Production NC II,1,19,19
PIDDIG ORGANIC AGRICULTURE PRACTITIONERS ASSOCIATION INC.,,Region I - Ilocos,Ilocos Norte,Piddig,"Brgy. 1 Cabaroan, Piddig, Ilocos Norte",Cresencio M. Figuracion,09353202329,paopainc@gmail.com,Organic Agriculture Production NC II,1,10,10
PIDDIG ORGANIC AGRICULTURE PRACTITIONERS ASSOCIATION INC.,,Region I - Ilocos,Ilocos Norte,Piddig,"Brgy. 1 Cabaroan, Piddig, Ilocos Norte",Cresencio M. Figuracion,09353202329,paopainc@gmail.com,Organic Agriculture Production NC II,1,40,38
PIDDIG ORGANIC AGRICULTURE PRACTITIONERS ASSOCIATION INC.,,Region I - Ilocos,Ilocos Norte,Piddig,"Brgy. 1 Cabaroan, Piddig, Ilocos Norte",Cresencio M. Figuracion,09353202329,paopainc@gmail.com,Organic Agriculture Production NC II,1,69,69
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Caregiving NC II,1,60,53
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Caregiving NC II,1,51,51
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Caregiving NC II,1,40,40
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Cookery NC II,1,72,69
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Cookery NC II,1,25,25
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Food and Beverage Services NC II,1,13,13
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Health Care Services NC II,1,46,46
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Housekeeping NC II,1,51,47
"PRIMACARE TRAINING AND DEVELOPMENT CENTER-LAOAG CITY, INC.",,Region I - Ilocos,Ilocos Norte,Laoag City,"2/f Ybs Bldg. Bonifacio St., Brgy. 19, Laoag City",Mediatrix C. Aguinaldo,(077) 773-1628,primacare_laoagcity@yahoo.com.ph,Housekeeping NC II,1,17,9
PROVINCIAL TRAINING CENTER - BANNA,,Region I - Ilocos,Ilocos Norte,Banna (Espiritu),"#4 Marcos, Banna, Ilocos Norte",Avelina M. Pascual,09305499629,ptcilocosnorte@tesda.gov.ph,Agricultural Crops Production NC I,1,10,10
PROVINCIAL TRAINING CENTER - BANNA,,Region I - Ilocos,Ilocos Norte,Banna (Espiritu),"#4 Marcos, Banna, Ilocos Norte",Avelina M. Pascual,09305499629,ptcilocosnorte@tesda.gov.ph,Agricultural Crops Production NC I,1,47,47
"St. Gabriel International Centre for Quality Learning, Inc.",,Region I - Ilocos,Ilocos Norte,Laoag City,"3F AMWSLAI Bldg. Gen. Segundo Ave., Laoag City",Hazel D. Tamayo,09423708979,sgi_cql@yahoo.com.ph,Hilot (Wellness Massage) NC II,1,45,45
"St. Gabriel International Centre for Quality Learning, Inc.",,Region I - Ilocos,Ilocos Norte,Laoag City,"3F AMWSLAI Bldg. Gen. Segundo Ave., Laoag City",Hazel D. Tamayo,09423708979,sgi_cql@yahoo.com.ph,Visual Graphic Design NC III,1,25,5
"THE PREMIER ACADEMY OF ARTS AND TECHNOLOGY, INC.",TVI,Region I - Ilocos,Ilocos Norte,Laoag City,"4th Floor Dls -2 Bldg. Bonifacio Cor. M.v. Fariñas St. Brgy. No. 9, First District, Laoag City, Ilocos Norte",Joanna Mae C. Alapit,09604088729,Thepremieracademy23@gmail.com,Visual Graphic Design NC III,1,9,9
"ZENITH COLLEGE OF HOSPITALITY, CULINARY ARTS AND BUSINESS MANAGEMENT INC.",,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Fortuna, Abra Rd. Marcos, Ilocos Norte",Haydeeh A. Baldino,09272644377/09950678731,zenithinstitute022@gmail.com,Cookery NC II,1,48,39
"ZENITH COLLEGE OF HOSPITALITY, CULINARY ARTS AND BUSINESS MANAGEMENT INC.",,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Fortuna, Abra Rd. Marcos, Ilocos Norte",Haydeeh A. Baldino,09272644377/09950678731,zenithinstitute022@gmail.com,Food and Beverage Services NC II,1,17,17
"ZENITH COLLEGE OF HOSPITALITY, CULINARY ARTS AND BUSINESS MANAGEMENT INC.",,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Fortuna, Abra Rd. Marcos, Ilocos Norte",Haydeeh A. Baldino,09272644377/09950678731,zenithinstitute022@gmail.com,Food and Beverage Services NC II,1,36,35
"ZENITH COLLEGE OF HOSPITALITY, CULINARY ARTS AND BUSINESS MANAGEMENT INC.",,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Fortuna, Abra Rd. Marcos, Ilocos Norte",Haydeeh A. Baldino,09272644377/09950678731,zenithinstitute022@gmail.com,Food and Beverage Services NC II,1,6,6
"ZENITH COLLEGE OF HOSPITALITY, CULINARY ARTS AND BUSINESS MANAGEMENT INC.",,Region I - Ilocos,Ilocos Norte,Marcos,"Brgy. Fortuna, Abra Rd. Marcos, Ilocos Norte",Haydeeh A. Baldino,09272644377/09950678731,zenithinstitute022@gmail.com,Front Office Services NC II,1,44,31
"ADVANCEMENT IN CAREER EXCELLENCE TRAINING CENTER, INCORPORATED",,Region I - Ilocos,Ilocos Sur,Caoayan,"Nansuagao, Caoayan, Ilocos Sur",Norman Valente A. Fabrigas,0997-2639521/0933-826-6577,Acetci2019@gmail.com.ph,Carpentry NC II,1,30,30
"ADVANCEMENT IN CAREER EXCELLENCE TRAINING CENTER, INCORPORATED",,Region I - Ilocos,Ilocos Sur,Caoayan,"Nansuagao, Caoayan, Ilocos Sur",Norman Valente A. Fabrigas,0997-2639521/0933-826-6577,Acetci2019@gmail.com.ph,Masonry NC II,1,20,20
"BAKAAN FARM TRAINING CENTER, INC.",,Region I - Ilocos,Ilocos Sur,Salcedo (Baugen),"Poblacion Sur, Salcedo, Ilocos Sur",Grazielle G. Itchon,0906-563-5046,bakaanfarmtci@gmail.com,Agroentrepreneurship NC II,1,25,25
"BAKAAN FARM TRAINING CENTER, INC.",,Region I - Ilocos,Ilocos Sur,Salcedo (Baugen),"Poblacion Sur, Salcedo, Ilocos Sur",Grazielle G. Itchon,0906-563-5046,bakaanfarmtci@gmail.com,Agroentrepreneurship NC III,1,22,18
"BAKAAN FARM TRAINING CENTER, INC.",,Region I - Ilocos,Ilocos Sur,Salcedo (Baugen),"Poblacion Sur, Salcedo, Ilocos Sur",Grazielle G. Itchon,0906-563-5046,bakaanfarmtci@gmail.com,Organic Agriculture Production NC II,1,7,7
"BAKAAN FARM TRAINING CENTER, INC.",,Region I - Ilocos,Ilocos Sur,Salcedo (Baugen),"Poblacion Sur, Salcedo, Ilocos Sur",Grazielle G. Itchon,0906-563-5046,bakaanfarmtci@gmail.com,Organic Agriculture Production NC II,1,51,51
"BUILDERS INSTITUTE OF TECHNOLOGY VIGAN, ILOCOS SUR, INCORPORATED",,Region I - Ilocos,Ilocos Sur,City of Vigan,"Mabini St., Corner V. De Los Reyes St., Vigan City",Dr. Jesus A. Navarro,09551642417,buildersvigan1997@yahoo.com,Electrical Installation and Maintenance NC II,1,13,13
"BUILDERS INSTITUTE OF TECHNOLOGY VIGAN, ILOCOS SUR, INCORPORATED",,Region I - Ilocos,Ilocos Sur,City of Vigan,"Mabini St., Corner V. De Los Reyes St., Vigan City",Dr. Jesus A. Navarro,09551642417,buildersvigan1997@yahoo.com,Electrical Installation and Maintenance NC II,1,36,32
"DATA CENTER COLLEGE OF THE PHILIPPINES OF VIGAN CITY, ILOCOS SUR, INC.",,Region I - Ilocos,Ilocos Sur,City of Vigan,"Tamag, Vigan City, Ilocos Sur",Lauro A. Rapisura,077 604 7294 / 09368043782,dccpvigan@yahoo.com,Bread and Pastry Production NC II,1,50,32
