REGION_VII|CEBU|ENERGY|EV CHARGING STATION OPERATION|TECHNICAL SUPPORT ASSOCIATE (FOE SELF-SERVICE CHARGING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,ENERGY,EV CHARGING STATION OPERATION,TECHNICAL SUPPORT ASSOCIATE (FOE SELF-SERVICE CHARGING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE|DENTAL ASSISTANT COURSE|NEW AND EMERGING|LOW",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE",DENTAL ASSISTANT COURSE,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|MEDICAL AUXILLIARY SUPPORT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH,REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,MEDICAL AUXILLIARY SUPPORT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,"THE HOSPITAL AT MAAYO (THAM), SAN LUCAS MEDICAL (SLM)","474,700",,
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|MEDICAL RECEPTIONIST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",MEDICAL RECEPTIONIST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,"DEPARTMENT OF HEALTH (DOH), PHILIPPINE MEDICAL ASSOCIATION (PMA), PHILIPPINE HOSPITAL ASSOCIATION (PHA)","474,700",,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|AUTOMATION|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,AUTOMATION,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CRYPTO (BLOCK CHAIN)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CRYPTO (BLOCK CHAIN),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER EXPERIENCE (FINANCE SERVICES)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER EXPERIENCE (FINANCE SERVICES),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CYBER SECURITY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CYBER SECURITY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|ENGLISH PROFICIENCY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,ENGLISH PROFICIENCY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IOT TECHNICIAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,IOT TECHNICIAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|PROJECT MANAGERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,PROJECT MANAGERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|MANUFACTURING|GARMENTS|INDUSTRIAL SEWING MACHINE OPERATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,MANUFACTURING,GARMENTS,INDUSTRIAL SEWING MACHINE OPERATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,METROLOGYX TRAINING AND ASSESSMENT CENTER INC.,"474,700"
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|MILLWRIGHT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,MILLWRIGHT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|MILLWRIGHT FITTER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,MILLWRIGHT FITTER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|BOILER TECHNICIANS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,BOILER TECHNICIANS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,"HOTEL RESORT AND RESTAURANT ASSOCIATION OF CEBU, INC.","474,700",,
REGION_VII|CEBU|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD SAFETY MANAGEMENT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD SAFETY MANAGEMENT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|HANDYMAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,HANDYMAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|TVET|COMMUNITY BASED TRAINERS METHODOLOGY|COMMUNITY-BASED TRAINERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,TVET,COMMUNITY BASED TRAINERS METHODOLOGY,COMMUNITY-BASED TRAINERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,"DEPARTMENT OF HEALTH (DOH), PHILIPPINE MEDICAL ASSOCIATION (PMA), PHILIPPINE HOSPITAL ASSOCIATION (PHA)","474,700",,
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|MEDICAL SECRETARY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",MEDICAL SECRETARY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,"DEPARTMENT OF HEALTH (DOH), PHILIPPINE MEDICAL ASSOCIATION (PMA), PHILIPPINE HOSPITAL ASSOCIATION (PHA)","474,700",,
"REGION_VII|CEBU|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|ADMINISTRATIVE ASSISTANT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH",REGION_VII,CEBU,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",ADMINISTRATIVE ASSISTANT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,,,,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|TOEIC COACH|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,TOEIC COACH,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|ENGLISH TEACHER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,ENGLISH TEACHER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|TESOL COACH|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,TESOL COACH,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|ENGLISH TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,ENGLISH TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|CONTACT CENTER AGENT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,CONTACT CENTER AGENT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|IELTS COACH|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,IELTS COACH,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|NIHONGO TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,NIHONGO TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|TVET|EDUCATION|ESKRIMA INSTRUCTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,TVET,EDUCATION,ESKRIMA INSTRUCTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,,,,
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|RABBIT RAISER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,RABBIT RAISER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|MANUFACTURING|SHIPBUILDING|SANDBLASTERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH,REGION_VII,CEBU,MANUFACTURING,SHIPBUILDING,SANDBLASTERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,,,,
REGION_VII|CEBU|MANUFACTURING|SHIPBUILDING|PAINTERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH,REGION_VII,CEBU,MANUFACTURING,SHIPBUILDING,PAINTERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,,,,
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|SMART IRRIGATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,SMART IRRIGATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
