REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,AGRI CROPS PRODUCER,AGRICULTURAL CROPS PRODUCTION NC II,WITH TR,HIGH,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,300,271,218,203,126,113,90,84,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|WITH TR|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MACHINERIES OPERATIONS,AGRICULTURAL MACHINERY OPERATION NC II,WITH TR,HIGH,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MANAGEMENT & TECHNOLOGICAL AWARENESS,AGRICULTURAL MACHINERY OPERATION NC II,WITH TR,MEDIUM,,223,0,0,0,0,223,201,160,148,0,0,0,0,,297,0,0,0,0,297,268,214,200,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|MEDIUM,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|MEDIUM
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MECHANICS & OPERATORS,NONE,NEW AND EMERGING,HIGH,,641,0,0,0,0,641,577,0,0,0,0,0,0,,320,0,0,0,0,320,288,0,0,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE|NEW AND EMERGING|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE|NEW AND EMERGING|HIGH
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|NEW AND EMERGING|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING",NONE,NEW AND EMERGING,HIGH,,853,0,0,0,0,853,768,0,0,0,0,0,0,,426,0,0,0,0,426,383,0,0,0,0,0,0,,"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|NEW AND EMERGING|HIGH","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|NEW AND EMERGING|HIGH"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|WITH TR|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)",HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,WITH TR,HIGH,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0,,"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|WITH TR|HIGH","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|WITH TR|HIGH"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH /ORGANIC QUALITY SEEDS GROWER,NONE,NEW AND EMERGING,HIGH,,853,0,0,0,0,853,768,0,0,0,0,0,0,,426,0,0,0,0,426,383,0,0,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|NEW AND EMERGING|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|NEW AND EMERGING|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|NEW AND EMERGING|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH QUALITY INBREED RICE GROWER,NONE,NEW AND EMERGING,MEDIUM,,56,0,0,0,0,56,50,0,0,0,0,0,0,,75,0,0,0,0,75,68,0,0,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|NEW AND EMERGING|MEDIUM,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|NEW AND EMERGING|MEDIUM
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|NEW AND EMERGING|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,INTERCROPPING TECHNICIAN,NONE,NEW AND EMERGING,MEDIUM,,56,0,0,0,0,56,50,0,0,0,0,0,0,,75,25,23,0,0,0,0,0,0,50,45,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|NEW AND EMERGING|MEDIUM,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|NEW AND EMERGING|MEDIUM
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|WITH CS|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)",COCONUT PRODUCTION LEVEL II,WITH CS,HIGH,,853,0,0,0,0,853,768,0,0,0,0,0,0,,426,26,23,0,0,320,288,0,0,80,72,0,0,,"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|WITH CS|HIGH","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|WITH CS|HIGH"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,MAKE ORGANIC FERTILIZER & CONCOCTION,ORGANIC AGRICULTURE PRODUCTION NC II,WITH TR,HIGH,,765,0,0,0,0,765,689,551,512,0,0,0,0,,382,0,0,0,0,382,344,275,257,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II|WITH TR|HIGH
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|NEW AND EMERGING|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)",NONE,NEW AND EMERGING,HIGH,,853,0,0,0,0,853,768,0,0,0,0,0,0,,426,0,0,0,0,426,383,0,0,0,0,0,0,,"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|NEW AND EMERGING|HIGH","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|NEW AND EMERGING|HIGH"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK,NONE,NEW AND EMERGING,HIGH,,853,0,0,0,0,853,768,0,0,0,0,0,0,,426,0,0,0,0,426,383,0,0,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|NEW AND EMERGING|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|NEW AND EMERGING|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FISHERY,BANGUS FRY PRODUCTION,AQUACULTURE (HATCHERY OPERATION) NC II,WITH TR,HIGH,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|WITH TR|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|WITH TR|LOW,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FISHERY,TILAPIA FRY PRODUCTION,AQUACULTURE (TILAPIA CULTURE) NC II,WITH TR,LOW,,102,0,0,0,0,86,78,63,58,16,14,11,10,,178,0,0,0,0,178,160,128,119,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|WITH TR|LOW,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|WITH TR|LOW
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FOOD PROCESSING,ANIMAL BUTCHERING AND SLAUGHTERING,SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,WITH TR,HIGH,,707,0,0,0,0,707,637,510,474,0,0,0,0,,353,0,0,0,0,353,317,254,237,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|WITH TR|HIGH
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|WITH TR|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,HORTICULTURE,"LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE",LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II,WITH TR,HIGH,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0,,"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|WITH TR|HIGH","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|WITH TR|HIGH"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|WITH TR|LOW",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,"RICE, VEGETABLE PRODUCTION",WELL DRILLING OPERATIONS AND MAINTENANCE,WATER WELL DRILLING LEVEL II,WITH TR,LOW,,102,0,0,0,0,81,74,59,55,21,19,15,14,,178,122,110,88,82,56,50,40,37,0,0,0,0,,"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|WITH TR|LOW","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|WITH TR|LOW"
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNT SPECIALIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,LOW,,116,72,65,52,49,0,0,0,0,44,40,32,29,,184,53,48,38,36,0,0,0,0,131,118,95,89,,REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNTING,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,LOW,,87,43,39,31,29,0,0,0,0,44,40,32,29,,152,118,107,85,80,0,0,0,0,34,31,25,23,,REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICES,AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,LOW,,102,86,78,63,58,0,0,0,0,16,14,11,10,,178,178,160,128,119,0,0,0,0,0,0,0,0,,REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR|LOW,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR|LOW
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,CASHIER,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,LOW,,87,43,39,31,29,0,0,0,0,44,40,32,29,,152,118,107,85,80,0,0,0,0,34,31,25,23,,REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (PASSENGER BUS) NC III,BUS & PUB DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,WITH TR,LOW,,102,86,78,63,58,0,0,0,0,16,14,11,10,,178,138,124,100,93,0,0,0,0,40,36,29,27,,REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR|LOW,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR|LOW
