Profile,,,,,,,,,,1,District 1,,,,,,,,,,2,District 2,,,,,,,,,,3,District 3,,,,,,,,,,4,Select a District from the Dropdown Option,,,,,,,,,,5,Select a District from the Dropdown Option,,,,,,,,,,6,Select a District from the Dropdown Option,,,,,,,,,,7,Select a District from the Dropdown Option,,,,,,,,,,8,Select a District from the Dropdown Option,,,,,,,,,,9,Select a District from the Dropdown Option,,,,,,,,,,10,Select a District from the Dropdown Option,,,,,,,,,,11,Select a District from the Dropdown Option,,,,,,,,,
Region,REGION_VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province,BOHOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of  Districts,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,"Subsector/
Value Chain",Job Requirement,Tasks,Program,"Type of Program
(TR, CS, New and Emerging, Diploma Programs)","Provincial Rank
(Averaged Across Districts)",HIGH,MEDIUM,LOW,,District 1,"Jobs Immediately Needed
(for the following years)",,"Assess the Requirements of Needed
Workers in Filling-up the Jobs Requirements",,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,District 2,"Jobs/Skills Immediately Needed
(for the following years)",,"Assess the Requirements of Needed
Workers in Fillin-up the Skills Requirements",,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,District 3,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier
HUMAN HEALTH / HEALTH CARE,"MASSEURS, HILOT WORKERS",MASSAGE THERAPIST,"Perform therapeutic massage, perform traditional hilot, prepare artistic towel folding,",MASSAGE THERAPY NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,"REGION_VII|BOHOL|District 1|HUMAN HEALTH / HEALTH CARE|MASSEURS, HILOT WORKERS|MASSAGE THERAPIST||MASSAGE THERAPY NC II||With TR|HIGH",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,"REGION_VII|BOHOL|District 2|HUMAN HEALTH / HEALTH CARE|MASSEURS, HILOT WORKERS|MASSAGE THERAPIST||MASSAGE THERAPY NC II||With TR|HIGH",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,"REGION_VII|BOHOL|District 3|HUMAN HEALTH / HEALTH CARE|MASSEURS, HILOT WORKERS|MASSAGE THERAPIST||MASSAGE THERAPY NC II||With TR|HIGH",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,2D ANIMATION,CREATE AND DESIGN 2D ANIMATIONS,2D ANIMATION NC III,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATION||2D ANIMATION NC III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATION||2D ANIMATION NC III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATION||2D ANIMATION NC III||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,2D ANIMATOR,CREATE AND DESIGN 2D ANIMATIONS,2D ANIMATION NC III,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATOR||2D ANIMATION NC III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATOR||2D ANIMATION NC III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATOR||2D ANIMATION NC III||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,ATLASSIAN GURU/SCRUM MASTER,MANAGE ICT PROJECTS,WEB DEVELOPMENT NC III,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|ATLASSIAN GURU/SCRUM MASTER||WEB DEVELOPMENT NC III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|ATLASSIAN GURU/SCRUM MASTER||WEB DEVELOPMENT NC III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|ATLASSIAN GURU/SCRUM MASTER||WEB DEVELOPMENT NC III||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CALL CENTER AGENTS,ASSESS AND RESOLVE CLIENT CONCERN,CONTACT CENTER SERVICES NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CALL CENTER AGENTS||CONTACT CENTER SERVICES NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CALL CENTER AGENTS||CONTACT CENTER SERVICES NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CALL CENTER AGENTS||CONTACT CENTER SERVICES NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION",PERFORM OFFICE APPLICATION SOFTWARES,COMPUTER SYSTEMS SERVICING NC II,With TR,MEDIUM,0.00%,100.00%,0.00%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,MEDIUM,FALSE,"REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION||COMPUTER SYSTEMS SERVICING NC II||With TR|MEDIUM",,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,MEDIUM,FALSE,"REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION||COMPUTER SYSTEMS SERVICING NC II||With TR|MEDIUM",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER SERVICE REPRESENTATIVE,ASSESS AND RESOLVE CUSTOMER CONCERN,CONTACT CENTER SERVICES NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER SERVICE REPRESENTATIVE||CONTACT CENTER SERVICES NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER SERVICE REPRESENTATIVE||CONTACT CENTER SERVICES NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER SERVICE REPRESENTATIVE||CONTACT CENTER SERVICES NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CYBER SECURITY,MANAGE AND SECURE CYBERSPACE,CYBER RISK ASSESSMENT LEVEL III,With TR,HIGH,100.00%,0.00%,0.00%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CYBER SECURITY||CYBER RISK ASSESSMENT LEVEL III||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,E-COMMERCE,DATA ANALYST,ANALYZE DATA HISTORICALS TO PROVIDE FORECAST,DATA ANALYTICS LEVEL III,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|DATA ANALYST||DATA ANALYTICS LEVEL III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|DATA ANALYST||DATA ANALYTICS LEVEL III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|DATA ANALYST||DATA ANALYTICS LEVEL III||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,GRAPHIC DESIGNERS,CREATE AND DESIGN GRAPHICS,VISUAL GRAPHIC DESIGN NC III,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|GRAPHIC DESIGNERS||VISUAL GRAPHIC DESIGN NC III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|GRAPHIC DESIGNERS||VISUAL GRAPHIC DESIGN NC III||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|GRAPHIC DESIGNERS||VISUAL GRAPHIC DESIGN NC III||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,HARDWARE DEPLOYMENT,INSTALLATION OF ICT INFRASTRUCTURE,COMPUTER SYSTEMS SERVICING NC II,With TR,HIGH,100.00%,0.00%,0.00%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1.5,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|HARDWARE DEPLOYMENT||COMPUTER SYSTEMS SERVICING NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,IT SKILLED INDIVIDUAL,PROVIDE ICT SERVICES,COMPUTER SYSTEMS SERVICING NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IT SKILLED INDIVIDUAL||COMPUTER SYSTEMS SERVICING NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IT SKILLED INDIVIDUAL||COMPUTER SYSTEMS SERVICING NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IT SKILLED INDIVIDUAL||COMPUTER SYSTEMS SERVICING NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,MASTER OF PHOTOSHOP,CREATE AND DESIGN GRAPHICS,VISUAL GRAPHIC DESIGN NC III,With TR,HIGH,100.00%,0.00%,0.00%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1.5,HIGH,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|MASTER OF PHOTOSHOP||VISUAL GRAPHIC DESIGN NC III||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,NETWORK ENGINEER AND FIBER OPTIC SPECIALIST,MANAGE AND INSTALL PREMISES/OUTSIDE PLANT COPPER OR FIBER NETWORKS,TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II,With TR,MEDIUM,0.00%,100.00%,0.00%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,MEDIUM,FALSE,REGION_VII|BOHOL|District 2|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|NETWORK ENGINEER AND FIBER OPTIC SPECIALIST||TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II||With TR|MEDIUM,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,MEDIUM,FALSE,REGION_VII|BOHOL|District 3|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|NETWORK ENGINEER AND FIBER OPTIC SPECIALIST||TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II||With TR|MEDIUM,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
