,,,,,,,,,,,,,,
"Importring 1.2
(Identifier from Pooling)
[Region|Province|Sector|Subsector|Job|Program|P.Rank]",Region,Province,Sector,Subsector,Job Requirements,Programs,"Program
Type","Priority
Ranking
(Province)",Tasks + UC,,"For Supermarket
(Dropdown Selection)",,"Exporting 1.1
(Sector|Subsector|Jobs Requirements|Program","Exporting 1.2
(Region|Province|Sector|Subsector|Job Requirements|Program"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|New and Emerging|HIGH|REPAIR FARM EQUIPMENT,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE,REPAIR OF FARM MECHANICAL EQUIPMENT,NONE,New and Emerging,HIGH,REPAIR FARM EQUIPMENT,,NONE,,AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|New and Emerging|HIGH|REPAIR FARM EQUIPMENT
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|With TR|HIGH|MANAGE, HOUSE, FEED, BREED AND REPRODUCE RUMINANTS",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,RUMINANTS GROWER AND PRODUCER,ANIMAL PRODUCTION (RUMINANTS) NC II,With TR,HIGH,"MANAGE, HOUSE, FEED, BREED AND REPRODUCE RUMINANTS",,ANIMAL PRODUCTION (RUMINANTS) NC II,,AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II,"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|With TR|HIGH|MANAGE, HOUSE, FEED, BREED AND REPRODUCE RUMINANTS"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|With TR|HIGH|OPERATE AUTOMATED FARMING MACHINIRIES,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE FORESTRY AND FISHERY,SMART FARMING EQUIPMENT OPERATOR,AGRICULTURAL DRONE OPERATION LEVEL II,With TR,HIGH,OPERATE AUTOMATED FARMING MACHINIRIES,,AGRICULTURAL DRONE OPERATION LEVEL II,,AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|With TR|HIGH|OPERATE AUTOMATED FARMING MACHINIRIES
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|With TR|LOW|COLLECT AND INCUBATE EGG IN HATCHERY,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FISHERY,TILAPIA FRY PRODUCTION,AQUACULTURE (TILAPIA CULTURE) NC II,With TR,LOW,COLLECT AND INCUBATE EGG IN HATCHERY,,AQUACULTURE (TILAPIA CULTURE) NC II,,AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|With TR|LOW|COLLECT AND INCUBATE EGG IN HATCHERY
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|With TR|LOW|OPERATE DRILLING MACHINE",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,"RICE, VEGETABLE PRODUCTION",WELL DRILLING OPERATIONS AND MAINTENANCE,WATER WELL DRILLING LEVEL II,With TR,LOW,OPERATE DRILLING MACHINE,,WATER WELL DRILLING LEVEL II,,"AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|With TR|LOW|OPERATE DRILLING MACHINE"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE|New and Emerging|HIGH|REPAIR FARM EQUIPMENT,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MECHANICS & OPERATORS,NONE,New and Emerging,HIGH,REPAIR FARM EQUIPMENT,,NONE,,AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE|New and Emerging|HIGH|REPAIR FARM EQUIPMENT
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III|With TR|LOW|PERFORM REPAIR AND DIAGNOSE MALFUNCTIONS,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND MAINTENANCE,AUTO AIRCON TECHNICIAN,AUTOMOTIVE SERVICING NC III,With TR,LOW,PERFORM REPAIR AND DIAGNOSE MALFUNCTIONS,,AUTOMOTIVE SERVICING NC III,,AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III|With TR|LOW|PERFORM REPAIR AND DIAGNOSE MALFUNCTIONS
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ELECTRICAL INSTALLATION|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|With TR|LOW|PERFORM TROUBLE SHOOTING,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,ELECTRICAL INSTALLATION,AUTO ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,With TR,LOW,PERFORM TROUBLE SHOOTING,,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,,AUTOMOTIVE AND LAND TRANSPORTATION|ELECTRICAL INSTALLATION|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ELECTRICAL INSTALLATION|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|With TR|LOW|PERFORM TROUBLE SHOOTING
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO TECHNICIAN LABORER|AUTOMOTIVE SERVICING NC I|With TR|HIGH|SUPPORT THE WORK OF CERTIFIED TECHNICIAN,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND MAINTENANCE,AUTO TECHNICIAN LABORER,AUTOMOTIVE SERVICING NC I,With TR,HIGH,SUPPORT THE WORK OF CERTIFIED TECHNICIAN,,AUTOMOTIVE SERVICING NC I,,AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO TECHNICIAN LABORER|AUTOMOTIVE SERVICING NC I,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO TECHNICIAN LABORER|AUTOMOTIVE SERVICING NC I|With TR|HIGH|SUPPORT THE WORK OF CERTIFIED TECHNICIAN
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|With TR|LOW|MANAGE LEATERS CUSTOMERS FOR SERVICE,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICES,AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN,AUTOMOTIVE SERVICING NC I,With TR,LOW,MANAGE LEATERS CUSTOMERS FOR SERVICE,,AUTOMOTIVE SERVICING NC I,,AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|With TR|LOW|MANAGE LEATERS CUSTOMERS FOR SERVICE
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|LOW|CONVEY PASENGERS,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (PASSENGER BUS) NC III,BUS & PUB DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,With TR,LOW,CONVEY PASENGERS,,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,,AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|LOW|CONVEY PASENGERS
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|TRANPORTATION AND WAREHOUSING|DRIVING|DRIVING NC II|With TR|MEDIUM|PICK-UP AND DELIVERY,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,TRANPORTATION AND WAREHOUSING,DRIVING,DRIVING NC II,With TR,MEDIUM,PICK-UP AND DELIVERY,,DRIVING NC II,,AUTOMOTIVE AND LAND TRANSPORTATION|TRANPORTATION AND WAREHOUSING|DRIVING|DRIVING NC II,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|TRANPORTATION AND WAREHOUSING|DRIVING|DRIVING NC II|With TR|MEDIUM|PICK-UP AND DELIVERY
"REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|MARKETING AND SALES|MOTORCYCLE & SMALL ENGINE TECHNICIAN|MOTORCYCLE/SMALL ENGINE SERVICING NC II|With TR|LOW|TRAIN SALES TEAM MEMBERS, CONDUCT MARKET RESEARCH, DEVELOP AND PROMOTE PRODUCT",REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,MARKETING AND SALES,MOTORCYCLE & SMALL ENGINE TECHNICIAN,MOTORCYCLE/SMALL ENGINE SERVICING NC II,With TR,LOW,"TRAIN SALES TEAM MEMBERS, CONDUCT MARKET RESEARCH, DEVELOP AND PROMOTE PRODUCT",,MOTORCYCLE/SMALL ENGINE SERVICING NC II,,AUTOMOTIVE AND LAND TRANSPORTATION|MARKETING AND SALES|MOTORCYCLE & SMALL ENGINE TECHNICIAN|MOTORCYCLE/SMALL ENGINE SERVICING NC II,"REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|MARKETING AND SALES|MOTORCYCLE & SMALL ENGINE TECHNICIAN|MOTORCYCLE/SMALL ENGINE SERVICING NC II|With TR|LOW|TRAIN SALES TEAM MEMBERS, CONDUCT MARKET RESEARCH, DEVELOP AND PROMOTE PRODUCT"
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|RECEPTIONIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|FRONT OFFICE SERVICES NC II|With TR|LOW|CATER AND ENTERTAINED THE CUSTOMER,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,RECEPTIONIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,FRONT OFFICE SERVICES NC II,With TR,LOW,CATER AND ENTERTAINED THE CUSTOMER,,FRONT OFFICE SERVICES NC II,,AUTOMOTIVE AND LAND TRANSPORTATION|RECEPTIONIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|FRONT OFFICE SERVICES NC II,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|RECEPTIONIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|FRONT OFFICE SERVICES NC II|With TR|LOW|CATER AND ENTERTAINED THE CUSTOMER
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|LOW|RECEIVED PAYMENT,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,CASHIER,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,With TR,LOW,RECEIVED PAYMENT,,BOOKKEEPING NC III,,AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|LOW|RECEIVED PAYMENT
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|LOW|TO PREPARE REPORTS,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNTING,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,With TR,LOW,TO PREPARE REPORTS,,BOOKKEEPING NC III,,AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|LOW|TO PREPARE REPORTS
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|LOW|COLLECT PAYMENT,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNT SPECIALIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,With TR,LOW,COLLECT PAYMENT,,BOOKKEEPING NC III,,AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|With TR|LOW|COLLECT PAYMENT
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (STRAIGHT TRUCK) NC III|TRUCK DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|HIGH|DELIVERY OF GOODS,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (STRAIGHT TRUCK) NC III,TRUCK DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,With TR,HIGH,DELIVERY OF GOODS,,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,,AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (STRAIGHT TRUCK) NC III|TRUCK DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (STRAIGHT TRUCK) NC III|TRUCK DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|HIGH|DELIVERY OF GOODS
"REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND INSTALLATION|WELDER|AUTOMOTIVE BODY REPAIRING NC II|With TR|HIGH|REPAIR VEHICLE BODY PANELS AND COMPONENTS
WELD CARBON STEEL PLATES USING FCAWWELD CARBON STEEL PIPES USING FCAWWELD ALLOY STEEL PIPES USING FCAW
WELD ALLOY STEEL PLATES USING FCAWWELD CARBON STEEL PLATES USING GMAWWELD CARBON STEEL PIPES USING GMAWWELD ALLOY STEEL PIPES USING GMAW
WELD ALLOY STEEL PLATES USING GMAWWELD CARBON STEEL PLATES USING GTAW
WELD CARBON STEEL PIPES USING GTAWWELD ALLOY STEEL PLATES USING GTAW
WELD ALLOY STEEL PIPES USING GTAWPERFORM GAS WELDING IN CARBON STEEL PLATES AND TUBESPERFORM GAS WELDING IN ALLOY STEEL PLATES AND TUBESWELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTWELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTSET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTSSET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAWPERFORM TESTING AND COMMISSIONING FOR TRANSPORT AIR-CONDITIONING AND REFRIGERATIONWELD CARBON STEEL PLATES USING SMAWWELD CARBON STEEL PLATES AND PIPES USING SMAWWELD ALLOY STEEL PLATES USING SMAWWELD PLATES USING SAWWELD PIPES USING SAW",REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND INSTALLATION,WELDER,AUTOMOTIVE BODY REPAIRING NC II,With TR,HIGH,"REPAIR VEHICLE BODY PANELS AND COMPONENTS
WELD CARBON STEEL PLATES USING FCAWWELD CARBON STEEL PIPES USING FCAWWELD ALLOY STEEL PIPES USING FCAW
WELD ALLOY STEEL PLATES USING FCAWWELD CARBON STEEL PLATES USING GMAWWELD CARBON STEEL PIPES USING GMAWWELD ALLOY STEEL PIPES USING GMAW
WELD ALLOY STEEL PLATES USING GMAWWELD CARBON STEEL PLATES USING GTAW
WELD CARBON STEEL PIPES USING GTAWWELD ALLOY STEEL PLATES USING GTAW
WELD ALLOY STEEL PIPES USING GTAWPERFORM GAS WELDING IN CARBON STEEL PLATES AND TUBESPERFORM GAS WELDING IN ALLOY STEEL PLATES AND TUBESWELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTWELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTSET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTSSET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAWPERFORM TESTING AND COMMISSIONING FOR TRANSPORT AIR-CONDITIONING AND REFRIGERATIONWELD CARBON STEEL PLATES USING SMAWWELD CARBON STEEL PLATES AND PIPES USING SMAWWELD ALLOY STEEL PLATES USING SMAWWELD PLATES USING SAWWELD PIPES USING SAW",,AUTOMOTIVE BODY REPAIRING NC II,,AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND INSTALLATION|WELDER|AUTOMOTIVE BODY REPAIRING NC II,"REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND INSTALLATION|WELDER|AUTOMOTIVE BODY REPAIRING NC II|With TR|HIGH|REPAIR VEHICLE BODY PANELS AND COMPONENTS
WELD CARBON STEEL PLATES USING FCAWWELD CARBON STEEL PIPES USING FCAWWELD ALLOY STEEL PIPES USING FCAW
WELD ALLOY STEEL PLATES USING FCAWWELD CARBON STEEL PLATES USING GMAWWELD CARBON STEEL PIPES USING GMAWWELD ALLOY STEEL PIPES USING GMAW
WELD ALLOY STEEL PLATES USING GMAWWELD CARBON STEEL PLATES USING GTAW
WELD CARBON STEEL PIPES USING GTAWWELD ALLOY STEEL PLATES USING GTAW
WELD ALLOY STEEL PIPES USING GTAWPERFORM GAS WELDING IN CARBON STEEL PLATES AND TUBESPERFORM GAS WELDING IN ALLOY STEEL PLATES AND TUBESWELD CARBON STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTWELD CARBON STEEL PLATES AND PIPES USING MMAW
PREPARE / FIT UP WELDING JOINTS
SET UP WELDING EQUIPMENTSET UP WELDING EQUIPMENT
WELD AUSTENITIC STAINLESS STEEL PLATES USING MMAW
PREPARE / FIT UP WELDING JOINTSSET UP WELDING EQUIPMENT
PREPARE / FIT UP WELDING JOINTS
WELD AUSTENITIC STAINLESS STEEL PLATES AND PIPES USING MMAWPERFORM TESTING AND COMMISSIONING FOR TRANSPORT AIR-CONDITIONING AND REFRIGERATIONWELD CARBON STEEL PLATES USING SMAWWELD CARBON STEEL PLATES AND PIPES USING SMAWWELD ALLOY STEEL PLATES USING SMAWWELD PLATES USING SAWWELD PIPES USING SAW"
"REGION_VII|BOHOL|CONSTRUCTION|ROUGH AND FINISHING CARPENTER|CARPENTERS|CARPENTRY NC II|With TR|HIGH|TO CONSTRUCT, REPAIR, AND INSTALL BUILDING FRAMEWORKS AND STRUCTURES MADE FROM WOOD AND OTHER MATERIALS",REGION_VII,BOHOL,CONSTRUCTION,ROUGH AND FINISHING CARPENTER,CARPENTERS,CARPENTRY NC II,With TR,HIGH,"TO CONSTRUCT, REPAIR, AND INSTALL BUILDING FRAMEWORKS AND STRUCTURES MADE FROM WOOD AND OTHER MATERIALS",,CARPENTRY NC II,,CONSTRUCTION|ROUGH AND FINISHING CARPENTER|CARPENTERS|CARPENTRY NC II,"REGION_VII|BOHOL|CONSTRUCTION|ROUGH AND FINISHING CARPENTER|CARPENTERS|CARPENTRY NC II|With TR|HIGH|TO CONSTRUCT, REPAIR, AND INSTALL BUILDING FRAMEWORKS AND STRUCTURES MADE FROM WOOD AND OTHER MATERIALS"
REGION_VII|BOHOL|CONSTRUCTION|COMMUNITY AND ECOSYSTEM CONSIDERATION|COMMUNITY WORKERS/LIAISON OFFICER|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV|With CS|HIGH|TO ENGAGE WITH LOCAL COMMUNITIES ADDRESS CONCERNS AND PROMOTE SUSTAINABLE OUTCOMES,REGION_VII,BOHOL,CONSTRUCTION,COMMUNITY AND ECOSYSTEM CONSIDERATION,COMMUNITY WORKERS/LIAISON OFFICER,COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,With CS,HIGH,TO ENGAGE WITH LOCAL COMMUNITIES ADDRESS CONCERNS AND PROMOTE SUSTAINABLE OUTCOMES,,COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,,CONSTRUCTION|COMMUNITY AND ECOSYSTEM CONSIDERATION|COMMUNITY WORKERS/LIAISON OFFICER|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,REGION_VII|BOHOL|CONSTRUCTION|COMMUNITY AND ECOSYSTEM CONSIDERATION|COMMUNITY WORKERS/LIAISON OFFICER|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV|With CS|HIGH|TO ENGAGE WITH LOCAL COMMUNITIES ADDRESS CONCERNS AND PROMOTE SUSTAINABLE OUTCOMES
REGION_VII|BOHOL|CONSTRUCTION|MOBILE CRANE OPERATOR|CRANE OPERATORS|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III|With TR|HIGH|TO OPERATE LIFTING AND MOVING SAFELY AND EFFICIENTLY AS POSSIBLE,REGION_VII,BOHOL,CONSTRUCTION,MOBILE CRANE OPERATOR,CRANE OPERATORS,HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,With TR,HIGH,TO OPERATE LIFTING AND MOVING SAFELY AND EFFICIENTLY AS POSSIBLE,,HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,,CONSTRUCTION|MOBILE CRANE OPERATOR|CRANE OPERATORS|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,REGION_VII|BOHOL|CONSTRUCTION|MOBILE CRANE OPERATOR|CRANE OPERATORS|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III|With TR|HIGH|TO OPERATE LIFTING AND MOVING SAFELY AND EFFICIENTLY AS POSSIBLE
REGION_VII|BOHOL|CONSTRUCTION|DRIVING|DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|HIGH|TO TRANSPORT CARGO AND PASSENGERS FROM ONE LOCATION TO ANOTHER,REGION_VII,BOHOL,CONSTRUCTION,DRIVING,DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,With TR,HIGH,TO TRANSPORT CARGO AND PASSENGERS FROM ONE LOCATION TO ANOTHER,,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,,CONSTRUCTION|DRIVING|DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,REGION_VII|BOHOL|CONSTRUCTION|DRIVING|DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|With TR|HIGH|TO TRANSPORT CARGO AND PASSENGERS FROM ONE LOCATION TO ANOTHER
